TargetName,HUGOSymbol,TargetGroup,AnalyteType,Codeclass,Pooling,CorrelationToNegatives,GlobalOutliers
A1BG,A1BG,All Probes,RNA,Endogenous,01,0.943305241,0
A1CF,A1CF,All Probes,RNA,Endogenous,01,0.942489116,0
A2M,A2M,All Probes;regulation of humoral immune response;negative regulation of response to biotic stimulus;extracellular matrix disassembly,RNA,Endogenous,01,0.35737617,0
A2ML1,A2ML1,All Probes,RNA,Endogenous,01,0.947490716,0
A3GALT2,A3GALT2,All Probes;liposaccharide metabolic process;sphingolipid biosynthetic process,RNA,Endogenous,01,0.942885227,0
A4GALT,A4GALT,All Probes;liposaccharide metabolic process;sphingolipid biosynthetic process;plasma membrane organization,RNA,Endogenous,01,0.966351395,0
A4GNT,A4GNT,All Probes;glycoprotein biosynthetic process;O-glycan processing,RNA,Endogenous,01,0.943727273,0
AAAS,AAAS,All Probes;regulation of gene silencing by RNA;regulation of posttranscriptional gene silencing;microtubule bundle formation;fertilization;regulation of cellular response to heat;regulation of carbohydrate catabolic process;protein sumoylation;mRNA export from nucleus;mitotic spindle organization;spindle assembly,RNA,Endogenous,01,0.950826669,0
AACS,AACS,All Probes;cellular response to alcohol;liver development;cellular response to ketone;fatty acid derivative biosynthetic process;fat cell differentiation;cellular glucose homeostasis;positive regulation of peptide hormone secretion,RNA,Endogenous,01,0.935067258,0
AADAC,AADAC,All Probes;regulation of lipid catabolic process;xenobiotic metabolic process,RNA,Endogenous,01,0.942623843,0
AADACL2,AADACL2,All Probes,RNA,Endogenous,01,0.96616442,0
AADACL3,AADACL3,All Probes,RNA,Endogenous,01,0.961831124,0
AADACL4,AADACL4,All Probes,RNA,Endogenous,01,0.951641986,0
AADAT,AADAT,All Probes;glutamine family amino acid metabolic process;amine metabolic process;cellular ketone metabolic process;alpha-amino acid catabolic process;acyl-CoA metabolic process;dicarboxylic acid metabolic process,RNA,Endogenous,01,0.947193658,0
AAGAB,AAGAB,All Probes,RNA,Endogenous,01,0.941061053,0
AAK1,AAK1,All Probes;regulation of receptor-mediated endocytosis;regulation of Notch signaling pathway,RNA,Endogenous,01,0.96664294,0
AAMDC,AAMDC,All Probes;positive regulation of fat cell differentiation,RNA,Endogenous,01,0.949948812,0
AAMP,AAMP,All Probes;positive regulation of endothelial cell migration,RNA,Endogenous,01,0.918174221,0
AANAT,AANAT,All Probes;hormone biosynthetic process;amine metabolic process,RNA,Endogenous,01,0.912622124,0
AAR2,AAR2,All Probes;spliceosomal snRNP assembly,RNA,Endogenous,01,0.932830545,0
AARD,AARD,All Probes;lung development,RNA,Endogenous,01,0.939560847,0
AARS1,AARS1,All Probes,RNA,Endogenous,01,0.961805632,0
AARS2,AARS2,All Probes;mitochondrial RNA metabolic process;tRNA modification;amino acid activation,RNA,Endogenous,01,0.961035846,0
AARSD1,AARSD1,All Probes;amino acid activation,RNA,Endogenous,01,0.95584173,0
AASDH,AASDH,All Probes;neurotransmitter metabolic process;amino acid activation,RNA,Endogenous,01,0.947020337,0
AASDHPPT,AASDHPPT,All Probes;water-soluble vitamin metabolic process;cellular amino acid biosynthetic process,RNA,Endogenous,01,0.941223433,0
AASS,AASS,All Probes;alpha-amino acid catabolic process;cellular amino acid biosynthetic process;acyl-CoA metabolic process,RNA,Endogenous,01,0.932887718,0
AATF,AATF,All Probes;cellular component biogenesis,RNA,Endogenous,01,0.961620392,0
AATK,AATK,All Probes,RNA,Endogenous,01,0.942788861,0
ABAT,ABAT,All Probes;neurotransmitter metabolic process;regulation of anion transport;cellular amino acid biosynthetic process;regulation of response to drug;regulation of smooth muscle contraction;regulation of coagulation;positive regulation of peptide hormone secretion;positive regulation of nervous system process;negative regulation of response to wounding,RNA,Endogenous,01,0.745607264,0
ABCA1,ABCA1,All Probes;sterol transport;cellular response to alcohol;cellular response to retinoic acid;phospholipid transport;membrane invagination;sterol homeostasis;anion homeostasis;positive regulation of lipid localization;lysosome organization;protein lipidation,RNA,Endogenous,01,0.972991696,0
ABCA10,ABCA10,All Probes,RNA,Endogenous,01,0.953730657,0
ABCA12,ABCA12,All Probes;lung alveolus development;positive regulation of lipid localization;phospholipid transport,RNA,Endogenous,01,0.962547593,0
ABCA13,ABCA13,All Probes,RNA,Endogenous,01,0.96339194,0
ABCA2,ABCA2,All Probes;cellular component assembly involved in morphogenesis;sterol homeostasis;negative regulation of intracellular transport;negative regulation of lipid metabolic process;sphingolipid biosynthetic process;regulation of steroid biosynthetic process;regulation of phospholipid metabolic process;regulation of receptor-mediated endocytosis,RNA,Endogenous,01,0.950681524,0
ABCA3,ABCA3,All Probes,RNA,Endogenous,01,0.952002079,0
ABCA4,ABCA4,All Probes;photoreceptor cell maintenance;terpenoid metabolic process;phospholipid transport;detection of light stimulus,RNA,Endogenous,01,0.961954158,0
ABCA5,ABCA5,All Probes;sterol transport,RNA,Endogenous,01,0.853589126,0
ABCA6,ABCA6,All Probes,RNA,Endogenous,01,0.970391839,0
