"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"P01023",0.0279408607160823,0.0813093294094918,0.0167899818717302,0.045390891068284,0.00228600321882451
"Q9NPC4",0.00285938500939742,0.000335078176960139,0.0073970989443133,0.0633428813047918,0.000382797099463954
"Q13685",0.0356883657976442,0.0189991059259202,0.0738439447099471,0.052816948901564,0.010843722455653
"P49588",0.0136609980645378,0.0337500889684371,0.00386009377975005,0.00695227920535308,0.0047513347258858
"Q9UDR5",0.01335836654917,0.000156627561124529,0.000109749412423333,0.0113341426133678,0.0118820471959436
"P80404",0.00214313828050684,0.0868961903368626,0.0314771705159783,0.0707821182462938,0.00527708118207112
"P08183",0.0046108148508353,0.0282201738565303,0.0241439917585462,0.039286185461975,0.00598328415284223
"Q9NRK6",0.0125510698004432,0.00657113207296705,0.022313753751804,1.98721206684317e-05,0.000597350123249884
"Q92887",0.00132321399743343,0.0565347513738257,0.013706400552902,0.115797863457866,0.000914640976708146
"O95255",0.000460692836980102,0.0495573181341161,0.0249859783671784,0.09527764792225,0.0607686225520407
"Q8NE71",0.005926037980766,0.0116024025971645,0.000886450420203367,0.00936129389991671,0.0365855357411198
"Q96IU4",0.00161043961683465,0.0384512530191519,0.0880310445552318,0.00876497510470166,0.0117757003972322
"O95870",0.00692857874252789,0.0247318740402409,0.0466152845018658,0.0602124124220855,0.00060957167921559
"Q96GS6",0.0319182816840068,0.00126416139578429,0.00171567181241644,0.000187957994893515,0.00467109275668177
"P08910",0.008819722255194,0.000490929090038562,0.00595592377364248,0.0408859714904236,0.00231957275008181
"Q9BV23",3.25450788660542e-05,0.051457663177014,0.0106719781200498,0.0446950520920422,0.0218479265628033
"Q8IZP0",0.0155646169002711,0.000435329280869524,0.00034565328299314,0.000553288912432631,0.0243904015848981
"Q9NYB9",0.0151933170417309,0.0193317452132228,0.0147606682133738,0.00276418261400062,0.03282992096169
"Q9NX38",0.00199094747101378,0.000431683409161347,0.0101820675636494,0.0271962143812925,0.182298631468382
"Q6H8Q1",0.026155242431538,0.014694087070222,0.0255586111218216,0.0113154663405068,0.015249383284296
