"component"	"Category"	"Term_accession"	"Term_description"	"Count_query"	"Pop_query"	"Count_universe"	"Pop_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"PC1"	"GO_BP"	"0002181"	"cytoplasmic translation "	27	427	76	4387	6.08899297423888	1.73239115568726	3.69638975236901e-07	0.000737799394572854	3.51479107605078	"P08865;P15880;P18077;P18124;P18621;P23396;P25398;P30050;P32969;P42766;P46778;P46783;P49207;P49591;P61247;P61313;P62249;P62424;P62753;P62841;P62854;P62857;P62888;P62899;P62979;Q02878;Q07020"
"PC3"	"GO_BP"	"0002181"	"cytoplasmic translation "	25	432	76	4387	5.55555555555556	1.73239115568726	4.05962069502273e-06	0.00881343652889435	3.20687134502924	"P05386;P05387;P08708;P36578;P42677;P46779;P49591;P50914;P61513;P62241;P62263;P62269;P62277;P62280;P62701;P62851;P62888;P62906;P62979;P62987;P63173;P63220;P83731;P83881;Q02543"
"PC1"	"GO_BP"	"0006412"	"translation "	28	427	106	4387	6.3231850117096	2.41622976977433	2.78477549792589e-05	0.0277920594693004	2.61696345720472	"P08865;P15880;P18077;P18124;P18621;P23396;P25398;P30050;P32969;P42766;P46778;P46783;P49207;P49591;P61247;P61313;P62249;P62424;P62753;P62841;P62854;P62857;P62888;P62899;P62979;Q02878;Q07020;Q8IYD1"
"PC3"	"GO_BP"	"0006412"	"translation "	28	432	106	4387	6.25	2.41622976977433	3.23287063249232e-05	0.0350928107157041	2.58667452830189	"P05386;P05387;P08708;P36578;P42677;P46779;P49591;P50914;P61513;P62241;P62263;P62269;P62277;P62280;P62701;P62851;P62888;P62906;P62979;P62987;P63173;P63220;P83731;P83881;Q02543;Q8IYD1;Q9NZE8;Q9Y3D5"
"PC2"	"GO_BP"	"0006094"	"gluconeogenesis "	12	443	22	4387	2.48306997742664	0.501481650330522	9.27540336424839e-05	0.105592225965905	4.95146726862303	"P00558;P09467;P17174;P21695;P35558;P35575;P40925;P40926;P60174;Q07869;Q16822;Q9UBK2"
"PC2"	"GO_BP"	"0006635"	"fatty acid beta-oxidation "	13	443	27	4387	2.70880361173815	0.615454752678368	0.000107793648020091	0.105592225965905	4.40130423877602	"O14975;O75521;P09110;P11310;P22307;P24752;P30084;P40939;P42765;P55084;Q08426;Q16836;Q9BUT1"
"PC3"	"GO_BP"	"0042274"	"ribosomal small subunit biogenesis "	12	432	27	4387	2.5462962962963	0.615454752678368	0.000310612791352499	0.224780123342092	4.13725994513032	"P08708;P42677;P62241;P62263;P62277;P62280;P62701;P62851;P62979;Q9BVS4;Q9NRX1;Q9Y324"
"PC2"	"GO_BP"	"0006805"	"xenobiotic metabolic process "	11	443	30	4387	2.25733634311512	0.683838614087075	0.00239286101301978	0.741815796119955	3.30097817908202	"P08263;P09210;P16662;P41235;P51580;P78329;Q01740;Q16772;Q6IB77;Q86WA6;Q9HCS2"
"PC2"	"GO_BP"	"1900118"	"negative regulation of execution phase of apoptosis "	6	443	7	4387	1.12866817155756	0.159562343286984	0.00277937728032954	0.741815796119955	7.07352466946146	"P0CJ68;P0CJ70;P0CJ71;P0CJ73;P0CJ74;P0CJ77"
"PC2"	"GO_BP"	"0098609"	"cell-cell adhesion "	13	443	46	4387	2.70880361173815	1.04855254160018	0.00501027752494358	0.815518709787836	2.58337422710767	"O60500;O94856;P05162;P06756;P08F94;P09382;P13598;P26006;P57739;Q07157;Q7Z4I7;Q96AP7;Q96F07"
"PC2"	"GO_BP"	"0010951"	"negative regulation of endopeptidase activity "	8	443	18	4387	1.58013544018059	0.410303168452245	0.00546912008990177	0.815518709787836	3.85114120892902	"P01023;P01033;P35625;P51606;Q08629;Q5IJ48;Q92563;Q9UHG2"
"PC2"	"GO_BP"	"0030855"	"epithelial cell differentiation "	10	443	29	4387	2.03160270880361	0.661043993617506	0.00575967490265409	0.815518709787836	3.07332451155912	"O43598;O43680;P00558;P07858;P08263;P09210;P09525;P19544;Q9BUT1;Q9H479"
"PC2"	"GO_BP"	"0007568"	"aging "	14	443	50	4387	2.93453724604966	1.13973102347846	0.00603230783967855	0.815518709787836	2.57476297968397	"P00966;P01033;P09619;P24593;P25705;P29279;P36969;P37173;P49918;P80404;Q02962;Q14118;Q15493;Q9UEF7"
"PC2"	"GO_BP"	"0006631"	"fatty acid metabolic process "	9	443	24	4387	1.8058690744921	0.54707089126966	0.00643077433422783	0.815518709787836	3.30097817908202	"P07108;P45954;P49753;P51648;Q07869;Q13510;Q96CM8;Q9HCS2;Q9Y2S2"
"PC2"	"GO_BP"	"0001658"	"branching involved in ureteric bud morphogenesis "	7	443	14	4387	1.35440180586907	0.319124686573969	0.00693902808181841	0.815518709787836	4.24411480167688	"O15230;O43680;P19544;Q02962;Q6UXI9;Q9NSC2;Q9Y663"
"PC2"	"GO_BP"	"0001822"	"kidney development "	11	443	36	4387	2.25733634311512	0.82060633690449	0.00702769963473969	0.815518709787836	2.75081514923501	"O43680;P00966;P08F94;P19544;P49918;P52758;Q06495;Q15493;Q63HR2;Q9NSC2;Q9Y4D7"
"PC1"	"GO_BP"	"0000086"	"G2/M transition of mitotic cell cycle "	7	427	15	4387	1.40515222482436	0.341919307043538	0.00764458469553736	1	4.1096018735363	"O15392;P05067;P0DP24;P0DP25;P40424;P56211;Q8ND76"
"PC1"	"GO_BP"	"0006334"	"nucleosome assembly "	8	427	21	4387	1.63934426229508	0.478687029860953	0.00888393680090136	1	3.42466822794692	"P06748;P06899;P0DME0;P55209;Q08945;Q93079;Q99879;Q99880"
"PC1"	"GO_BP"	"0042274"	"ribosomal small subunit biogenesis "	9	427	27	4387	1.87353629976581	0.615454752678368	0.00930687701312807	1	3.04414953595281	"P06748;P25398;P61247;P62249;P62753;P62841;P62857;P62979;Q9Y324"
"PC2"	"GO_BP"	"0001657"	"ureteric bud development "	7	443	16	4387	1.35440180586907	0.364713927513107	0.0114325207244076	1	3.71360045146727	"O43541;O43680;P16422;P19544;P78540;Q6UXI9;Q9NSC2"
"PC2"	"GO_BP"	"0015986"	"proton motive force-driven ATP synthesis "	7	443	16	4387	1.35440180586907	0.364713927513107	0.0114325207244076	1	3.71360045146727	"P06576;P25705;P48201;P56134;Q06055;Q96IX5;P56385"
"PC2"	"GO_BP"	"0006520"	"amino acid metabolic process "	5	443	7	4387	0.90293453724605	0.159562343286984	0.0131659907425856	1	5.65881973556917	"P09417;P12955;P49895;Q03154;Q86WA6"
"PC2"	"GO_BP"	"0006107"	"oxaloacetate metabolic process "	5	443	7	4387	0.90293453724605	0.159562343286984	0.0131659907425856	1	5.65881973556917	"P17174;P35558;P40925;P40926;Q16822"
"PC2"	"GO_BP"	"0050680"	"negative regulation of epithelial cell proliferation "	7	443	17	4387	1.35440180586907	0.387508547982676	0.0143131690580734	1	3.49515336608684	"P01137;P05981;P49918;P52758;P61769;Q03167;Q15493"
