"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"P01023",0.0124607708998028,0.000391970391467268,0.0112057733094767,0.013454698896574,0.0391499189906527
"Q9NPC4",0.0058820890032131,0.00176445943272059,4.10546576220693e-05,0.00182618783037105,1.53998258493115e-05
"Q9NRG9",0.00438591111056322,0.00247883873714838,0.0222711647092979,0.0019376299423595,0.0256707636376959
"Q6PD74",0.0185735517369227,0.000309900662132651,0.00286482837680542,0.00592267759855998,0.010191735655119
"Q13685",0.0351055041386913,0.0159947409579837,0.0262373283568339,0.00559892867271529,0.000328890774318621
"Q9Y312",0.0149959697027657,0.00235910412706231,0.0205583381616571,0.00234324496073464,0.00628463884532088
"P49588",0.0213338207853914,0.00704141652870182,0.000683116088263657,0.00253495609672083,0.000283439732156482
"Q9BTE6",0.00319686163028199,9.31375244126967e-06,0.000455604369209743,0.0126802034329609,0.0134790275152404
"Q9NRN7",0.0130572759465314,0.00246109549275918,0.00480232976742669,0.00578677921091517,0.0110680219776632
"Q9UDR5",0.00897650045686339,0.00491288952786893,0.000494913847472186,0.0122644760633125,0.00418442340395782
"Q9NY61",0.000430938347620059,0.0268315128402416,0.0587275684731696,0.0179358485121684,0.00628159491129456
"P80404",0.00402839250616373,0.003195427599364,0.00985217539249295,2.25469088377143e-05,0.000430468627538642
"Q9NRK6",0.00582178556289693,0.0015428397934205,2.21461710908573e-05,0.0163054294046591,0.00924330338785026
"Q9NP78",0.00635484936410071,0.0634049301765447,0.00661780405585018,0.000178916449501408,0.000324997711421935
"O95255",0.00691483937275233,0.00183565034880523,0.0274958304372534,0.000802011473382301,0.0024962228507651
"Q8NE71",0.0079842014269583,0.00153270376256648,0.0532748997677384,2.47682064815948e-05,0.00266368486587585
"Q9UG63",0.0105477127149107,0.000354424475805585,0.0016012612194672,0.00577581382701371,0.00160525939044851
"Q96IU4",0.0101474166474031,0.0412991190893029,0.00195119148404316,0.00342222937757438,0.0179968480140879
"O95870",0.0123856547350558,0.0230648787960154,0.0389810806461598,0.00102233891090594,0.00596091017601061
"Q96GS6",0.0168317180379477,0.00277644234108532,0.00357336941463334,0.0138148246142593,0.0147732663185642
"Q0P651",0.00791452305344914,0.003289667729374,0.00142428577852062,0.00151529681388784,0.0020859543600603
"P08910",0.00955219448401019,0.001825264461055,0.0153649943701842,0.00767490670915657,0.00203559879396498
"Q8WU67",0.00727319744855593,0.000682062482448269,0.000108110731237097,0.000376634750169818,0.00306028706209289
"Q8TB40",0.00371662004219644,0.0193143263805122,0.021189497900026,2.18431818323627e-05,0.0122475026623488
"Q8IZP0",0.00881320262194692,0.00049772237543002,0.00357263662815501,0.00283244114127319,0.0038237151994178
"Q9NYB9",0.00212605273684686,0.023024252842354,0.0668466090882937,0.00303865679706286,0.0013659915093358
"Q9P2A4",0.00754312273879661,0.0584219543064098,0.00233165912124593,0.00398989983442456,0.0222968488957034
"Q9NX38",0.00128440055540666,0.0139264152727711,0.0586610501369074,0.0629726178491685,3.14294106895947e-05
"P00519",0.0148021064761066,0.00411359639645465,0.000771857888130007,8.1468206307264e-08,0.000276536608739936
"Q6H8Q1",0.0102438253229308,0.00378121167874566,0.000964272058254848,0.00059397437757329,0.0100533280565101
"P16442",0.000217156829690264,0.0116912990159522,0.000776168479363456,0.010496349162469,0.0012667190017871
"Q12979",0.0114113077426845,0.00638035247921671,0.0105295127753192,0.00924794839905531,0.0079431380544962
"Q9P1F3",0.023849660500277,0.00132842191122958,0.0331914906861384,0.0212188934092982,0.0101215214732583
"Q969K4",0.0201222387776214,0.00117531732572826,0.00928296830745749,0.00660515547926198,1.99497329305284e-05
"P09110",0.01870138040302,0.00918845976145394,0.0537704603049541,0.0152110872851822,0.0344228605470223
"P42765",0.0107140736167295,6.81591874334871e-05,0.000368223211832533,2.81398820611612e-08,0.0340430668832508
"O00763",0.00710064303618998,0.00155782386943428,0.00628440282263315,0.00287737816320722,0.000115930928109693
"Q6JQN1",0.00212189243884416,0.00277473459785652,0.0372852834207839,0.00266317218355402,0.00539539347317262
