"component"	"Category"	"Term_accession"	"Term_description"	"Count_query"	"Pop_query"	"Count_universe"	"Pop_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"PC1"	"GO_BP"	"0002181"	"cytoplasmic translation "	37	693	79	7049	5.1948051948052	1.12072634416229	5.58515782135517e-12	1.57278044249362e-08	4.63521288837745	"P08865;P15880;P18077;P18124;P18621;P23396;P25398;P30050;P32969;P42677;P42766;P46777;P46778;P46783;P47914;P49207;P49591;P61247;P61254;P61313;P61927;P62249;P62424;P62753;P62841;P62847;P62854;P62857;P62888;P62891;P62899;P62979;P84098;Q02878;Q07020;Q9H446;Q9UNX3"
"PC1"	"GO_BP"	"0006412"	"translation "	40	693	130	7049	5.62770562770563	1.84423322457086	1.55090134577886e-08	2.18366909485664e-05	3.05151515151515	"P08865;P15880;P18077;P18124;P18621;P23396;P25398;P30050;P32969;P42677;P42766;P46777;P46778;P46783;P47914;P49207;P49591;P61247;P61254;P61313;P61927;P62249;P62424;P62753;P62841;P62847;P62854;P62857;P62888;P62891;P62899;P62979;P84098;Q02878;Q07020;Q8IYD1;Q9BPZ3;Q9NZE8;Q9Y676;Q9BQ48"
"PC2"	"GO_BP"	"0050911"	"detection of chemical stimulus involved in sensory perception of smell "	8	695	15	7049	1.00719424460432	0.212796141296638	0.00220913352158143	1	4.73314148681055	"O76001;Q5JQS5;Q6IF42;Q8NGC4;Q8NGE0;Q8NGN4;Q96R47;Q9UGF6"
"PC2"	"GO_BP"	"0001570"	"vasculogenesis "	12	695	36	7049	1.58273381294964	0.510710739111931	0.00224840189440341	1	3.09908073541167	"O14786;O60895;P19544;P35414;P35713;P35968;P37173;Q07352;Q12965;Q4VCS5;Q96PU8;Q9ULI3"
"PC3"	"GO_BP"	"0006412"	"translation "	26	698	130	7049	3.58166189111748	1.84423322457086	0.0038480000290982	1	1.94208728234516	"P05386;P05387;P46779;P61353;P61513;P62263;P62273;P62280;P62829;P62851;P62854;P62891;P62913;P62917;P62987;P63220;P83731;Q86TS9;Q8IXM3;Q8NE71;Q96E11;Q96L21;P22090;Q9P0J6;Q9Y2R5;Q9Y3D5"
"PC3"	"GO_BP"	"0002181"	"cytoplasmic translation "	18	698	79	7049	2.43553008595989	1.12072634416229	0.00576088338618226	1	2.17317108556092	"P05386;P05387;P46779;P61353;P61513;P62263;P62273;P62280;P62829;P62851;P62854;P62891;P62913;P62917;P62987;P63220;P83731;Q9UNX3"
"PC2"	"GO_BP"	"0030900"	"forebrain development "	8	695	21	7049	1.00719424460432	0.297914597815293	0.00959559219150638	1	3.38081534772182	"P05067;P24468;P31391;P46100;P48431;P98164;Q96QB1;Q9UM47"
"PC2"	"GO_BP"	"0002181"	"cytoplasmic translation "	17	695	79	7049	2.3021582733813	1.12072634416229	0.0104676036423659	1	2.05416628722339	"P05386;P05387;P08708;P36578;P49591;P50914;P61513;P62241;P62263;P62269;P62277;P62701;P62888;P62906;P62979;P63173;P63220"
"PC2"	"GO_BP"	"0007186"	"G protein-coupled receptor signaling pathway "	21	695	109	7049	2.87769784172662	1.54631862675557	0.012020547532131	1	1.86099927397532	"O60895;O95977;P05067;P0DP24;P31391;P32241;P35414;P47872;Q06481;Q7RTX0;Q8TDT2;Q99523;Q9NQ84;Q9UNE2;Q9Y272;P63215;Q15617;Q6MZT1;Q96LA9;Q8NGE9;Q8TDS7"
"PC2"	"GO_BP"	"0002250"	"adaptive immune response "	13	695	52	7049	1.72661870503597	0.737693289828344	0.012281076039609	1	2.34056447149972	"O43561;O75022;P05013;P15529;P40259;P41240;Q13241;Q29980;Q6GTX8;Q8IUN9;Q96SD1;P05015;Q6PI73"
"PC2"	"GO_BP"	"0030539"	"male genitalia development "	5	695	7	7049	0.575539568345324	0.099304865938431	0.0122910595331974	1	5.79568345323741	"O15119;P18405;P19544;P35222;P37058"
"PC2"	"GO_BP"	"0006955"	"immune response "	18	695	90	7049	2.44604316546763	1.27677684777983	0.0158257685771026	1	1.91579536370903	"O43561;O95977;P02794;P07996;P17676;P25025;P34998;P36941;P40259;P43629;P43631;Q01628;Q04900;Q08334;Q29980;Q5VY80;Q9BZM6;O95976"
"PC3"	"GO_BP"	"1900118"	"negative regulation of execution phase of apoptosis "	5	698	8	7049	0.573065902578797	0.113491275358207	0.0173931033937442	1	5.04942693409742	"Q07817;P0CJ70;P0CJ71;P0CJ73;P0CJ77"
"PC2"	"GO_BP"	"0051693"	"actin filament capping "	4	695	4	7049	0.431654676258993	0.0567456376791034	0.018636607201532	1	7.6068345323741	"P06396;Q01082;Q13813;Q9H254"
"PC1"	"GO_BP"	"0042274"	"ribosomal small subunit biogenesis "	11	693	42	7049	1.44300144300144	0.595829195630586	0.02241895178313	1	2.42183742183742	"P06748;P25398;P42677;P61247;P62249;P62753;P62841;P62847;P62857;P62979;Q9Y324"
"PC2"	"GO_BP"	"0051897"	"positive regulation of protein kinase B signaling "	12	695	51	7049	1.58273381294964	0.723506880408569	0.0224660115789839	1	2.18758640146706	"P05019;P05067;P05556;P07900;P07996;P08238;P24593;P36222;P98164;Q13591;Q96AC1;Q9NQC3"
