"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"P01023",0.00353533590302443,0.0346334297564598,0.0666556437841209,0.00176064564436096,0.0111765947035674
"Q9NPC4",0.00081055177386841,0.0237756567147675,0.00223829370423127,0.0525291208871306,0.0140150621277326
"Q6PD74",0.0186251909298205,0.00047247402836885,0.0435680660975304,0.00836262578476688,0.00195344696910979
"Q13685",0.0325583788657181,0.0106439847581256,0.00138247277592728,0.0150448110236655,0.00159091289315194
"Q9Y312",0.0128715477609697,0.00051579682623436,0.00340122195051464,0.000831187625007785,0.00423379252487623
"P49588",0.0197704226651158,0.0231728221955959,0.00390735739040315,0.00246417136695976,0.0277679433050805
"Q9NRN7",0.00856107914199378,0.0445636880260868,0.0157847510980054,0.00389150173206181,0.007316338555567
"Q9UDR5",0.00965312741019742,0.0121089005803901,0.0567242968378008,0.0138364026085248,0.00226877860257261
"P80404",0.00655084405005757,0.00234619102997625,0.00352876406255195,0.0110768204886377,0.00015357793014378
"Q9NRK6",0.000913388360508525,0.0223659075432054,0.0288964575748565,0.0153849755239649,0.0413895309242837
"Q8NE71",0.00312447051428773,0.0113530339554203,0.000284017980800814,0.000499949338571868,0.0422171905700072
"Q96IU4",0.0145417203471049,0.031870207480111,0.00809461693337832,0.0764733779026123,0.0112726336039374
"O95870",0.00861590071485652,0.049789608316879,0.0213414316795218,0.00960809604403994,0.00199723766155956
"Q96GS6",0.0146169165803614,0.00244017471493101,0.108081212904847,0.042234396760808,0.000467675852885489
"Q0P651",0.0200475690537392,6.27559595125417e-07,0.00176039466312519,0.0130370656649389,0.00288814890010268
"P08910",0.00380713019539905,0.0106146997035237,8.46452585376102e-07,0.0305534728946876,0.000168703906043
"Q8WU67",0.005215463910079,2.00631521522017e-07,0.00742007127226905,0.0116918433575293,0.011772280121856
"Q8TB40",0.0158412959444623,0.00916538326881747,0.106316865860259,0.0109444717573685,0.0343323027196782
"Q8IZP0",0.00357636141784818,0.0264244949882301,0.0187159421231843,0.0223107089100478,0.0171327548680815
"Q9NYB9",0.00506018254835832,0.00923449502911247,0.0886370688714754,0.0046881258287949,0.000344464699415952
"Q9NX38",0.00539962976970017,0.064735820907294,0.0963323420403306,0.0159071580837014,0.00144423475098169
"P00519",0.0179445829311384,0.00271169490920772,0.00281322519173967,0.00763183141358256,0.0329305200222454
"Q6H8Q1",0.00691252142525892,0.0167674367780488,0.0139491022029973,0.0372253108323419,0.000611488722438394
"P16442",7.61049419618434e-05,0.0136465694750303,0.00064232201439227,0.100842227102191,2.47721551711358e-05
"Q12979",0.007635270833516,0.00362909939571892,0.00413257147696364,0.0204350909244404,2.23250237069259e-06
"Q9P1F3",0.0184956376216291,0.0130044484097557,0.0119000679523095,0.00557656607022606,0.000367620476205406
"Q969K4",0.0190317939510713,0.0184302214738912,0.00443164837753393,0.00206405819447933,0.028787937177872
"P09110",0.0278591299202974,0.000171894931207895,0.000782904383594232,0.0304565735038849,0.0135725202035485
"P42765",0.0121943997672343,0.0318235348922794,0.0166393631796465,0.00325624715014938,0.00560733684823908
"Q709F0",0.0227143862057812,0.0331610482597497,4.05652337062292e-05,0.0107396646037208,0.00430467975162737
"P11310",0.0200270165470045,0.0180856292567334,0.0197294246031992,0.0288351913557135,0.0084315383623198
"P16219",0.0156536038738404,0.0570006445689638,0.00348021249310642,0.00334463977061032,0.00327266976594242
"P45954",0.0209773251754894,8.90187220724012e-05,0.00123479424326248,0.00155839215696973,0.0251899488713813
"P49748",0.0217249621797014,0.00679645014255612,0.00238483322468035,0.0707365459521459,0.0300535390294165
"Q15057",0.0145755903823287,0.0122802462741042,0.063182113583876,0.00031070531765801,0.0323918947702046
"P24752",0.0148269153084044,0.0419919642729909,0.0590794514294542,6.89397022266287e-08,0.00503765428083185
"Q9H3P7",0.0142915700194459,0.00138217516164473,0.0336567415285681,6.37809687728985e-07,0.00538965095885957
"Q5T8D3",0.00961310907088339,0.0177554248434792,0.000182166302877158,0.00500965839713607,0.0179587433595923
"Q9BR61",0.0174936313041138,0.000312637216806817,0.00116137443411977,0.000411705533915251,0.000268081154372242
"Q9UKV3",0.0212179162231096,0.0223223772288746,0.0252765320564224,0.000376424686591497,0.0684967236321869
"P53396",0.00521101324335067,0.0146762126654291,0.000245156958837816,0.000493487653246348,0.0297607403357617
"P21399",0.000916171554864647,0.0237490651912069,0.000286423768573273,0.0158198244870015,0.0757640068950161
"Q99798",0.0238383942291309,0.00451174519515366,0.00123103342006332,5.93132435792502e-05,0.0600714501701512
"Q86TX2",0.0131520528838344,0.000516046914374014,0.0057320209713026,0.000811265546617368,0.0197853700169431
"Q8WXI4",0.00837750457841757,0.00911726895341636,1.78477999018185e-05,0.0163264591688447,0.00023573327902437
"P49753",0.00528188364079517,0.00574245822127612,0.0143938671259219,0.01743743618337,0.00266547869343869
"O14734",0.00201189395109356,0.0724139055373154,0.0291864377480164,0.00130413784355824,0.000790005390686329
