"component"	"Category"	"Term_accession"	"Term_description"	"Count_query"	"Pop_query"	"Count_universe"	"Pop_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"PC1"	"GO_BP"	"0002181"	"cytoplasmic translation "	47	589	79	5974	7.80984719864177	1.32239705390023	4.03004736727031e-18	1.05909644811864e-14	5.90582622337796	"P05387;P08708;P08865;P15880;P18077;P18124;P18621;P23396;P25398;P30050;P32969;P36578;P42677;P42766;P46777;P46778;P46783;P47914;P49207;P49591;P61247;P61254;P61313;P61513;P61927;P62241;P62249;P62263;P62269;P62277;P62424;P62753;P62841;P62847;P62857;P62888;P62891;P62906;P62917;P62979;P63173;P83881;P84098;Q02543;Q02878;Q07020;Q9UNX3"
"PC1"	"GO_BP"	"0006412"	"translation "	50	589	123	5974	8.31918505942275	2.05892199531302	4.17834076199511e-14	5.49033976126157e-11	4.04055378414565	"P05387;P08708;P08865;P15170;P15880;P18077;P18124;P18621;P23396;P25398;P30050;P32969;P36578;P42677;P42766;P46777;P46778;P46783;P47914;P49207;P49591;P61247;P61254;P61313;P61513;P61927;P62241;P62249;P62263;P62269;P62277;P62424;P62753;P62841;P62847;P62857;P62888;P62891;P62906;P62917;P62979;P63173;P83881;P84098;Q02543;Q02878;Q07020;Q13084;Q13765;Q96L21"
"PC1"	"GO_BP"	"0042274"	"ribosomal small subunit biogenesis "	15	589	37	5974	2.37691001697793	0.6193505189153	9.53756238072013e-05	0.0835490464551084	3.83774606525031	"P06748;P08708;P25398;P42677;P61247;P62241;P62249;P62263;P62277;P62753;P62841;P62847;P62857;P62979;Q9Y324"
"PC2"	"GO_BP"	"0007165"	"signal transduction "	53	589	314	5974	8.82852292020373	5.25610980917308	0.0006037794002048	1	1.67966866004131	"O00175;O00299;O00468;O43639;O75369;O75815;O95406;O95715;O95833;P04083;P04626;P05230;P16298;P18065;P20138;P20309;P20936;P21741;P23771;P28799;P29279;P29373;P30281;P31994;P36941;P37023;P43487;P48061;P49407;P49773;P50591;P50895;P51812;P52735;P55196;P78368;Q00994;Q01638;Q03405;Q07889;Q13043;Q13362;Q13564;Q13576;Q14644;Q16659;Q5H9J7;Q5U651;Q92686;Q9BZL4;Q9P1Z2;Q9UKI2;Q9Y3M8"
"PC2"	"GO_BP"	"0007155"	"cell adhesion "	28	589	140	5974	4.58404074702886	2.34348844994978	0.00211162857567913	1	1.9560756730536	"O15018;O43294;O43312;P05067;P05106;P06756;P07942;P07996;P10915;P20138;P22392;P24821;P29279;P35222;P48061;P48509;P50895;P55000;P55196;P62330;Q01955;Q02487;Q13591;Q16270;Q86U70;Q86W92;Q92859;Q99715"
"PC2"	"GO_BP"	"0061844"	"antimicrobial humoral immune response mediated by antimicrobial peptide "	8	589	17	5974	1.18845500848896	0.284566454636759	0.00381308603930109	1	4.17637071806651	"O95715;P01042;P05067;P12838;P39019;P48061;P60022;P62861"
"PC1"	"GO_BP"	"0001649"	"osteoblast differentiation "	13	589	50	5974	2.03735144312394	0.836960160696351	0.0105283008638244	1	2.43422750424448	"P06576;P07910;P21359;P24593;P48431;P51659;P55265;P61604;P62841;Q00839;Q13485;Q13951;Q96A33"
"PC2"	"GO_BP"	"0070374"	"positive regulation of ERK1 and ERK2 cascade "	16	589	72	5974	2.54668930390492	1.20522263140275	0.0118013502494393	1	2.11304470854556	"O00175;O15519;P01137;P02649;P04233;P05067;P05106;P05230;P27361;P28223;P29279;P49407;P62834;Q6UXI9;Q99623;Q9GZP0"
"PC2"	"GO_BP"	"0006955"	"immune response "	16	589	75	5974	2.54668930390492	1.25544024104453	0.0144218739958092	1	2.02852292020374	"O00175;O95406;P00736;P07996;P09912;P31994;P36941;P43629;P48061;P50591;P60022;Q01638;Q07021;Q29980;Q6V1X1;Q53G44"
"PC3"	"GO_BP"	"0006123"	"mitochondrial electron transport, cytochrome c to oxygen "	6	598	12	5974	0.836120401337793	0.200870438567124	0.0144564691545014	1	4.16248606465998	"P09669;P10176;P10606;P12074;P14854;P20674"
