"gene","enriched_in","Category","Term_accession","Term_description","Count_query","Pop_query","Count_universe","Pop_universe","%_query","%_universe","pval","adjpval","fold_change","Proteins_in_query"
"CDH5","correlated","GO_BP","0007568","aging ","6","60","63","7049","8.33333333333333","0.893743793445879","0.000239031120793897","0.150828637220949","9.32407407407407","P08572;P19320;P24593;P27824;P35221;Q14118"
"CDH5","correlated","GO_BP","0072659","protein localization to plasma membrane ","5","60","81","7049","6.66666666666667","1.14909916300184","0.00538025795291282","1","5.80164609053498","O60895;P62491;Q01082;Q15599;Q9NZN3"
"CDH5","correlated","GO_BP","0007229","integrin-mediated signaling pathway ","4","60","53","7049","5","0.75187969924812","0.011218786488561","1","6.65","O14495;P05556;P26006;P35221"
"CDH5","correlated","GO_BP","0007160","cell-matrix adhesion ","4","60","54","7049","5","0.766066108667896","0.0117727020931529","1","6.52685185185185","P05556;P19320;P26006;P63000"
"CDH5","correlated","GO_BP","0010811","positive regulation of cell-substrate adhesion ","3","60","18","7049","3.33333333333333","0.255355369555965","0.0118329177591228","1","13.0537037037037","P26006;P63000;Q92563"
"CDH5","correlated","GO_BP","0035924","cellular response to vascular endothelial growth factor stimulus ","3","60","19","7049","3.33333333333333","0.269541778975741","0.0130088124412876","1","12.3666666666667","O60895;P19320;P49137"
"CDH5","correlated","GO_BP","0045766","positive regulation of angiogenesis ","4","60","70","7049","5","0.99304865938431","0.0227860072598535","1","5.035","O60895;P05556;P17813;P33151"
"CDH5","correlated","GO_BP","0001666","response to hypoxia ","4","60","70","7049","5","0.99304865938431","0.0227860072598535","1","5.035","P14625;P17813;P19021;P19320"
"CDH5","correlated","GO_BP","0006954","inflammatory response ","5","60","135","7049","6.66666666666667","1.91516527166974","0.0284001537177203","1","3.48098765432099","O60636;P19320;P49137;P63000;Q16666"
"CDH5","correlated","GO_BP","1903078","positive regulation of protein localization to plasma membrane ","3","60","30","7049","3.33333333333333","0.425592282593276","0.028978340118954","1","7.83222222222222","P05556;P26006;Q01082"
