"Gene","Uniprot","Pearson_correlation"
"GOLIM4","O00461",0.620288718365656
"PLPP3","O14495",0.517948533949523
"CTDSP2","O14595",0.539649604661562
"TSPAN2","O60636",0.660883939278154
"CUTA","O60888",0.51455703790458
"RAMP2","O60895",0.540779420240816
"NDUFB4","O95168",0.547992899388901
"LEPROTL1","O95214",0.511851790131497
"PTBP3","O95758",0.588726770503939
"MAP4K4","O95819",0.506445896916077
"ITGB1","P05556",0.507323825087746
"ATP5F1B","P06576",0.504002901233015
"COL4A2","P08572",0.548987477183743
"HSPA8","P11142",0.599964798914052
"CD59","P13987",0.514400422325861
"HSP90B1","P14625",0.537215087339534
"ENG","P17813",0.559329794264131
"PAM","P19021",0.617747895091126
"VCAM1","P19320",0.556882739210211
"KDELR1","P24390",0.595778947175039
"IGFBP5","P24593",0.549050880689939
"ITGA3","P26006",0.527283119604481
"CANX","P27824",0.506791970365645
"PEBP1","P30086",0.51141242860286
"CDH5","P33151",1
"CTNNA1","P35221",0.507341738365591
"NRIP1","P48552",0.512929984768497
"MAPKAPK2","P49137",0.63105782822228
"ARHGDIB","P52566",0.537002982224765
"UBE2D3","P61077",0.64118121666946
"RAB11A","P62491",0.594893264169129
"H4C9","P62805-C9",0.512990149566791
"RAC1","P63000",0.524358913828427
"SPTBN1","Q01082",0.55143112495605
"ZNF91","Q05481",0.508838509834127
"PSME1","Q06323",0.552811001450199
"DAG1","Q14118",0.509266379252967
"IL13RA2","Q14627",0.535421555740187
"DAZAP2","Q15038",0.53362304829976
"SLC9A3R2","Q15599",0.500177338668451
"IFI16","Q16666",0.643873101208509
"ARHGAP29","Q52LW3",0.535921902825421
"FNBP1L","Q5T0N5",0.533671430421437
"ZC3H7A","Q8IWR0",0.552266488552281
"ANKRD36B","Q8N2N9",0.542579490237482
"MAPK1IP1L","Q8NDC0",0.522128672004386
"ST6GALNAC3","Q8NDV1",0.571812286074087
"RIN2","Q8WYP3",0.513307351099679
"SLC39A7","Q92504",0.504183017583246
"SPOCK2","Q92563",0.504789030027916
"NECTIN2","Q92692",0.565639955474807
"TM9SF2","Q99805",0.602084987137445
"TRIR","Q9BQ61",0.584803450691374
"ZNF577","Q9BSK1",0.541628409030374
"TANC1","Q9C0D5",0.503367701519879
"TTYH3","Q9C0H2",0.512191284176619
"EHD3","Q9NZN3",0.535298051787589
"PALD1","Q9ULE6",0.503773707476487
"ZNF148","Q9UQR1",0.516316491588818
"UBE2J1","Q9Y385",0.539329090719855
"KLF2","Q9Y5W3",0.525456857207148
