"gene","enriched_in","Category","Term_accession","Term_description","Count_query","Pop_query","Count_universe","Pop_universe","%_query","%_universe","pval","adjpval","fold_change","Proteins_in_query"
"CD44","correlated","GO_BP","0018023","peptidyl-lysine trimethylation ","3","263","4","7049","0.760456273764259","0.0567456376791034","0.0172279997695713","1","13.4011406844106","Q96G04;Q9BQD7;Q8N7N1"
"CD44","correlated","GO_BP","0019221","cytokine-mediated signaling pathway ","6","263","43","7049","1.90114068441065","0.610015605050362","0.0270828917544581","1","3.11654434521178","O75159;P02776;P16070;Q14213;Q8WWZ1;P05015"
"CD44","correlated","GO_BP","0009411","response to UV ","4","263","20","7049","1.14068441064639","0.283728188395517","0.0467075825262853","1","4.02034220532319","O14733;P28340;Q13131;Q92466"
"CD44","correlated","GO_MF","0046872","metal ion binding ","48","263","918","7049","17.8707224334601","13.0231238473542","0.0248028534973971","1","1.37223009186776","O15156;O60481;O94766;P08123;P13637;P20839;P21917;P28340;P52744;P78563;P98194;Q08493;Q08499;Q13131;Q13485;Q6PEY2;Q86SK9;Q8NA42;Q8NBJ7;Q8TDD2;Q8TDI0;Q8WWF5;Q96D59;Q96N58;Q96SQ5;Q9BVA1;Q9C0K0;Q9NR12;Q9NZ20;P17035;P17038;Q0D2J5;Q6ECI4;Q6ZN55;Q96EY9;O75373;Q5VIY5;Q68DI1;Q6ZN79;Q8IYB9;Q8N823;Q8TAF7;Q9P255;Q9P2S6;B7Z6K7;E7ETH6;P0DPD5;Q96IR2"
"CD44","correlated","GO_MF","0070402","NADPH binding ","3","263","7","7049","0.760456273764259","0.099304865938431","0.0385340242267193","1","7.65779467680608","P00374;P18405;Q08257"
"CD44","correlated","GO_MF","0004888","transmembrane signaling receptor activity ","6","263","50","7049","1.90114068441065","0.709320470988793","0.0451193450539807","1","2.68022813688213","O14798;P16070;P26717;P40259;P43631;Q13241"
"CD44","correlated","KEGG_pathway","hsa04060","Cytokine-cytokine receptor interaction - Homo sapiens (human)","8","263","70","7049","2.6615969581749","0.99304865938431","0.0192994254900332","1","2.68022813688213","Q14213;P09603;Q9UBH0;P05015;P15260;P02776;Q8WWZ1;O14798"
"CD44","correlated","KEGG_pathway","hsa05032","Morphine addiction - Homo sapiens (human)","5","263","27","7049","1.52091254752852","0.383033054333948","0.0232002847215778","1","3.97070835093649","P63215;P63218;Q92806;Q08493;Q08499"
"CD44","correlated","KEGG_pathway","hsa04713","Circadian entrainment - Homo sapiens (human)","5","263","34","7049","1.52091254752852","0.482337920272379","0.044922469980171","1","3.1532095728025","P63215;P63218;Q12879;Q92806;P27482"
"CD44","correlated","REACTOME_pathway","R-HSA-416476","G alpha (q) signalling events","6","263","40","7049","2.28136882129278","0.567456376791034","0.00544639290137283","1","4.02034220532319","Q9NS28;P28223;P63215;P63218;P21731;O15130;Q9HBW0"
"CD44","correlated","REACTOME_pathway","R-HSA-418594","G alpha (i) signalling events","6","263","50","7049","2.28136882129278","0.709320470988793","0.0140625283267056","1","3.21627376425855","P63218;Q9HBW0;O60755;P02776;Q9NS28;P63215;P21917"
"CD44","correlated","REACTOME_pathway","R-HSA-2172127","DAP12 interactions","2","263","5","7049","0.760456273764259","0.0709320470988793","0.0235576015750776","1","10.7209125475285","P26717;Q13241;P43631"
