"Gene","Uniprot","Pearson_correlation"
"UBE2L5","A0A1B0GUS4",0.596373502808892
"PERCC1","A0A1W2PR82",0.535649905011701
"FAM168B","A1KXE4",0.532706375560889
"TMEM88B","A6NKF7",0.537761327428196
"SPDYE3","A6NKU9",0.539451144204775
"GOLGA8J","A6NMD2",0.509271134084761
"CYSRT1","A8MQ03",0.537325846508078
"ZNF814","B7Z6K7",0.67422612626652
"MCRIP1","C9JLW8",0.572538924829566
"ZNF587B","E7ETH6",0.617725487495436
"TMEM250","H0YL14",0.539536414950219
"TGFBR3L","H3BV60",0.511984517986838
"GTPBP1","O00178",0.536914660495055
"LGALS8","O00214",0.515395564975053
"MAP2K7","O14733",0.503662189353513
"TNFRSF10C","O14798",0.537809133093978
"NPFF","O15130",0.522503484639991
"ZBTB7B","O15156",0.501687429656776
"OGG1","O15527",0.509885384041389
"ZNF208","O43345",0.50985388531838
"XRCC2","O43543",0.588565254946537
"NUPR1","O60356",0.60111233080725
"ZIC3","O60481",0.573390953197605
"GALR3","O60755",0.542462355785107
"SOCS5","O75159",0.56800573503132
"ZNF737","O75373",0.515505487459558
"TUSC2","O75896",0.639916477979991
"B3GAT3","O94766",0.598285442518848
"DKK1","O94907",0.523681715743085
"UBL3","O95164",0.509472697079951
"NSA2","O95478",0.507056754283284
"PRAMEF1","O95521",0.583352050149872
"MPC2","O95563",0.519468643739517
"TOMM40","O96008",0.528341515633661
"DHFR","P00374",0.588463862403793
"PF4","P02776",0.544673044946108
"ALDOA","P04075",0.521760313543784
"IFNA16","P05015",0.635688905964437
"KRT18","P05783",0.5159709098554
"S100A6","P06703",0.528210944056005
"NPM1","P06748",0.536597722534174
"FABP1","P07148",0.505512174181047
"COL1A2","P08123",0.578120482385703
"RPSA","P08865",0.514645007398207
"LGALS1","P09382",0.504877975579832
"CSF1","P09603",0.567925305461927
"H2AC15","P0C0S8-C15",0.547146167770447
"FAM153B","P0C7A2",0.604416117481634
"SLC35G4","P0C7Q5",0.50187535513516
"VSIG8","P0DPA2",0.546539580036308
"ZNF723","P0DPD5",0.574851179497541
"CLU","P10909",0.601391446522044
"ATP1A3","P13637",0.505518232383716
"PGAM2","P15259",0.535475482641659
"IFNGR1","P15260",0.650494378409789
"KCNE1","P15382",0.50570000697925
"CD44","P16070",1
"ZNF28","P17035",0.657305880491042
"ZNF43","P17038",0.61582330920909
"SRD5A1","P18405",0.594796497265912
"ORM2","P19652",0.504142670651184
"IMPDH1","P20839",0.532740881275656
"TBXA2R","P21731",0.63834262556438
"DRD4","P21917",0.543404302696733
"KLRC2","P26717",0.575818277866416
"MST1","P26927",0.552503402415831
"CALML3","P27482",0.702494197896426
"HTR2A","P28223",0.654502589846305
"ITPRID2","P28290",0.507744686976147
"POLD1","P28340",0.619744192265727
"CDC25B","P30305",0.623575067992749
"BTC","P35070",0.522664563762975
"RORA","P35398",0.522868229613227
"ZNF93","P35789",0.513234737853796
"ZEB1","P37275",0.591334212082346
"GGCX","P38435",0.500660116687576
"CD79B","P40259",0.63102287677387
"MAGEA3","P43357",0.528368741656529
"MAGEA4","P43358",0.541097576994435
"KIR2DS2","P43631",0.511501789776028
"RPS10","P46783",0.519160953222833
"TM4SF4","P48230",0.601475083759123
"SARS1","P49591",0.608131062585969
"TTPA","P49638",0.582245559251389
"STK19","P49842",0.584144578856502
"ZNF138","P52744",0.593920184622233
"NR1H2","P55055",0.543505119310317
"SOX10","P56693",0.599986798587805
"STX1B","P61266",0.553193382536526
"RPL7A","P62424",0.540172900528355
"RPS26","P62854",0.515114771570741
"POLR2L","P62875",0.505324300505451
"PPIA","P62937",0.535527869698526
"GNG3","P63215",0.503779418834188
"GNG5","P63218",0.530646847770166
"HBA2","P69905",0.543099719665003
"IRX5","P78411",0.510662894244799
"ADARB1","P78563",0.598684057730154
"PRR5","P85299",0.601754275553727
"ATP2C1","P98194",0.553969428620939
"GSTM4","Q03013",0.595929102758196
"ZNF90","Q03938",0.620181902441356
"CRYZ","Q08257",0.553620834106735
"PDE4C","Q08493",0.531904888141332
"PDE4D","Q08499",0.502145755904214
"ZNF763","Q0D2J5",0.650139019806523
"GALNT2","Q10471",0.509698686259736
"GRIN2A","Q12879",0.548150633448808
"PRKAA1","Q13131",0.587706288298026
"KLRD1","Q13241",0.573030322306431
"SMAD4","Q13485",0.516205087002482
"EBI3","Q14213",0.547540026426419
"FLOT2","Q14254",0.505190479974131
"FRG1","Q14331",0.519519672064038
"USP10","Q14694",0.555199111132807
"QPRT","Q15274",0.529039715370884
"RCN1","Q15293",0.504617933613868
"PARP14","Q460N5",0.507970237866571
"SLFNL1","Q499Z3",0.595233464752852
"TTC31","Q49AM3",0.590208614765567
"TBC1D10B","Q4KMP7",0.525128820111033
"C4orf46","Q504U0",0.694505800182686
"CCDC184","Q52MB2",0.632125048682395
"UNC50","Q53HI1",0.541886729589373
"PCID2","Q5JVF3",0.509654573603952
"TIMM23B","Q5SRD1",0.525155061673809
"HYI","Q5T013",0.537920657350996
"ERMARD","Q5T6L9",0.632293551500049
"CPTP","Q5TA50",0.551526500368863
"LCE4A","Q5TA78",0.594869919579641
"ANKRD20A1","Q5TYW2",0.565255130882549
"ZNF468","Q5VIY5",0.630581193421264
"FOXD4L5","Q5VV16",0.533500524223849
"PLPP4","Q5VZY2",0.521634859787065
"HGSNAT","Q68CP4",0.510158508271922
"ZNF776","Q68DI1",0.593017424523646
"KCTD11","Q693B1",0.590501661466121
"PVRIG","Q6DKI7",0.599219641866283
"ZNF470","Q6ECI4",0.610277928631078
"OR7E24","Q6IFN5",0.558774085216748
"CCDC144NL","Q6NUI1",0.54800061612022
"GPAT2","Q6NUI2",0.506033737588507
"KANK3","Q6NY19",0.509084135776277
"SPAG11A","Q6PDA7",0.600778409749366
"TUBA3E","Q6PEY2",0.547910059825225
"TTC33","Q6PID6",0.549287414703128
"ENHO","Q6UWT2",0.561270128079028
"B3GNT6","Q6ZMB0",0.516407919942778
"UNC5A","Q6ZN44",0.585629233233796
"ZNF574","Q6ZN55",0.552335157482078
"ZNF705A","Q6ZN79",0.515317027875935
"FAM83H","Q6ZRV2",0.535943181769127
"NYAP1","Q6ZVC0",0.517838168858861
"H3C15","Q71DI3",0.523829647421962
"KRT28","Q7Z3Y7",0.507757998753159
"NANOGNB","Q7Z5D8",0.505258367646005
"SCD5","Q86SK9",0.611132308892797
"FAM90A1","Q86YD7",0.562498045920161
"RHPN2","Q8IUC4",0.616135018137408
"ANKRD18A","Q8IVF6",0.629838129244026
"C9orf40","Q8IXQ3",0.542064528383808
"KLHDC8B","Q8IXV7",0.523299705932049
"ZNF595","Q8IYB9",0.556964613755746
"REXO1","Q8N1G1",0.500352534310391
"ARMC10","Q8N2F6",0.592658709174585
"MT1M","Q8N339",0.535118558042872
"TMCO5A","Q8N6Q1",0.551253669142578
"FAM86B1","Q8N7N1",0.502687978735468
"ZNF611","Q8N823",0.64624726179236
"NAT8L","Q8N9F0",0.506162262324873
"SYT2","Q8N9I0",0.583517509987394
"ZNF383","Q8NA42",0.532006534561316
"SUMF2","Q8NBJ7",0.533924322312972
"OR5L1","Q8NGL2",0.63742354189994
"MBD3L2","Q8NHZ7",0.500106009950753
"ZNF461","Q8TAF7",0.559786065970825
"FAM110D","Q8TAY7",0.575054588032585
"UBALD1","Q8TB05",0.587063833956684
"CCDC110","Q8TBZ0",0.503393754234998
"SP7","Q8TDD2",0.558788720374773
"CHD5","Q8TDI0",0.57737394639748
"GPR152","Q8TDT2",0.516901996522542
"TRPC4AP","Q8TEL6",0.500598348062793
"CCDC107","Q8WV48",0.580024087312748
"CPLX3","Q8WVH0",0.550227209789563
"SKA2","Q8WVK7",0.587529584381302
"ZNRF4","Q8WWF5",0.506757960323232
"IL1F10","Q8WWZ1",0.592280857393148
"SCG3","Q8WXD2",0.569162652632446
"DDB2","Q92466",0.510378380422062
"KCNJ9","Q92806",0.556361024496551
"JARID2","Q92833",0.535464887658948
"ARL8A","Q96BM9",0.530550477164798
"RNF183","Q96D59",0.549573535001164
"SAAL1","Q96ER3",0.50258559180029
"ADAT3","Q96EY9",0.585220835152073
"DTD2","Q96FN9",0.553160424854495
"EEF2KMT","Q96G04",0.516083698228265
"ERO1A","Q96HE7",0.502287725955692
"GPATCH3","Q96I76",0.568639955421497
"ZNF845","Q96IR2",0.571363062974189
"BMERB1","Q96MC5",0.670059116201793
"ZNF578","Q96N58",0.516372546265011
"SPATA13","Q96N96",0.537426445522688
"RCHY1","Q96PM5",0.632266637550899
"CIC","Q96RK0",0.531134639590569
"ZNF587","Q96SQ5",0.691050854917005
"TSC22D3","Q99576",0.512510205151631
"SPIN2B","Q9BPZ2",0.57542930929684
"ANTKMT","Q9BQD7",0.608775760214903
"PSMG3","Q9BT73",0.525183282150604
"APOO","Q9BUR5",0.563204794617594
"VAMP8","Q9BV40",0.508508466655964
"KATNB1","Q9BVA0",0.511440885620292
"TUBB2B","Q9BVA1",0.504496973303615
"MXD3","Q9BW11",0.540507361140205
"SFXN3","Q9BWM7",0.639832673259078
"BCL2L13","Q9BXK5",0.517825793166349
"CARD11","Q9BXL7",0.55456853090298
"AP1M1","Q9BXS5",0.518108683877056
"CACNG6","Q9BXT2",0.544206799009578
"LRRC2","Q9BYS8",0.514453504557415
"PRRG3","Q9BZD7",0.520218831393364
"TRIM4","Q9C037",0.601802857337565
"TNKS1BP1","Q9C0C2",0.505039164495307
"BCL11B","Q9C0K0",0.589450665448466
"CHST5","Q9GZS9",0.611583830184483
"SDCBP2","Q9H190",0.572868850872451
"PHAX","Q9H814",0.552435305135616
"FAM204A","Q9H8W3",0.512163457118943
"LPAR2","Q9HBW0",0.51112574446596
"CD248","Q9HCU0",0.541603350285574
"KCNK9","Q9NPC2",0.532475333054377
"PDLIM7","Q9NR12",0.633920220271543
"PRMT8","Q9NR22",0.511656630168144
"RGS18","Q9NS28",0.534857590934597
"BRWD1","Q9NSI6",0.509088302842515
"LYRM2","Q9NU23",0.627173871458893
"TMEM30A","Q9NV96",0.521319966618685
"PLA2G3","Q9NZ20",0.592219349974869
"ACTR10","Q9NZ32",0.538949020145807
"CD274","Q9NZQ7",0.588148400236692
"COX16","Q9P0S2",0.533199307120461
"ZNF492","Q9P255",0.620772465370364
"TMEM181","Q9P2C4",0.52821687997264
"ANKMY1","Q9P2S6",0.574984435962476
"IL36RN","Q9UBH0",0.697628826968309
"DNAJB9","Q9UBS3",0.516076121484138
"B4GALT7","Q9UBV7",0.615180827593669
"OR5V1","Q9UGF6",0.552967183040558
"NAT8B","Q9UHF3",0.575716825166936
"TSPYL4","Q9UJ04",0.534366151955844
"METRN","Q9UJH8",0.544977050065747
"SARDH","Q9UL12",0.57951412244887
"ZNF346","Q9UL40",0.567524715978824
"CBLC","Q9ULV8",0.512549760102317
"RPL26L1","Q9UNX3",0.515178770311285
"KCNK6","Q9Y257",0.542518054003754
"TMA7","Q9Y2S6",0.517589726196462
"FCF1","Q9Y324",0.545937848905425
"DHRS7","Q9Y394",0.558419450806931
"NUB1","Q9Y5A7",0.522792396155004
"PSAT1","Q9Y617",0.545273416466503
"ZFP37","Q9Y6Q3",0.580390440867249
"H1_0","Undefined_ID_H1_0",0.545871587882163
"KRTAP10_3","Undefined_ID_KRTAP10_3",0.612228460454568
"KRTAP12_3","Undefined_ID_KRTAP12_3",0.557261051323171
"KRTAP5_1","Undefined_ID_KRTAP5_1",0.560396214535151
"KRTAP9_1","Undefined_ID_KRTAP9_1",0.542427846671098
"KRTAP9_2","Undefined_ID_KRTAP9_2",0.62832477258489
"KRTAP9_4","Undefined_ID_KRTAP9_4",0.567185807382777
"NKX2_4","Undefined_ID_NKX2_4",0.619683613402073
