"Gene","Uniprot","Pearson_correlation"
"NDUFA1","O15239",0.524417997416761
"XRCC5","P13010",0.509024388074891
"DDX5","P17844",0.504002978961518
"SFPQ","P23246",0.51144938233202
"GNA11","P29992",0.513071483830617
"ITGA8","P53708",1
"TUBB4B","P68371",0.532544289447272
"LAMTOR4","Q0VGL1",0.513428373088467
"SRSF6","Q13247",0.60354109601879
"TEAD2","Q15562",0.516766789426629
"CHCHD10","Q8WYQ3",0.50030192015318
"PHF3","Q92576",0.55163544372492
"S100A13","Q99584",0.52629390872748
"NDRG2","Q9UN36",0.531692411569392
"LUC7L2","Q9Y383",0.543096847976563
"MRPS16","Q9Y3D3",0.523527835296713
