"category"	"Category"	"Term_accession"	"Term_description"	"Count_query"	"Pop_query"	"Count_universe"	"Pop_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"up_in_MNF_vs_Normal"	"GO_BP"	"0000122"	"negative regulation of transcription by RNA polymerase II "	36	317	362	6125	11.0410094637224	5.91020408163265	0.000630378587147902	1	1.86812660125137	"O15119;O76024;O94763;P10589;P12643;P12757;P17483;P17535;P18146;P26583;P35222;P45973;P53539;P62263;P84022;Q00653;Q02078;Q07021;Q08117;Q12873;Q13033;Q13330;Q13363;Q13547;Q13765;Q14192;Q7LFL8;Q8N108;Q92793;Q93008;Q9NRW4;Q9NZM5;Q9UM47;Q9UQR1;Q9BQI9;Q9Y2B9"
"up_in_MNF_vs_Normal"	"GO_BP"	"0045892"	"negative regulation of DNA-templated transcription "	22	317	208	6125	6.62460567823344	3.39591836734694	0.00442785647703691	1	1.95075527784518	"O15119;P11142;P12643;P26583;P35222;P45973;Q03112;Q08117;Q12873;Q13033;Q13330;Q13363;Q13547;Q14135;Q15262;Q15723;Q8TAQ2;Q969G3;Q96AQ6;Q9BXB1;Q9UBW7;Q9UQR1"
"up_in_MNF_vs_Normal"	"GO_BP"	"0016477"	"cell migration "	15	317	115	6125	4.41640378548896	1.87755102040816	0.00533910121237277	1	2.3522150596626	"P05556;P18084;P41743;Q15262;Q6ZW31;Q8TDY4;Q92673;Q93008;Q96AQ6;Q96B97;Q99755;Q9H4A6;Q9UHB6;Q9Y2A7;A4FU49"
"up_in_MNF_vs_Normal"	"GO_BP"	"0007179"	"transforming growth factor beta receptor signaling pathway "	9	317	53	6125	2.52365930599369	0.86530612244898	0.00892251754843404	1	2.91649306588893	"P01100;P02461;P12757;P18084;P49354;P84022;Q15262;Q93008;Q9NRW4"
"up_in_MNF_vs_Normal"	"GO_BP"	"0007507"	"heart development "	11	317	81	6125	3.15457413249211	1.32244897959184	0.0125357530659869	1	2.38540327919928	"P02461;P12643;P21359;P26006;P36382;P63098;P78527;Q02078;Q07352;Q9BZH6;Q9ULI3"
"up_in_MNF_vs_Normal"	"GO_BP"	"0071456"	"cellular response to hypoxia "	8	317	49	6125	2.20820189274448	0.8	0.0180684031932638	1	2.7602523659306	"P01100;P17535;P35520;P55786;Q07352;Q7Z5Q1;Q92934;Q9NZM5"
"up_in_MNF_vs_Normal"	"GO_BP"	"0006890"	"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum "	6	317	29	6125	1.57728706624606	0.473469387755102	0.0230537197121401	1	3.33133906233003	"O14495;P33947;P48444;P61204;Q96KG9;Q9H4A6"
"up_in_MNF_vs_Normal"	"GO_BP"	"0021819"	"layer formation in cerebral cortex "	3	317	4	6125	0.630914826498423	0.0653061224489796	0.0310987434830765	1	9.6608832807571	"P02461;P35222;P43034"
"up_in_MNF_vs_Normal"	"GO_BP"	"0051645"	"Golgi localization "	3	317	4	6125	0.630914826498423	0.0653061224489796	0.0310987434830765	1	9.6608832807571	"P48444;Q5T5U3;Q86VS8"
"up_in_MNF_vs_Normal"	"GO_BP"	"0016233"	"telomere capping "	3	317	4	6125	0.630914826498423	0.0653061224489796	0.0310987434830765	1	9.6608832807571	"P78527;Q9H668;Q9NYB0"
