"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"P01023",0.0224724929354232,0.00994201090236706,0.0143077276507176,0.0406513843119436,1.06185585584178e-06
"Q9NPC4",0.0106448104753284,0.00289212852433498,0.00286234660550078,0.00475466018391747,0.0151202244903247
"Q9NRG9",0.0103373440300356,0.00448193797249055,0.00970430479893936,8.66233802260703e-06,0.016513755650945
"Q6PD74",0.0169447810061903,0.00156274718231856,0.00881298924445042,0.00286022608946443,0.000647456780759276
"Q13685",0.0304078282315267,0.0375416701817165,0.0331283298908318,0.00128242417746186,0.0184680167514572
"Q9Y312",0.00612460927981554,0.0120092705083162,0.00047282590010763,0.00209260520458642,0.00823431447197456
"P49588",0.0146754279573134,0.0107795421534842,0.00607183510533541,3.50420792488946e-05,0.0032507007766734
"Q9BTE6",0.0130021376462829,0.000170279612875124,0.0180417486263336,0.00838057823174759,0.00625872282623958
"Q9UDR5",0.00444664563596433,0.000238829469209073,0.028579599490852,0.00283244559183483,9.24208397239745e-05
"Q9NY61",0.000576894112930378,0.0526864378940722,0.00977466174063443,0.0487878378328005,3.81370129089662e-05
"Q9NRK6",0.0148826326558405,0.00023126547699052,0.011071236414488,0.00651167172691685,0.0239352080688482
"Q9NP78",0.0144150928102698,0.0197927407713551,0.00679868779904862,0.0274632611718462,0.0082637696517098
"O95255",0.00155022367311797,0.0122449628838379,0.00107554035708946,0.0060919364633837,0.100438925997402
"Q8NE71",0.0230490288202205,0.000554100800604372,0.00136347957136134,0.046412552150921,0.00971557964608567
"Q9UG63",0.0117458906182325,0.00410205350488352,0.00957130898548523,0.000476014703492171,0.0193059814568678
"Q96IU4",0.00191237014443487,0.0361062922747972,0.00227995075604806,0.00990054829814059,0.0155405325760323
"O95870",0.0227841692653801,0.0351020822935385,0.000151110485915683,0.00347967390616076,0.0116279104981278
"Q96GS6",0.0177965855612,0.0064632924729689,0.00747431090241461,0.000153092420277737,0.00151457967968332
"P08910",0.00835659083891715,0.00283226068482764,0.0312111584699344,0.00163660467390213,0.0324130619232946
"Q8IZP0",0.0132294718328265,0.00244373017048586,7.02986601421948e-06,0.00103908780191897,0.00390268072191271
"Q9NYB9",0.0027489456757038,0.000912543172882649,0.0089266938380316,0.0558582600555263,0.00307093955295134
"Q9P2A4",0.0133263301760493,0.0590417347811779,0.000391800150001039,0.00122668599287522,0.000708565842124116
"Q9NX38",0.0006427786748185,0.049640878867636,0.0353434178604506,0.00310695702573903,0.0667055971403763
"P00519",0.00637638507413344,0.00179938702757005,0.001457957485905,0.000120852039508845,0.00072680588378706
"Q6H8Q1",0.0263493978659769,8.57666161640511e-05,0.0149802769348912,0.016265519474935,0.00335849289560824
"P16442",0.000192307810061593,0.0160225798060718,0.000533976067322551,0.0181111342860334,0.0315588026797657
"Q12979",0.0308679052503831,0.00566756799028104,0.0129994242864227,0.00411417440931247,0.00810374823744049
"Q9P1F3",0.0199099960816919,0.0153668791018609,0.0132029183047548,0.00616153598906133,0.00593721578161879
"Q969K4",0.0171103994228185,0.0090586271644042,0.00508285740423415,0.00208608760671192,0.000543768474850093
"P09110",0.0150581504757542,0.0684853146099156,0.0288030380268968,0.0103046826999425,0.000950801340046106
"P42765",0.00794352944984516,7.99062631798599e-06,0.000234507109093399,0.00839444885351375,0.0012700404942757
"O00763",0.00548626798159791,0.000232034618509089,0.00884736641843897,0.00432895791288575,0.0118945779855807
"Q6JQN1",0.0114553280058962,0.019089505560226,0.0158683904857977,5.48026899438463e-05,0.0202328784211442
"Q9UKU7",0.0158010417005371,0.00625606881209169,0.00532242051043277,0.0147007760720838,0.0254160641790786
"P11310",0.000658814894343467,0.000718826935972115,0.0113340587204869,0.0043758735699076,0.0501456543641221
"P16219",0.00511158363801565,4.9762239378294e-06,0.000252496646137561,0.0387938066068224,0.00482707662563035
"P45954",0.0142013071152161,0.00634433812605442,0.0367671325992446,0.00123635064227268,0.00327724305181012
"P49748",0.0198393615345866,0.0019212543491224,0.0290937156739325,0.00147643836263303,0.0084969427461759
"P24752",0.0176888252813624,0.00782744268542452,0.0744780714401328,0.0011224029126741,0.00120454522686135
"Q9H3P7",0.0059243270948455,0.00269983404572211,8.56348544041798e-06,0.000374615101224271,0.048331113399254
"Q5T8D3",0.0170255741224708,0.00605542378851617,0.0183982354669722,0.0521031139664893,0.0320275684360676
"Q9BYF1",0.0139376755294119,0.00381605958033448,0.010814661172687,0.00451027788235431,0.0141707804622306
"Q9UKV3",0.030946915148742,0.0223133853269275,1.58998930585923e-05,0.011043240122501,0.00351737858404838
"P21399",0.0149482686155111,0.000667122809719796,0.0024949056836941,9.90840935462217e-05,0.0139246066999905
"Q99798",0.020106052646423,0.000111416794112242,0.0093182916895176,0.00435389503957261,0.00357963631648136
"Q86TX2",0.00586798966705961,0.00529853009698032,0.0136720881462709,0.0313869923087614,0.0433109282891943
"Q8WXI4",0.0231595964115997,0.0581440371847801,0.0221058200639583,0.00563019951757621,0.0706266981301973
"P49753",0.00517395585405661,0.00435937674314,0.000617361418971791,0.00213924703966694,0.00524732142511587
"O14734",0.00123876520366053,0.000227286450640957,0.0123176338471459,0.000444445985124039,2.13631511683864e-06
"Q99424",0.00469441819031211,0.0036224179009937,0.0245680253295287,0.02470856763738,0.0643696834026725
"P24666",0.013148057495457,8.67359195285293e-05,0.00103721842884324,0.000145143543959101,0.0117316479428175
"Q96CM8",0.0118042578628324,0.000936714757442803,0.0191356363379769,0.010509436032828,0.00321251045698076
