"enriched_in"	"Category"	"Term_accession"	"Term_description"	"Count_query"	"Pop_query"	"Count_universe"	"Pop_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"down_in_MN_adult"	"GO_BP"	"0071294"	"cellular response to zinc ion "	7	173	10	6459	3.46820809248555	0.154822727976467	1.74996553755319e-06	0.000865357958320053	22.4011560693642	"P02795;P04731;P04732;P13640;P80297;P80294;Q8N339"
"down_in_MN_adult"	"GO_BP"	"0045926"	"negative regulation of growth "	7	173	10	6459	3.46820809248555	0.154822727976467	1.74996553755319e-06	0.000865357958320053	22.4011560693642	"P02795;P04731;P04732;P13640;P80297;P80294;Q8N339"
"down_in_MN_adult"	"GO_BP"	"0071280"	"cellular response to copper ion "	7	173	16	6459	3.46820809248555	0.247716364762347	1.43307342951648e-05	0.00472436540597266	14.0007225433526	"P02795;P04731;P04732;P13640;P80297;P80294;Q8N339"
"up_in_MN_adult"	"GO_BP"	"0001570"	"vasculogenesis "	10	282	35	6459	3.19148936170213	0.541879547917634	6.20398997703885e-05	0.133571904205647	5.88966565349544	"P15692;P35713;P35968;P37173;P46937;Q07352;Q12965;Q9UHF1;Q9ULI3;Q9ULJ6"
"up_in_MN_adult"	"GO_BP"	"0001701"	"in utero embryonic development "	14	282	99	6459	4.60992907801418	1.53274500696702	0.000680212902273896	0.657688744142207	3.00762948635289	"O15119;P01344;P05556;P12643;P15692;P35222;P35713;P37173;P67809;P98161;Q12965;Q8TCT9;Q9ULI3;Q9ULJ6"
"down_in_MN_adult"	"GO_BP"	"0071276"	"cellular response to cadmium ion "	5	173	15	6459	2.3121387283237	0.2322340919647	0.001225642282228	0.303040054280873	9.95606936416185	"P04731;P04732;P13640;P80297;P80294"
"up_in_MN_adult"	"GO_BP"	"0045944"	"positive regulation of transcription by RNA polymerase II "	36	282	452	6459	12.4113475177305	6.99798730453631	0.00126011958722601	0.657688744142207	1.77355959329693	"A0JLT2;O00159;O14770;O15119;O94850;P01100;P01344;P05412;P12643;P15692;P17535;P18146;P24468;P25791;P35222;P35713;P46937;P60033;P67809;P98161;Q02078;Q02577;Q12772;Q13501;Q14494;Q15014;Q15366;Q16236;Q8WWB7;Q96RQ9;Q9BTL4;Q9H2X6;Q9UHV7;Q9ULJ6;Q9UM47;P20962"
"up_in_MN_adult"	"GO_BP"	"1903078"	"positive regulation of protein localization to plasma membrane "	7	282	25	6459	2.12765957446809	0.387056819941167	0.00146313054534951	0.657688744142207	5.49702127659574	"O00264;O15258;P05556;P26006;Q01082;Q13501;Q96DZ5"
"up_in_MN_adult"	"GO_BP"	"0046597"	"negative regulation of viral entry into host cell "	5	282	9	6459	1.41843971631206	0.13934045517882	0.0015273774829127	0.657688744142207	10.1796690307329	"O60493;P04233;Q01628;Q16553;Q9BZR9"
"up_in_MN_adult"	"GO_BP"	"0030335"	"positive regulation of cell migration "	14	282	112	6459	4.60992907801418	1.73401455333643	0.00189663036114248	0.680574194589961	2.65852963525836	"O00159;O00592;O43707;P04899;P05556;P09619;P12643;P15692;P16284;P35968;P48509;Q07157;Q15746;Q96S97"
"up_in_MN_adult"	"GO_BP"	"0048844"	"artery morphogenesis "	5	282	13	6459	1.41843971631206	0.201269546369407	0.00446019098408198	1	7.04746317512275	"P15692;P36382;P37173;Q9ULJ6;Q9UM47"
"up_in_MN_adult"	"GO_BP"	"0001934"	"positive regulation of protein phosphorylation "	12	282	97	6459	3.90070921985816	1.50178046137173	0.0048796568942359	1	2.59738977846019	"P01344;P04233;P07900;P11234;P12643;P15692;P16284;P24385;P35968;Q13501;Q96DZ5;Q9H2X6"
"up_in_MN_adult"	"GO_BP"	"0007568"	"aging "	9	282	58	6459	2.83687943262411	0.897971822263508	0.00556159230469033	1	3.15920763022744	"P01100;P09619;P17535;P24593;P35221;P37173;P49918;Q14118;Q16236"
"down_in_MN_adult"	"GO_BP"	"0002181"	"cytoplasmic translation "	8	173	79	6459	4.04624277456647	1.22309955101409	0.00654147690010007	1	3.30818760518036	"P18077;P46778;P62244;P62249;P62273;P62424;P62753;P62854"
"up_in_MN_adult"	"GO_BP"	"0072091"	"regulation of stem cell proliferation "	4	282	7	6459	1.06382978723404	0.108375909583527	0.00677920821959794	1	9.8161094224924	"P35713;P37173;P46937;Q07352"
"up_in_MN_adult"	"GO_BP"	"0000122"	"negative regulation of transcription by RNA polymerase II "	30	282	390	6459	10.2836879432624	6.03808639108221	0.00721927397963374	1	1.703136933988	"O14770;O15119;O76024;O95503;P01344;P05412;P12643;P15692;P17535;P18146;P24385;P24468;P24522;P35222;P35713;P46937;P49918;P53539;P67809;Q02078;Q12772;Q12873;Q13501;Q14494;Q92802;Q9H2X6;Q9UM47;Q9BQI9;Q9UI15;Q9Y2B9"
"down_in_MN_adult"	"GO_BP"	"0006412"	"translation "	10	173	126	6459	5.20231213872832	1.95076637250348	0.00796669124945566	1	2.66680429397192	"P18077;P46778;P62244;P62249;P62273;P62424;P62753;P62854;Q05639;Q9Y3D5"
"up_in_MN_adult"	"GO_BP"	"0001822"	"kidney development "	8	282	50	6459	2.4822695035461	0.774113639882335	0.00866778624986093	1	3.20659574468085	"O76024;P15692;P49918;P98161;Q8IWU5;Q8IWU6;Q9NR63;Q9UHI8"
"up_in_MN_adult"	"GO_BP"	"0007229"	"integrin-mediated signaling pathway "	8	282	52	6459	2.4822695035461	0.805078185477628	0.0104292945438479	1	3.0832651391162	"O14495;P04216;P05556;P18084;P26006;P35221;Q9UHI8;Q9Y490"
"up_in_MN_adult"	"GO_BP"	"0003151"	"outflow tract morphogenesis "	6	282	28	6459	1.77304964539007	0.433503638334107	0.0107414365194331	1	4.09004559270517	"O15119;P05412;P15692;P35713;P36382;P37173"
"up_in_MN_adult"	"GO_BP"	"0043627"	"response to estrogen "	5	282	18	6459	1.41843971631206	0.278680910357641	0.0116514641737181	1	5.08983451536643	"P07900;P09619;P24385;P35221;P37173"
"up_in_MN_adult"	"GO_BP"	"0061635"	"regulation of protein complex stability "	4	282	9	6459	1.06382978723404	0.13934045517882	0.0116878811836909	1	7.63475177304964	"O15119;P11142;Q13501;Q9UIL1"
"up_in_MN_adult"	"GO_BP"	"0007156"	"homophilic cell adhesion via plasma membrane adhesion molecules "	6	282	29	6459	1.77304964539007	0.448985911131754	0.0121782026296453	1	3.9490095377843	"P05556;P16284;P98161;Q86SJ2;Q8WX93;Q96AP7"
"up_in_MN_adult"	"GO_BP"	"0001525"	"angiogenesis "	13	282	121	6459	4.25531914893617	1.87335500851525	0.0122043881162171	1	2.2714963952875	"P04216;P05412;P15144;P15692;P21333;P35613;P35713;P35968;P36382;P39059;Q16610;Q8IZJ1;Q9UHF1"
"up_in_MN_adult"	"GO_BP"	"0098609"	"cell-cell adhesion "	9	282	69	6459	2.83687943262411	1.06827682303762	0.0138012768561687	1	2.65556583410422	"P04216;P16284;P26006;P35221;P35222;Q07157;Q96AP7;Q9Y490;Q9Y4G6"
"up_in_MN_adult"	"GO_BP"	"0030050"	"vesicle transport along actin filament "	4	282	10	6459	1.06382978723404	0.154822727976467	0.0147360322939244	1	6.87127659574468	"O00159;O43707;O94832;Q12965"
"up_in_MN_adult"	"GO_BP"	"0006915"	"apoptotic process "	20	282	240	6459	6.73758865248227	3.71574547143521	0.0154711681445167	1	1.81325354609929	"P05412;P11234;P24522;P37173;P46695;P51693;Q02078;Q02577;Q03112;Q07352;Q13501;Q6NUQ4;Q7L523;Q86V86;Q8IWU6;Q8IZJ1;Q8WUM4;Q9NQC3;Q9NR00;Q9Y2A7"
