"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"P01023",0.000322709625783128,0.0280390320298454,0.00674376616839657,0.032746957473781,4.60923947697398e-05
"Q9NPC4",1.6383377398944e-05,0.00858047215958394,0.00486565097741061,0.0328047474245963,0.000434659722897358
"Q9NRG9",0.00416919988766649,9.23198639943432e-06,0.0126302708400612,0.00566528642744204,0.001194235047869
"Q6PD74",0.00937253121008517,0.0097546519918597,0.0011812824154351,2.47432200870693e-05,0.0183283065792076
"Q13685",0.06007738485038,0.00406444373526051,0.0408958691736643,0.00440686945295619,0.0113954320809435
"Q9Y312",0.000746948706111723,0.0331151150100803,0.00790538083131115,0.0207059519165613,0.0690175312213825
"P49588",1.84443011088453e-05,0.031076297929825,0.044420571805723,0.00227879798774608,0.00979135162892014
"Q9BTE6",0.00396854391606897,0.0123836853191663,0.0038318070315418,0.000887739916176795,0.0294335613913948
"Q9UDR5",0.000720688295323436,0.0022294408955332,0.0102783339382203,0.0268333845388679,0.00476424416856668
"Q9NY61",0.0384588140615299,0.00244276785280792,0.00167011257345678,0.0106366963638189,0.0111778021163204
"Q9NRK6",0.00463803686106463,0.0187642710199771,0.0129683949357527,0.00684155627860428,0.00743566001857572
"Q9NP78",0.0203180145669117,0.03316509428567,1.8564170803897e-05,0.0226715556613196,0.0532843164742201
"O95255",0.0146895413601365,0.000743968476519774,0.0157860154036361,0.000467181970253828,0.0487043166934865
"Q8NE71",0.0143244600154989,5.04298650086603e-05,0.000307664535477923,0.000758099782919224,1.26943686584815e-05
"Q9UG63",0.00972201618240024,0.00975543891956905,0.0278601867916342,0.00717215191112759,0.0143055843276337
"Q96IU4",0.0288551153257111,0.0264918057347716,0.00244833008912986,0.00073077984315537,0.000460739128512355
"O95870",0.0543596213454966,0.00625516436735287,0.00320078889178112,6.33729840498924e-05,0.0047331062641437
"Q96GS6",0.00149440105276635,0.00118462981610792,0.0101039595149281,0.0118677720753454,0.0204320357356213
"P08910",0.000238107137527103,0.0258180642615377,0.00300032796578741,0.147839176374735,0.000796589188611555
"Q8IZP0",0.011097271245647,0.00741652935696784,0.051677053346211,0.0172324847898338,0.0198828331299014
"Q9NYB9",0.0025338670220382,0.0148125548691276,0.00531236629798944,0.00202652765671439,0.00739317653330572
"Q9P2A4",0.0210129669068085,0.00177445368094006,0.000504917795491972,0.017141707925742,0.021130831687318
"Q9NX38",0.0228588127472532,0.0179150420749762,0.0220736960133162,0.00833663526167582,0.0101145411437168
"Q6H8Q1",0.00357219232673618,0.0144563122808519,0.0303298458969678,0.0201689478584536,0.000216030948910178
"P16442",0.0200623923633383,0.000395059673211403,0.0437406477557222,0.00579884038093465,0.00882759962361408
"Q12979",0.000337464307979985,0.0300113722862576,0.0344254825697671,1.80062942104452e-05,0.00176535869707674
"Q9P1F3",0.002222979214585,0.0360768966376241,0.00565110711802667,0.00901193950712668,0.0200522098539351
"Q969K4",0.0110134781392207,0.00135612825424047,0.0204316142060961,0.00143351327042855,0.0284879259969271
"P09110",0.0460292054833617,0.00454000631108471,7.09184915645542e-05,0.00286740559851811,0.000159627493059494
"P42765",0.00108681734866848,0.00900875035973326,0.000836892695249717,0.000434736492168317,0.0187987003342732
"O00763",0.00531712891960672,0.00418011677023508,0.0126920441115113,0.0159034193285145,0.0290371657531024
"Q6JQN1",0.0047894598648141,0.0262134578561002,0.00349156950211731,0.0155887336569159,0.00488785764583207
"Q9UKU7",7.15273057940868e-05,0.0141139689434172,0.00611694284614869,0.00232427667615515,0.00761669520136678
"P11310",0.0076632285055528,0.00669408476373223,0.000638716622438273,0.000558710864099003,0.00600307676600729
"P16219",0.00014551226953674,0.00574583403005375,0.0109344705115796,0.00929855030291371,0.0839559142135874
"P45954",0.00118432544062022,0.019733314656195,0.0418740284176948,0.0573907096963725,2.00881536871995e-06
"P49748",0.0254387254051783,0.0176092947364485,0.000567266623105359,0.00150266291759233,0.0172131881617266
"P24752",0.000666112953499137,0.0036409717945566,0.0103748338107958,0.0109566978976921,0.000153062934353589
"Q9H3P7",0.00165983749993203,2.94285327375796e-05,0.0505157210559763,0.00822562204061649,0.0163037050400863
"Q5T8D3",0.00110454845383028,0.00157178971232284,0.0563798880303134,0.0450779681939057,0.00030112792238947
"Q9UKV3",0.0318494198960032,0.00776497899887195,0.00134145615323928,0.00237383360495961,0.0066730084587783
"P21399",0.00150702873328338,0.0236271984759997,0.00030616242357303,0.00800507793901753,0.0265404408220254
"Q99798",0.00542021324958511,0.0110961090119799,0.0122917392037973,0.0131416758817308,0.0223181038091329
"Q8WXI4",0.0541323102566717,0.00485382075971537,0.0526427989581689,0.00184099121588704,0.000343023253392065
"P49753",7.70776957399464e-05,0.0038311009315061,0.0113401327531169,0.00443110335164202,0.0355867906106809
"O14734",0.00117714715752152,0.0136644863938427,0.0179073795966688,0.00580314731213352,0.0122791478103443
"Q99424",2.36757796991101e-05,0.00938134716464945,0.0257625892681797,0.0212464047799004,0.0161797953094296
"P24666",0.00346013174063612,0.007858197574753,0.00784465572250241,0.00607606292560012,0.00763091646787797
"Q96CM8",0.000471790939691725,0.00739755047834819,0.00590535662004057,0.0284679518252477,2.8897294732639e-06
"O95573",0.0347968219689392,0.00137235753450978,0.00405312961224692,0.000180204993821497,0.0422320368622123
"O60488",8.20218136798443e-05,0.010545844260373,0.00777244884851555,0.023978466194767,0.051715914621624
"Q08AH3",0.00552795591801445,0.0199470570099277,0.0186558948230062,0.00102826371395932,5.65936120372912e-06
"Q9NUB1",0.0018821929987415,0.00826315071848164,0.00398962083769012,0.0483348778078655,0.01202643581842
"Q9NR19",0.0013144504074468,0.00981391504847487,0.0156299095473986,0.0096256873870759,0.0167440451302538
"P62736",0.00236850696032939,0.05318882386647,1.8490249503568e-05,0.00123086162811462,0.000966255388458263
"Q9H568",0.0571712784182256,0.00780759217336604,0.00511523303658327,0.00939328167014478,0.0016480855844277
"P12814",1.41865605636519e-05,0.00755320664636398,0.00365547599145372,0.0543920723542505,0.0471477083522145
"O43707",0.0466297794139917,0.00634139942325406,0.000463620190531301,0.00515475869884229,0.0335313767637728
"Q9NZ32",0.0380306514872013,0.0165693584776864,0.0104210846504445,0.0282984104875158,0.0563139763806944
"P42025",0.00126636749139371,0.00276432005837934,0.0492212409694356,0.00771497688619561,0.0198354072356791
"P61160",0.000852929587802575,0.00108740250316123,0.15654154761803,0.000489743984669353,0.0309163701990791
