"component"	"Category"	"Term_accession"	"Term_description"	"Count_query"	"Pop_query"	"Count_universe"	"Pop_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"PC2"	"GO_BP"	"0045766"	"positive regulation of angiogenesis "	19	620	65	6132	2.90322580645161	1.06001304631442	0.000372066307629943	1	2.73885856079404	"O00175;O43184;O60895;P05230;P05556;P14923;P17813;P19174;P26012;P28799;P28906;P33151;P35414;P40763;Q02763;Q13591;Q9BZL6;Q9NQC3;Q9NZ08"
"PC2"	"GO_BP"	"0016477"	"cell migration "	25	620	112	6132	3.87096774193548	1.82648401826484	0.00131980418485681	1	2.11935483870968	"O15230;O43157;O75056;P05556;P08962;P09619;P11047;P11362;P14923;P17813;P19174;P56945;P63000;Q13443;Q14185;Q14469;Q6ZW31;Q86SQ0;Q8IXQ6;Q93008;Q96AQ6;Q9H792;Q9HB63;Q9Y2A7;Q9Y5S2"
"PC2"	"GO_BP"	"0030335"	"positive regulation of cell migration "	23	620	106	6132	3.54838709677419	1.72863666014351	0.00289515712919927	1	2.0527084601339	"O00175;O43623;O75116;P04179;P04899;P05230;P05556;P09619;P28799;P33151;P35241;P40763;P46531;P55008;P56945;P98082;Q13443;Q13591;Q86T65;Q8IX12;Q96AC1;Q96HY6;Q9NS98"
"PC1"	"GO_BP"	"0006355"	"regulation of DNA-templated transcription "	40	599	241	6132	6.51085141903172	3.93020221787345	0.00347254633010042	1	1.65661995441919	"O15527;O43186;O75362;O75365;P15336;P17676;P23511;P35637;P46100;P48431;P52744;P68036;Q06945;Q12805;Q8TAU3;Q96SQ5;Q9BPZ2;O75346;P17032;P17035;Q6ECI4;Q7Z340;Q86Y25;B4DU55;O75373;P10075;Q03938;Q0VGE8;Q5JVG8;Q5VIY5;Q68DI1;Q86XN6;Q8IYB9;Q8N823;Q8TF32;Q9H8G1;Q9HCZ1;Q9P255;P0CJ79;P0DPD5"
"PC2"	"GO_BP"	"0060326"	"cell chemotaxis "	8	620	17	6132	1.12903225806452	0.27723418134377	0.00433164956636732	1	4.07248576850095	"P09619;P17813;P19320;P30556;P46108;P48061;P56945;Q13591"
"PC2"	"GO_BP"	"0051897"	"positive regulation of protein kinase B signaling "	13	620	45	6132	1.93548387096774	0.73385518590998	0.00444206234462125	1	2.63741935483871	"P05067;P05556;P10599;P11362;P17813;P42330;Q02763;Q07021;Q13591;Q96AC1;Q9BXM7;Q9NPH5;Q9NQC3"
"PC2"	"GO_BP"	"0008217"	"regulation of blood pressure "	10	620	32	6132	1.45161290322581	0.521852576647097	0.00988582246827828	1	2.78165322580645	"O60895;P00441;P04179;P08123;P25929;P28906;P29992;P62736;Q03113;Q9NZ08"
"PC2"	"GO_BP"	"0071364"	"cellular response to epidermal growth factor stimulus "	9	620	27	6132	1.29032258064516	0.440313111545988	0.0114950184158487	1	2.93046594982079	"O43623;O60658;P19174;P19338;P51692;P98082;Q05209;Q06124;Q07352"
"PC2"	"GO_BP"	"0007179"	"transforming growth factor beta receptor signaling pathway "	13	620	52	6132	1.93548387096774	0.848010437051533	0.0136784699424494	1	2.28238213399504	"P08123;P12755;P17813;P26012;P33151;P40763;P53708;Q13443;Q14392;Q15796;Q93008;Q96AC1;Q99717"
"PC2"	"GO_BP"	"0045944"	"positive regulation of transcription by RNA polymerase II "	61	620	430	6132	9.67741935483871	7.01239399869537	0.0142644669204902	1	1.38004501125281	"O14770;O15014;O60244;O95936;P05067;P05230;P08651;P12755;P14923;P15408;P15884;P17483;P17535;P17813;P19338;P19793;P20393;P23246;P31268;P35222;P35713;P35869;P40763;P46531;P48552;P51692;P53708;P63098;P98082;Q00653;Q00839;Q03164;Q12888;Q13547;Q13765;Q13873;Q14186;Q14469;Q14494;Q14814;Q15365;Q15562;Q15796;Q16254;Q86SE9;Q86U70;Q86WV6;Q8TDD2;Q8WWQ0;Q92841;Q92870;Q96HY6;Q96I24;Q96ST3;Q9BWW4;Q9BZL6;Q9HAP2;Q9NYF8;Q9UQR1;Q15847;Q9UH62"
"PC3"	"GO_BP"	"0002437"	"inflammatory response to antigenic stimulus "	5	617	8	6132	0.648298217179903	0.130463144161774	0.0182215828163815	1	4.96920583468396	"P09429;P26583;Q04721;Q06330;Q9H293"
"PC2"	"GO_BP"	"0010629"	"negative regulation of gene expression "	21	620	112	6132	3.2258064516129	1.82648401826484	0.0207675890381151	1	1.76612903225806	"O75116;P05067;P17813;P26012;P28906;P35222;P35414;P40763;P46531;P55008;Q07954;Q13547;Q14469;Q6XE24;Q8IXQ6;Q96HY6;Q99717;Q9BXM7;Q9ULZ1;Q9UQR1;Q9Y2B0"
"PC2"	"GO_BP"	"0034446"	"substrate adhesion-dependent cell spreading "	8	620	25	6132	1.12903225806452	0.407697325505545	0.0223122817247958	1	2.76929032258065	"O15230;P11047;P53708;P63000;Q02763;Q96AC1;Q9H792;Q9HB63"
"PC1"	"GO_BP"	"0030154"	"cell differentiation "	27	599	164	6132	4.34056761268781	2.67449445531637	0.0260200438029761	1	1.62294881713425	"O15523;O43186;O60258;P04155;P09529;P18405;P21741;P24468;P48431;P62330;P62745;Q01534;Q02535;Q06945;Q13133;Q13685;Q13882;Q14444;Q6PUV4;Q96L21;Q9BQG1;O15370;Q5JSZ5;Q8N8Y5;P60985;Q8TF32;Q9H3Y8"
"PC2"	"GO_BP"	"0001837"	"epithelial to mesenchymal transition "	8	620	26	6132	1.12903225806452	0.424005218525766	0.0261743212028163	1	2.66277915632754	"O43623;O75116;P11362;P17844;P35222;P46531;P63098;Q92841"
"PC1"	"GO_BP"	"0045926"	"negative regulation of growth "	5	599	10	6132	0.667779632721202	0.163078930202218	0.0291877679195414	1	4.09482470784641	"P02795;P04731;P04732;P24593;Q13882"
"PC2"	"GO_BP"	"0030513"	"positive regulation of BMP signaling pathway "	7	620	21	6132	0.967741935483871	0.342465753424658	0.0311517202210964	1	2.8258064516129	"P17813;P33151;P46531;Q13873;Q14469;Q15796;Q9BRX2"
"PC3"	"GO_BP"	"0030279"	"negative regulation of ossification "	5	617	10	6132	0.648298217179903	0.163078930202218	0.0318747655406926	1	3.97536466774716	"O15105;O43541;P21741;Q06330;Q06413"
"PC2"	"GO_BP"	"0022617"	"extracellular matrix disassembly "	5	620	10	6132	0.645161290322581	0.163078930202218	0.0323354831505206	1	3.95612903225806	"O75955;P11047;P17813;P49862;Q96AQ6"
"PC2"	"GO_BP"	"0007155"	"cell adhesion "	26	620	154	6132	4.03225806451613	2.51141552511416	0.0335433351250593	1	1.60557184750733	"O43184;O43312;P05067;P05556;P11047;P17813;P19320;P21926;P26012;P35222;P48061;P52799;P56945;P63000;Q08174;Q13443;Q13591;Q14112;Q14469;Q15063;Q16270;Q86U70;Q8TEW8;Q96AC1;Q96AQ6;Q9BZL6"
"PC2"	"GO_BP"	"0031032"	"actomyosin structure organization "	6	620	16	6132	0.806451612903226	0.260926288323549	0.0364395043644491	1	3.09072580645161	"O43491;O75116;Q96QT4;Q99439;Q9Y5S2;Q9HCS5"
"PC1"	"GO_BP"	"0030099"	"myeloid cell differentiation "	5	599	11	6132	0.667779632721202	0.17938682322244	0.0371048290039799	1	3.72256791622401	"P26651;P49918;P51817;Q05516;Q13951"
"PC3"	"GO_BP"	"0045444"	"fat cell differentiation "	8	617	29	6132	1.13452188006483	0.472928897586432	0.0395977362456433	1	2.39892695467501	"O43541;P07203;P28062;Q8NFJ9;Q96DZ5;Q9BXJ8;Q9HC62;Q9NZ08"
"PC2"	"GO_BP"	"2000811"	"negative regulation of anoikis "	5	620	11	6132	0.645161290322581	0.17938682322244	0.0410144215024957	1	3.59648093841642	"O43623;P05556;P10415;P46531;Q07817"
"PC2"	"GO_BP"	"2000738"	"positive regulation of stem cell differentiation "	4	620	6	6132	0.483870967741935	0.0978473581213307	0.0413983446246593	1	4.94516129032258	"O43809;P17483;Q13610;Q8TDD2"
