"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"P01023",0.0187888779640405,0.0925163607884537,0.00832618029243596,0.00279824443647989,0.00152266874435688
"Q9NPC4",0.0019953995416588,0.0289531880909426,0.00499478680363798,0.00388059594933787,0.0165638419241314
"Q9NRG9",0.0106001902172174,0.00142388495741744,0.0391795465287601,0.00316618068989788,0.0274688674243844
"Q6PD74",0.0113508533278381,0.00192316827030035,0.000722021494630815,1.86107641535733e-06,0.000356827190673342
"Q13685",0.0353640507961745,0.0103517012646585,0.00810039995362432,0.00446488082320577,0.0210382754420376
"P49588",0.00979294165895869,0.00629208080374178,0.000362347927057643,0.0821981383542372,0.0286155480595349
"Q9BTE6",0.0194876859818105,0.0241255594735353,0.00277197755115222,0.000303064862262837,0.0129497760279729
"Q9UDR5",0.0093407824987065,0.0228933021451667,0.00712443391778403,0.010708922971391,0.103863793445138
"Q9NRK6",0.0143085666014184,4.98560852404421e-09,0.0322219870684403,0.028463119847022,0.00178765300721473
"Q9NP78",0.02698659834954,0.00861370790941288,0.0140169014511121,0.000231865789916978,0.0180358751729357
"Q8NE71",0.0101757686036919,0.0257437239620341,0.00700087396904911,0.000401697444920007,0.022772606791529
"Q9UG63",0.0190330482023504,0.0148213425359535,9.60313105273016e-05,0.00512266705044444,0.0249702617814027
"Q96IU4",0.000302421781433592,0.0306162569611709,0.00145777622724127,0.00640136741628704,0.0217004360074319
"O95870",0.0287606601932914,0.0141018086305085,0.00176454499647596,0.0485863329047801,0.00846252206848223
"Q96GS6",0.0119502739978191,0.00318954258945673,0.0101146267998951,0.103643379217467,0.0367257023830307
"P08910",0.00863159771172424,0.0263549805298359,0.00737075268711477,0.11506011758613,0.017347270995769
"Q8IZP0",0.0177494947236797,6.81245490686836e-06,0.00535304252047935,0.0504105557422852,0.0558264806094925
"Q9NYB9",6.38529670546551e-05,0.0514799593339202,7.62938179791927e-05,0.0195773625298532,0.00176427088675629
"Q9P2A4",0.033698311144073,0.00667317729450744,0.0192429756131125,0.00574782760148743,0.00111574300619833
"Q9NX38",0.000215435495676153,0.00224277498684201,9.494524187667e-06,0.0180299370303628,0.00272277539957276
"Q6H8Q1",0.0285733958129231,0.00234073969295468,0.000551711683458736,0.000480633674494933,0.000112554181495228
"P16442",0.000655659387873412,0.0259083973217452,0.00913602139667775,0.00599959783031657,0.00104459989827281
"Q12979",0.0191884493587966,0.0137997736403073,0.00211041914295752,0.0031188108111261,0.000594962198641547
"Q9P1F3",0.00886300661964823,0.00369311147303835,4.67131234850073e-06,0.0101705114582651,0.0263739241600878
