"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"P01023",0.0391046203690183,0.0156898908897211,0.0128571478866215,0.020216193787232,0.00313130903848893
"Q9NPC4",0.00032338470528051,0.0100294576032665,0.00891403840503232,6.12908946012501e-05,0.0657757896318987
"Q9NRG9",0.000453772968350824,0.000383898003907482,0.0121852587813101,0.0142818640250381,0.0100218228522515
"Q6PD74",0.0170482017769317,0.000484244665447986,1.86225320141929e-05,0.00022000143157751,0.0105906949714604
"Q13685",0.0139337945702387,0.013270216271501,0.000466108854462229,0.0199760662285912,0.0422500452514718
"Q9Y312",0.00166854539589233,0.00167509930291307,0.01632583485316,0.0222427585454531,0.0062215064510606
"P49588",4.48929801930792e-05,0.00686117456121554,0.0339390628976337,0.00103822788858101,0.021719031939222
"Q9BTE6",0.0123581058240907,2.51142983871699e-05,0.00157229572909294,0.00958003330621281,0.000303665911135256
"Q9UDR5",0.0265389557315454,0.00910581341739221,0.00149567366118151,0.00272277921742951,0.00039301782207486
"Q9NY61",0.00705238653148334,0.000498998266994253,0.000383294938868167,0.00181216050590827,0.000667287242149159
"Q9NRK6",8.63039433017004e-05,9.16129371222634e-05,0.0478413283285023,0.0250401804268179,0.0541341939635154
"Q9NP78",0.0404396004879658,0.00846520634599478,0.00304458429734724,0.0046587604259185,0.00934100208050682
"O95255",4.47313420741107e-06,0.00298436676048531,0.000181669657414578,0.0359896573754642,0.000118287425482838
"Q8NE71",0.00565334045664,0.016254187427837,0.0323990360926749,0.027727340511123,0.000464188822819104
"Q9UG63",0.0178465708977535,0.00450481056065863,3.49363973857585e-05,0.000650143506778544,0.0222755012100227
"Q96IU4",0.000234421934087939,0.00114437522546811,0.0509081789808102,0.00341802185285553,0.0980083358569877
"O95870",0.0473586474100116,0.00103989008618243,0.0341419669796845,0.0449326059514792,0.00256322040764703
"Q96GS6",0.0173829002306585,0.0116152151546437,0.0805680794699074,0.00712204934569013,0.009619751256732
"P08910",0.0165796987248827,0.00294572770836554,0.02128820414315,0.0121385592368341,0.00119649855565908
"Q8IZP0",0.00905145040363498,0.00282309002120094,0.0424970200481986,0.027274762220971,0.00312745420633599
"Q9NYB9",0.00712460707941524,0.0346106847220037,0.0141505357651225,0.0063871212819059,0.00116175447403477
"Q9P2A4",0.0136691468108464,0.000430692127525332,0.00994362276999713,0.0449094092106583,0.0298758943984802
"Q9NX38",0.0394256008189628,0.000524551416015285,0.0298606553809736,0.00363564609525312,0.0603455053551327
"P00519",0.00272918797538188,0.00649716492571188,0.000394723456577898,0.0147920697833865,0.0202258004771538
"Q6H8Q1",0.00688476843080893,0.0208972354723211,0.000159873474626361,0.0360583239995013,0.0162926552047329
"P16442",0.000847976585356189,0.0280393322064777,0.0296436790996384,0.0076186245987632,7.83123824025264e-06
"Q12979",1.96210640479091e-05,0.000189562013848605,0.00538137266378865,0.103171243775984,0.0051870336100667
