"component"	"Category"	"Term_accession"	"Term_description"	"Count_query"	"Pop_query"	"Count_universe"	"Pop_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"PC2"	"GO_BP"	"0001570"	"vasculogenesis "	17	633	35	6459	2.52764612954186	0.541879547917634	4.33418539352989e-06	0.0145281894391122	4.6645903859174	"P06756;P15692;P17813;P20936;P35318;P35414;P35713;P35968;P37173;P46937;Q07352;Q12965;Q15562;Q96PU8;Q9UHF1;Q9ULI3;Q9ULJ6"
"PC2"	"GO_BP"	"0030335"	"positive regulation of cell migration "	30	633	112	6459	4.58135860979463	1.73401455333643	1.34923012618088e-05	0.0226130969147915	2.64205314827353	"O00159;O00592;O43707;O75131;P04899;P05230;P05556;P06756;P09619;P12643;P15692;P16284;P33151;P35968;P40763;P43121;P46531;P48509;P55290;Q07157;Q09328;Q12846;Q13275;Q13591;Q15746;Q96AC1;Q96S97;Q9GZP0;Q9H3T2;Q9P283"
"PC1"	"GO_BP"	"0002250"	"adaptive immune response "	15	642	49	6459	2.18068535825545	0.758631367084688	0.00109592490621998	1	2.87449933244326	"O43561;O95936;P26717;P40259;P41240;Q13241;Q29980;Q6GTX8;Q92956;Q96SD1;Q9BX67;Q9NZ08;Q9NZQ7;P05015;Q6PI73"
"PC3"	"GO_BP"	"0008380"	"RNA splicing "	22	647	94	6459	3.24574961360124	1.45533364297879	0.00149427689012451	1	2.23024433555855	"O60506;O75533;O94906;O95232;P07910;P30153;P31483;P35637;P61326;Q05519;Q08170;Q13435;Q13838;Q15007;Q5VZF2;Q66PJ3;Q7KZ85;Q8WXA9;Q92945;Q9H7N4;Q9H875;Q9NY27"
"PC2"	"GO_BP"	"0045944"	"positive regulation of transcription by RNA polymerase II "	67	633	452	6459	10.4265402843602	6.99798730453631	0.0021502672504064	1	1.48993415258147	"A0JLT2;O00159;O14640;O14770;O15119;O43524;O43679;O75586;O75840;O94850;P01100;P01344;P05067;P05230;P06454;P07355;P07585;P12643;P12755;P15036;P15692;P17535;P17544;P17813;P23193;P23771;P24468;P25791;P32519;P35222;P35713;P40424;P40763;P42226;P46531;P46937;P49407;P51692;P55290;P56545;P60033;P61160;P67809;Q00839;Q03164;Q13118;Q13765;Q14103;Q14494;Q15562;Q6UXI9;Q86WV6;Q92800;Q92870;Q96RQ9;Q96SQ7;Q99732;Q9GZV5;Q9H2X6;Q9P1Z2;Q9UBX2;Q9UH92;Q9UHV7;Q9ULJ6;Q9ULX6;Q9UM47;Q9UQR1"
"PC2"	"GO_BP"	"0035162"	"embryonic hemopoiesis "	6	633	8	6459	0.789889415481832	0.123858182381174	0.00374044716971511	1	6.37736966824644	"P23771;P35968;P37173;P40424;Q03164;Q9UQQ2"
"PC2"	"GO_BP"	"0008284"	"positive regulation of cell population proliferation "	32	633	176	6459	4.89731437598736	2.72488001238582	0.00383979681828508	1	1.79725872468763	"O14770;O15119;P01033;P01344;P04899;P05230;P06756;P09619;P12643;P15692;P27797;P30048;P35318;P35968;P37173;P40189;P42702;P46531;P46781;P52799;P55209;P60033;Q07157;Q12846;Q86Z02;Q9BQE9;Q9GZP0;Q9GZV5;Q9H2X6;Q9Y3Y2;Q8WUZ0;P52943"
"PC2"	"GO_BP"	"0003151"	"outflow tract morphogenesis "	10	633	28	6459	1.4218009478673	0.433503638334107	0.00403834313117065	1	3.27979011509817	"O14640;O15119;P15692;P25929;P35713;P36382;P37173;P46531;Q9UP38;Q9Y4D7"
"PC3"	"GO_BP"	"0006397"	"mRNA processing "	21	647	93	6459	3.09119010819165	1.43985137018114	0.00405043354233531	1	2.14688138804407	"P14866;P26368;P31483;Q05519;Q07955;Q08170;Q13242;Q13435;Q15007;Q16630;Q5VZF2;Q66PJ3;Q6P6C2;Q7KZ85;Q8WXA9;Q92879;Q92945;Q9BXP5;Q9H7N4;Q9H875;Q9NY27"
"PC2"	"GO_BP"	"0010595"	"positive regulation of endothelial cell migration "	12	633	41	6459	1.73775671406003	0.634773184703515	0.00494444285261874	1	2.73760258929603	"O14495;P05230;P09486;P15692;P23771;P27797;P35613;P35968;P63000;Q02763;Q8WYP3;Q96SQ7"
"PC2"	"GO_BP"	"0000122"	"negative regulation of transcription by RNA polymerase II "	57	633	390	6459	8.84676145339652	6.03808639108221	0.005770142875931	1	1.46515980070482	"O14770;O15119;O15156;O43524;O43679;O75376;O75840;O76024;O95503;P01344;P05067;P12643;P12755;P15036;P15692;P17535;P17544;P17813;P22626;P23771;P24385;P24468;P27797;P35222;P35226;P35713;P40305;P40763;P42226;P46531;P46937;P49918;P56545;P63104;P67809;Q00534;Q00839;Q13118;Q13363;Q13765;Q14192;Q14494;Q14919;Q6VMQ6;Q92800;Q92870;Q96BF6;Q9BYE0;Q9GZV5;Q9H2X6;Q9NZI6;Q9UBB5;Q9UH92;Q9UM47;Q9UQR1;Q9BQI9;Q9Y2B9"
"PC2"	"GO_BP"	"0045766"	"positive regulation of angiogenesis "	16	633	68	6459	2.3696682464455	1.05279455023998	0.00598178466149486	1	2.25083635349875	"P05230;P05556;P15692;P17813;P33151;P35318;P35414;P35968;P36222;P37173;P40763;Q02763;Q13591;Q86Z02;Q9H2X6;Q9NQC3"
"PC3"	"GO_BP"	"0006376"	"mRNA splice site selection "	7	647	14	6459	0.927357032457496	0.216751819167054	0.00675535810093292	1	4.27842790903069	"O75494;O95232;Q07955;Q13242;Q92879;Q96MU7;Q9Y383"
"PC2"	"GO_BP"	"0061028"	"establishment of endothelial barrier "	7	633	15	6459	0.947867298578199	0.2322340919647	0.00795044622267317	1	4.08151658767772	"P16284;P26038;P35713;P61224;P62834;Q13905;Q96S97"
"PC2"	"GO_BP"	"0001701"	"in utero embryonic development "	20	633	99	6459	3.00157977883096	1.53274500696702	0.00850196704245806	1	1.95830341327972	"O15119;P01344;P05556;P12643;P15692;P23771;P26572;P35222;P35226;P35713;P37173;P46531;P63146;P67809;Q12965;Q9BWL3;Q9ULI3;Q9ULJ6;Q9Y3Y2;Q9Y6I3"
