"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"P01023",0.0281929762451083,0.0148772865235139,0.0192060792758857,0.0324181454967936,0.00732182820757232
"Q9NPC4",0.00834038273483332,0.00210231811918612,0.000212985412322329,0.0456309825668971,0.0129549061781448
"Q9NRG9",0.00356292085192919,0.0455359594180689,0.0110407845442246,0.000193518082413809,0.0121660337165535
"Q13685",0.00729419634009898,0.0209649207713442,0.0154072413501676,0.0563019044356848,0.05995088164976
"Q9Y312",0.046451955541027,0.0549746857860715,0.0167727340099204,0.00202152027367837,0.049713282356749
"P49588",0.0113222181734295,0.00308512193228202,0.000669211380081533,0.000591217278299679,0.035212501478423
"Q9UDR5",0.00212874786775438,7.15138184428217e-06,0.0019688244622793,0.00101930967831582,0.0474162086127785
"Q9NY61",0.0325637348131046,0.000922508923169519,0.00337242838635761,0.00460144991808072,0.000413308781488613
"Q9NRK6",0.000652879632227762,0.00804951101181562,9.07940465997355e-05,0.00414072233853608,0.0246340310151555
"O95255",0.0341101238945997,0.00395402433608489,0.0311354379563711,0.0321104715501213,0.000576451411255473
"Q8NE71",0.00646177424207293,0.000117859158569248,0.000153863204981246,0.0007578810135723,0.0281713310573647
"Q96IU4",0.0401221101070393,0.042028942749384,0.00286991110898682,0.00628889546186493,0.0161393172591234
"O95870",1.39663628556517e-05,0.0704067088996763,0.0079681850829149,0.143897186521139,8.68242103961542e-05
"Q96GS6",0.0392113088685234,0.000369367713500203,0.0557107732179668,0.0434147371489512,0.0205382223770575
"P08910",0.0422309127278663,0.000800513529304198,0.00454908476394248,0.00687640528183231,0.084671513538938
"Q8IZP0",0.000607373081078066,0.000966277461638342,0.0407371783277032,0.0128980273553907,0.0577867504475698
"Q9NYB9",0.00509262310939253,0.0361552023063783,0.0959964023346937,6.62963929601006e-05,0.0184253265293424
"Q9NX38",0.00545521606826858,0.0015518955531866,0.0490081325748073,0.14714580552714,0.0148683658100496
"Q6H8Q1",0.0100811124631407,0.000893355456343899,0.0111494699187133,0.000138387144265634,0.0309532763861163
"Q12979",0.0137736825738602,1.98353152106096e-07,0.00119171051438579,0.00421534477241077,0.000344250634280832
"Q9P1F3",0.062537666381034,0.000224969430952135,0.00233143745464063,0.0503256966556504,0.0045487759650478
"Q969K4",0.0201691877978126,0.0151556426560175,0.00341742103087668,0.00980526956126145,0.0139986008086145
"P42765",1.55398986210003e-05,0.0164375657923789,0.0157888348984164,0.00326828702296607,0.00329810966582776
"Q6JQN1",0.0227356064619067,0.0155203985003686,0.00401366044830068,0.0576782889368346,0.00235548576452766
"P11310",0.00559632907510824,0.0299922375093449,4.90778115434072e-05,0.202305312640262,0.00112533322993776
"P16219",0.0482015397992355,0.00230246196398511,0.033511215490678,0.000905879400563499,0.00296015530653261
