"component"	"Category"	"Term_accession"	"Term_description"	"Count_query"	"Pop_query"	"Count_universe"	"Pop_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"PC1"	"GO_BP"	"0002181"	"cytoplasmic translation "	30	441	76	4471	6.57596371882086	1.69984343547305	1.4530712233655e-08	2.98315522156938e-05	3.86857023511159	"P08865;P15880;P18124;P18621;P23396;P25398;P30050;P42677;P42766;P46778;P46783;P49207;P49591;P61247;P61254;P61313;P62269;P62424;P62701;P62753;P62841;P62847;P62854;P62979;P63173;P83881;P84098;Q02543;Q02878;Q07020"
"PC1"	"GO_BP"	"0006412"	"translation "	33	441	109	4471	7.2562358276644	2.43793334824424	4.04413126208591e-07	0.000415130074053119	2.97638810876032	"P08865;P15880;P18124;P18621;P23396;P25398;P30050;P42677;P42766;P46778;P46783;P49207;P49591;P61247;P61254;P61313;P62269;P62424;P62701;P62753;P62841;P62847;P62854;P62979;P63173;P83881;P84098;Q02543;Q02878;Q07020;Q9BPZ3;P22090;Q9P0J6"
"PC2"	"GO_BP"	"0002181"	"cytoplasmic translation "	25	441	76	4471	5.4421768707483	1.69984343547305	4.20698660457404e-06	0.0112032053279807	3.2015753669889	"P05386;P05387;P08708;P25398;P32969;P39019;P42677;P46779;P61513;P62244;P62249;P62263;P62269;P62273;P62280;P62701;P62829;P62841;P62851;P62857;P62861;P62913;P63220;P63244;P83731"
"PC2"	"GO_BP"	"0006412"	"translation "	26	441	109	4471	5.66893424036281	2.43793334824424	0.000290187506425695	0.386384664805813	2.325303209969	"P05386;P05387;P08708;P25398;P32969;P39019;P42677;P46779;P61513;P62244;P62249;P62263;P62269;P62273;P62280;P62701;P62829;P62841;P62851;P62857;P62861;P62913;P63220;P83731;Q96L21;Q4U2R6"
"PC2"	"GO_BP"	"0042274"	"ribosomal small subunit biogenesis "	12	441	31	4471	2.49433106575964	0.693357190785059	0.000810275825609351	0.719254841199234	3.59746909516495	"P08708;P25398;P39019;P42677;P62244;P62249;P62263;P62280;P62701;P62841;P62851;P62857"
"PC1"	"GO_BP"	"0042274"	"ribosomal small subunit biogenesis "	11	441	31	4471	2.26757369614512	0.693357190785059	0.00249260572834183	1	3.27042645014995	"P06748;P25398;P42677;P61247;P62701;P62753;P62841;P62847;P62979;Q9NQZ2;Q9Y324"
"PC2"	"GO_BP"	"0009410"	"response to xenobiotic stimulus "	18	441	74	4471	3.85487528344671	1.65511071348692	0.00251883283916662	1	2.32907397193111	"P00441;P07900;P07996;P10415;P18065;P21741;P23771;P24385;P28223;P28300;P35222;P37173;P42224;P61803;Q13867;Q14432;Q16611;Q9H3M7"
"PC2"	"GO_BP"	"0043524"	"negative regulation of neuron apoptotic process "	14	441	49	4471	2.94784580498866	1.09595168866025	0.0026037893905888	1	2.68975889675598	"O43543;P00441;P02649;P10415;P20936;P21741;P24385;P28799;P40189;Q17RY0;Q8TB73;Q99538;Q9H2X6;Q9NZ20"
"PC2"	"GO_BP"	"0008284"	"positive regulation of cell population proliferation "	26	441	132	4471	5.66893424036281	2.95235965108477	0.00382824709865085	1	1.92013674156531	"P01137;P01344;P04626;P06756;P07996;P10415;P24821;P28223;P30305;P37173;P40189;P62244;P62633;P62701;P62829;Q03431;Q04206;Q06945;Q07157;Q16288;Q8NEV1;Q99075;Q99538;Q9GZP0;Q9H2X6;Q5VXH4"
"PC2"	"GO_BP"	"0001934"	"positive regulation of protein phosphorylation "	17	441	74	4471	3.6281179138322	1.65511071348692	0.00727881607745261	1	2.19206962064105	"P01137;P01344;P04233;P04626;P05067;P05106;P07900;P10114;P24385;P27361;P30040;P63244;Q03405;Q16288;Q99969;Q9H2X6;Q9HAT8"
"PC2"	"GO_BP"	"0000028"	"ribosomal small subunit assembly "	6	441	10	4471	1.13378684807256	0.223663609930664	0.00766493153280338	1	5.06916099773243	"P39019;P42677;P62263;P62841;P62857;P62861"
"PC2"	"GO_BP"	"0048661"	"positive regulation of smooth muscle cell proliferation "	8	441	21	4471	1.58730158730159	0.469693580854395	0.00949284784327002	1	3.37944066515495	"O95388;P01137;P05106;P07996;P37173;P42224;Q99075;Q9GZP0"
"PC3"	"GO_BP"	"0009653"	"anatomical structure morphogenesis "	10	446	34	4471	2.01793721973094	0.760456273764259	0.0124222665334923	1	2.65358744394619	"O15105;O43541;O95758;P23771;P48431;P52799;P78337;P98161;Q15796;O75333"
"PC1"	"GO_BP"	"0021762"	"substantia nigra development "	8	441	23	4471	1.58730158730159	0.514426302840528	0.0139844436254055	1	3.0855762594893	"O15027;P00338;P0DP23;P0DP24;P0DP25;P14854;P62258;P63167"
"PC2"	"GO_BP"	"0006364"	"rRNA processing "	10	441	36	4471	2.04081632653061	0.805188995750391	0.0156351239875072	1	2.53458049886621	"P08708;P39019;P42677;P62249;P62841;P62851;P62857;P62913;Q9BUL9;Q9Y3B2"
"PC2"	"GO_BP"	"0043627"	"response to estrogen "	6	441	13	4471	1.13378684807256	0.290762692909864	0.0175096999343042	1	3.89935461364033	"P07900;P08473;P18065;P23771;P24385;P37173"
"PC3"	"GO_BP"	"0000380"	"alternative mRNA splicing, via spliceosome "	6	446	13	4471	1.12107623318386	0.290762692909864	0.0182458170438764	1	3.85563987581925	"P23246;Q07955;Q13247;Q14004;Q92841;Q9UHX1"
"PC1"	"GO_BP"	"0019800"	"peptide cross-linking via chondroitin 4-sulfate glycosaminoglycan "	4	441	4	4471	0.680272108843537	0.0894654439722657	0.0185792939354428	1	7.60374149659864	"P07585;P21810;Q8TB73;Q92563"
