"UniprotID"	"original"
"A2A2Z9"	"ANKRD18B"
"A6NGB9"	"WIPF3"
"A6ZKI3"	"RTL8C"
"O00159"	"MYO1C"
"O00178"	"GTPBP1"
"O00264"	"PGRMC1"
"O00299"	"CLIC1"
"O00423"	"EML1"
"O00571"	"DDX3X"
"O14495"	"PLPP3"
"O14682"	"ENC1"
"O14686"	"KMT2D"
"O14715"	"RGPD8"
"O14763"	"TNFRSF10B"
"O14770"	"MEIS2"
"O14786"	"NRP1"
"O15119"	"TBX3"
"O15243"	"LEPROT"
"O15342"	"ATP6V0E1"
"O15417"	"TNRC18"
"O15455"	"TLR3"
"O15482"	"TEX28"
"O15530"	"PDPK1"
"O15550"	"KDM6A"
"O43184"	"ADAM12"
"O43189"	"PHF1"
"O43236"	"SEPTIN4"
"O43300"	"LRRTM2"
"O43312"	"MTSS1"
"O43314"	"PPIP5K2"
"O43493"	"TGOLN2"
"O43541"	"SMAD6"
"O43556"	"SGCE"
"O43592"	"XPOT"
"O43623"	"SNAI2"
"O43680"	"TCF21"
"O43707"	"ACTN4"
"O43805"	"SSNA1"
"O60271"	"SPAG9"
"O60493"	"SNX3"
"O60524"	"NEMF"
"O60636"	"TSPAN2"
"O60637"	"TSPAN3"
"O60716"	"CTNND1"
"O75056"	"SDC3"
"O75150"	"RNF40"
"O75152"	"ZC3H11A"
"O75368"	"SH3BGRL"
"O75444"	"MAF"
"O75461"	"E2F6"
"O75509"	"TNFRSF21"
"O75563"	"SKAP2"
"O75569"	"PRKRA"
"O75592"	"MYCBP2"
"O75822"	"EIF3J"
"O75923"	"DYSF"
"O75934"	"BCAS2"
"O75937"	"DNAJC8"
"O94768"	"STK17B"
"O94832"	"MYO1D"
"O94842"	"TOX4"
"O94850"	"DDN"
"O94856"	"NFASC"
"O94880"	"PHF14"
"O94916"	"NFAT5"
"O94989"	"ARHGEF15"
"O95140"	"MFN2"
"O95214"	"LEPROTL1"
"O95302"	"FKBP9"
"O95365"	"ZBTB7A"
"O95388"	"CCN4"
"O95406"	"CNIH1"
"O95628"	"CNOT4"
"O95819"	"MAP4K4"
"O95931"	"CBX7"
"O95998"	"IL18BP"
"P00352"	"ALDH1A1"
"P00918"	"CA2"
"P02461"	"COL3A1"
"P02763"	"ORM1"
"P04080"	"CSTB"
"P04150"	"NR3C1"
"P04216"	"THY1"
"P05556"	"ITGB1"
"P06730"	"EIF4E"
"P07204"	"THBD"
"P07355"	"ANXA2"
"P07947"	"YES1"
"P07998"	"RNASE1"
"P08235"	"NR3C2"
"P08238"	"HSP90AB1"
"P08648"	"ITGA5"
"P09486"	"SPARC"
"P09496"	"CLTA"
"P09619"	"PDGFRB"
"P0CF97"	"FAM200B"
"P0CG13"	"CHTF8"
"P0DJD1"	"RGPD2"
"P0DML3"	"CSH2"
"P0DP23"	"CALM1"
"P0DP24"	"CALM2"
"P0DTW1"	"GAGE1"
"P10114"	"RAP2A"
"P10644"	"PRKAR1A"
"P11047"	"LAMC1"
"P11142"	"HSPA8"
"P11234"	"RALB"
"P11279"	"LAMP1"
"P11717"	"IGF2R"
"P12259"	"F5"
"P12755"	"SKI"
"P12757"	"SKIL"
"P12830"	"CDH1"
"P13164"	"IFITM1"
"P13674"	"P4HA1"
"P14625"	"HSP90B1"
"P15056"	"BRAF"
"P15428"	"HPGD"
"P15529"	"CD46"
"P15692"	"VEGFA"
"P15907"	"ST6GAL1"
"P16885"	"PLCG2"
"P17036"	"ZNF3"
"P17181"	"IFNAR1"
"P17405"	"SMPD1"
"P17544"	"ATF7"
"P17948"	"FLT1"
"P19021"	"PAM"
"P19544"	"WT1"
"P19793"	"RXRA"
"P20020"	"ATP2B1"
"P20309"	"CHRM3"
"P20393"	"NR1D1"
"P20962"	"PTMS"
"P23193"	"TCEA1"
"P23467"	"PTPRB"
"P23470"	"PTPRG"
"P23610"	"F8A1"
"P23771"	"GATA3"
"P24385"	"CCND1"
"P24468"	"NR2F2"
"P24593"	"IGFBP5"
"P24844"	"MYL9"
"P25440"	"BRD2"
"P25490"	"YY1"
"P25791"	"LMO2"
"P25929"	"NPY1R"
"P26006"	"ITGA3"
"P26583"	"HMGB2"
"P27469"	"G0S2"
"P28074"	"PSMB5"
"P30556"	"AGTR1"
"P30711"	"GSTT1"
"P31040"	"SDHA"
"P31937"	"HIBADH"
"P33151"	"CDH5"
"P33176"	"KIF5B"
"P34932"	"HSPA4"
"P35080"	"PFN2"
"P35221"	"CTNNA1"
"P35241"	"RDX"
"P35568"	"IRS1"
"P35579"	"MYH9"
"P35580"	"MYH10"
"P35613"	"BSG"
"P35713"	"SOX18"
"P35968"	"KDR"
"P36382"	"GJA5"
"P36578"	"RPL4"
"P36941"	"LTBR"
"P37173"	"TGFBR2"
"P38646"	"HSPA9"
"P39059"	"COL15A1"
"P39656"	"DDOST"
"P39687"	"ANP32A"
"P40189"	"IL6ST"
"P41567"	"EIF1"
"P41595"	"HTR2B"
"P42704"	"LRPPRC"
"P43243"	"MATR3"
"P45973"	"CBX5"
"P46531"	"NOTCH1"
"P46937"	"YAP1"
"P48048"	"KCNJ1"
"P48509"	"CD151"
"P48634"	"PRRC2A"
"P49448"	"GLUD2"
"P49721"	"PSMB2"
"P49759"	"CLK1"
"P49862"	"KLK7"
"P49908"	"SELENOP"
"P49918"	"CDKN1C"
"P50454"	"SERPINH1"
"P50579"	"METAP2"
"P50591"	"TNFSF10"
"P51153"	"RAB13"
"P51452"	"DUSP3"
"P52565"	"ARHGDIA"
"P52756"	"RBM5"
"P52799"	"EFNB2"
"P53618"	"COPB1"
"P53708"	"ITGA8"
"P53816"	"PLAAT3"
"P54709"	"ATP1B3"
"P55084"	"HADHB"
"P55209"	"NAP1L1"
"P55268"	"LAMB2"
"P56199"	"ITGA1"
"P56377"	"AP1S2"
"P57076"	"CFAP298"
"P60033"	"CD81"
"P61019"	"RAB2A"
"P61077"	"UBE2D3"
"P61289"	"PSME3"
"P61313"	"RPL15"
"P61764"	"STXBP1"
"P61952"	"GNG11"
"P61981"	"YWHAG"
"P62136"	"PPP1CA"
"P62330"	"ARF6"
"P62701"	"RPS4X"
"P62847"	"RPS24"
"P62979"	"RPS27A"
"P63104"	"YWHAZ"
"P63167"	"DYNLL1"
"P63173"	"RPL38"
"P68036"	"UBE2L3"
"P69849"	"NOMO3"
"P78344"	"EIF4G2"
"P84077"	"ARF1"
"Q00610"	"CLTC"
"Q00765"	"REEP5"
"Q00889"	"PSG6"
"Q01082"	"SPTBN1"
"Q01628"	"IFITM3"
"Q01804"	"OTUD4"
"Q02078"	"MEF2A"
"Q02108"	"GUCY1A1"
"Q02363"	"ID2"
"Q02447"	"SP3"
"Q02750"	"MAP2K1"
"Q02809"	"PLOD1"
