"UniprotID"	"original"
"A0A0J9YWL9"	"TEX13C"
"A0A1B0GUA7"	"TEX51"
"A0A1B0GUS4"	"UBE2L5"
"A1A5C7"	"SLC22A23"
"A1L157"	"TSPAN11"
"A1XBS5"	"FAM92A"
"A2RRL7"	"TMEM213"
"A2RUH7"	"MYBPHL"
"A4FU49"	"SH3D21"
"A5D8V7"	"CCDC151"
"A5YKK6"	"CNOT1"
"A6NEM1"	"GOLGA6L9"
"A6NFC5"	"TMEM235"
"A6NHA9"	"OR4C46"
"A6NJL1"	"ZSCAN5B"
"A6NKF7"	"TMEM88B"
"A6NL88"	"SHISA7"
"A6NLW8"	"DUXA"
"A6NMB1"	"SIGLEC16"
"A6NNA2"	"SRRM3"
"A8MZ36"	"EVPLL"
"B0I1T2"	"MYO1G"
"B2RXH2"	"KDM4E"
"B4DU55"	"ZNF879"
"B7Z6K7"	"ZNF814"
"C9J302"	"C4orf51"
"C9JI98"	"TMEM238"
"C9JVW0"	"INAFM1"
"E7ETH6"	"ZNF587B"
"H3BPF8"	"GOLGA8S"
"H3BV60"	"TGFBR3L"
"M0QZC1"	"RNF225"
"O00180"	"KCNK1"
"O00198"	"HRK"
"O00330"	"PDHX"
"O00567"	"NOP56"
"O00622"	"CCN1"
"O00746"	"NME4"
"O14618"	"CCS"
"O14753"	"OVOL1"
"O14798"	"TNFRSF10C"
"O14817"	"TSPAN4"
"O14983"	"ATP2A1"
"O15018"	"PDZD2"
"O15130"	"NPFF"
"O15156"	"ZBTB7B"
"O15173"	"PGRMC2"
"O15315"	"RAD51B"
"O15370"	"SOX12"
"O15498"	"YKT6"
"O15523"	"DDX3Y"
"O15524"	"SOCS1"
"O15527"	"OGG1"
"O15534"	"PER1"
"O43151"	"TET3"
"O43159"	"RRP8"
"O43186"	"CRX"
"O43286"	"B4GALT5"
"O43290"	"SART1"
"O43345"	"ZNF208"
"O43448"	"KCNAB3"
"O43474"	"KLF4"
"O43488"	"AKR7A2"
"O43502"	"RAD51C"
"O43603"	"GALR2"
"O43665"	"RGS10"
"O43734"	"TRAF3IP2"
"O43741"	"PRKAB2"
"O43765"	"SGTA"
"O43812"	"DUX1"
"O60234"	"GMFG"
"O60258"	"FGF17"
"O60304"	"ZNF500"
"O60312"	"ATP10A"
"O60336"	"MAPKBP1"
"O60427"	"FADS1"
"O60481"	"ZIC3"
"O60755"	"GALR3"
"O60760"	"HPGDS"
"O75022"	"LILRB3"
"O75167"	"PHACTR2"
"O75310"	"UGT2B11"
"O75339"	"CILP"
"O75346"	"ZNF253"
"O75362"	"ZNF217"
"O75365"	"PTP4A3"
"O75373"	"ZNF737"
"O75385"	"ULK1"
"O75394"	"MRPL33"
"O75526"	"RBMXL2"
"O75631"	"UPK3A"
"O75791"	"GRAP2"
"O75845"	"SC5D"
"O75896"	"TUSC2"
"O75897"	"SULT1C4"
"O75920"	"SERF1A"
"O75964"	"ATP5MG"
"O75973"	"C1QL1"
"O76015"	"KRT38"
"O76061"	"STC2"
"O94864"	"SUPT7L"
"O94907"	"DKK1"
"O94952"	"FBXO21"
"O94956"	"SLCO2B1"
"O94992"	"HEXIM1"
"O95169"	"NDUFB8"
"O95236"	"APOL3"
"O95237"	"LRAT"
"O95297"	"MPZL1"
"O95396"	"MOCS3"
"O95407"	"TNFRSF6B"
"O95447"	"LCA5L"
"O95521"	"PRAMEF1"
"O95630"	"STAMBP"
"O95704"	"APBB3"
"O95822"	"MLYCD"
"O95833"	"CLIC3"
"O95870"	"ABHD16A"
"O95936"	"EOMES"
"O95977"	"S1PR4"
"O95996"	"APC2"
"P00374"	"DHFR"
"P00748"	"F12"
"P01019"	"AGT"
"P01100"	"FOS"
"P01116"	"KRAS"
"P01178"	"OXT"
"P02511"	"CRYAB"
"P02768"	"ALB"
"P02776"	"PF4"
"P02794"	"FTH1"
"P02795"	"MT2A"
"P03971"	"AMH"
"P04001"	"OPN1MW"
"P04155"	"TFF1"
"P04731"	"MT1A"
"P04732"	"MT1E"
"P05013"	"IFNA6"
"P05015"	"IFNA16"
"P05019"	"IGF1"
"P05026"	"ATP1B1"
"P05093"	"CYP17A1"
"P05388"	"RPLP0"
"P05412"	"JUN"
"P05783"	"KRT18"
"P06703"	"S100A6"
"P07148"	"FABP1"
"P08123"	"COL1A2"
"P08134"	"RHOC"
"P08588"	"ADRB1"
"P09105"	"HBQ1"
"P09110"	"ACAA1"
"P09237"	"MMP7"
"P09488"	"GSTM1"
"P09497"	"CLTB"
"P09529"	"INHBB"
"P09683"	"SCT"
"P0C0L5"	"C4B"
"P0C0S8-C11"	"H2AC11"
"P0C0S8-C15"	"H2AC15"
"P0C2W7"	"CT47B1"
"P0C6A0"	"ZGLP1"
"P0C7Q5"	"SLC35G4"
"P0C7V8"	"DCAF8L2"
"P0C7W0"	"PRR29"
"P0CG40"	"SP9"
"P0CG47"	"UBB"
"P0CJ70"	"MTRNR2L3"
"P0CJ71"	"MTRNR2L4"
"P0CJ73"	"MTRNR2L6"
"P0CJ77"	"MTRNR2L10"
"P0CJ79"	"ZNF888"
"P0DL12"	"SMIM17"
"P0DME0"	"SETSIP"
"P0DMV8"	"HSPA1A"
"P0DMV9"	"HSPA1B"
