"UniprotID"	"original"
"A0JLT2"	"MED19"
"A6ZKI3"	"RTL8C"
"O00159"	"MYO1C"
"O00264"	"PGRMC1"
"O00299"	"CLIC1"
"O00592"	"PODXL"
"O14495"	"PLPP3"
"O14770"	"MEIS2"
"O14791"	"APOL1"
"O15119"	"TBX3"
"O15243"	"LEPROT"
"O15258"	"RER1"
"O15342"	"ATP6V0E1"
"O15417"	"TNRC18"
"O43169"	"CYB5B"
"O43493"	"TGOLN2"
"O43670"	"ZNF207"
"O43707"	"ACTN4"
"O43916"	"CHST1"
"O60239"	"SH3BP5"
"O60493"	"SNX3"
"O60506"	"SYNCRIP"
"O75204"	"TMEM127"
"O76024"	"WFS1"
"O94832"	"MYO1D"
"O94850"	"DDN"
"O94989"	"ARHGEF15"
"O95190"	"OAZ2"
"O95302"	"FKBP9"
"O95503"	"CBX6"
"O95715"	"CXCL14"
"O95758"	"PTBP3"
"P00973"	"OAS1"
"P01100"	"FOS"
"P01344"	"IGF2"
"P04216"	"THY1"
"P04233"	"CD74"
"P04899"	"GNAI2"
"P05023"	"ATP1A1"
"P05386"	"RPLP1"
"P05412"	"JUN"
"P05556"	"ITGB1"
"P07437"	"TUBB"
"P07900"	"HSP90AA1"
"P07998"	"RNASE1"
"P08133"	"ANXA6"
"P08174"	"CD55"
"P08758"	"ANXA5"
"P09619"	"PDGFRB"
"P0C0S8-C11"	"H2AC11"
"P0CJ73"	"MTRNR2L6"
"P0CJ77"	"MTRNR2L10"
"P0DP24"	"CALM2"
"P10619"	"CTSA"
"P10644"	"PRKAR1A"
"P10645"	"CHGA"
"P11142"	"HSPA8"
"P11234"	"RALB"
"P11279"	"LAMP1"
"P11717"	"IGF2R"
"P12235"	"SLC25A4"
"P12643"	"BMP2"
"P13797"	"PLS3"
"P13987"	"CD59"
"P14314"	"PRKCSH"
"P14625"	"HSP90B1"
"P14868"	"DARS1"
"P15144"	"ANPEP"
"P15529"	"CD46"
"P15692"	"VEGFA"
"P16066"	"NPR1"
"P16284"	"PECAM1"
"P17181"	"IFNAR1"
"P17480"	"UBTF"
"P17535"	"JUND"
"P18084"	"ITGB5"
"P18146"	"EGR1"
"P19021"	"PAM"
"P20618"	"PSMB1"
"P20674"	"COX5A"
"P20962"	"PTMS"
"P21333"	"FLNA"
"P22307"	"SCP2"
"P24385"	"CCND1"
"P24390"	"KDELR1"
"P24468"	"NR2F2"
"P24522"	"GADD45A"
"P24593"	"IGFBP5"
"P25440"	"BRD2"
"P25791"	"LMO2"
"P26006"	"ITGA3"
"P26641"	"EEF1G"
"P29122"	"PCSK6"
"P29558"	"RBMS1"
"P31431"	"SDC4"
"P31949"	"S100A11"
"P34741"	"SDC2"
"P34932"	"HSPA4"
"P35221"	"CTNNA1"
"P35222"	"CTNNB1"
"P35558"	"PCK1"
"P35613"	"BSG"
"P35713"	"SOX18"
"P35968"	"KDR"
"P36382"	"GJA5"
"P37173"	"TGFBR2"
"P39059"	"COL15A1"
"P40939"	"HADHA"
"P41567"	"EIF1"
"P42126"	"ECI1"
"P46695"	"IER3"
"P46937"	"YAP1"
"P48509"	"CD151"
"P48556"	"PSMD8"
"P48681"	"NES"
"P49137"	"MAPKAPK2"
"P49759"	"CLK1"
"P49918"	"CDKN1C"
"P51153"	"RAB13"
"P51571"	"SSR4"
"P51693"	"APLP1"
"P52597"	"HNRNPF"
"P52799"	"EFNB2"
"P53539"	"FOSB"
"P54368"	"OAZ1"
"P60033"	"CD81"
"P60981"	"DSTN"
"P61224"	"RAP1B"
"P61769"	"B2M"
"P61952"	"GNG11"
"P61981"	"YWHAG"
"P62714"	"PPP2CB"
"P62805-C15"	"H4C15"
"P62805-C5"	"H4C5"
"P62805-C8"	"H4C8"
"P67809"	"YBX1"
"P78332"	"RBM6"
"P78344"	"EIF4G2"
"P98161"	"PKD1"
"P98172"	"EFNB1"
"Q00325"	"SLC25A3"
"Q00341"	"HDLBP"
"Q00610"	"CLTC"
"Q01082"	"SPTBN1"
"Q01628"	"IFITM3"
"Q02078"	"MEF2A"
"Q02577"	"NHLH2"
"Q02809"	"PLOD1"
"Q03112"	"MECOM"
"Q03591"	"CFHR1"
"Q04900"	"CD164"
"Q05209"	"PTPN12"
"Q06210"	"GFPT1"
"Q07157"	"TJP1"
"Q07352"	"ZFP36L1"
"Q07820"	"MCL1"
"Q11201"	"ST3GAL1"
"Q12772"	"SREBF2"
"Q12841"	"FSTL1"
"Q12873"	"CHD3"
"Q12965"	"MYO1E"
