"UniprotID"	"original"
"A0A1B0GUI7"	"BRD3OS"
"A1A5C7"	"SLC22A23"
"A4FU28"	"CTAGE9"
"A6NEM1"	"GOLGA6L9"
"A8MZA4"	"GOLGA6L6"
"C9J202"	"ALG1L2"
"C9JVW0"	"INAFM1"
"E9PJ23"	"NPIPB6"
"H3BV60"	"TGFBR3L"
"O00141"	"SGK1"
"O15534"	"PER1"
"O60760"	"HPGDS"
"O75319"	"DUSP11"
"O75394"	"MRPL33"
"O75920"	"SERF1A"
"O75964"	"ATP5MG"
"O94907"	"DKK1"
"O94952"	"FBXO21"
"O95447"	"LCA5L"
"O95521"	"PRAMEF1"
"O95870"	"ABHD16A"
"P02794"	"FTH1"
"P02795"	"MT2A"
"P04001"	"OPN1MW"
"P04731"	"MT1A"
"P04732"	"MT1E"
"P05783"	"KRT18"
"P07585"	"DCN"
"P08123"	"COL1A2"
"P09529"	"INHBB"
"P11509"	"CYP2A6"
"P13637"	"ATP1A3"
"P13640"	"MT1G"
"P13995"	"MTHFD2"
"P14209"	"CD99"
"P14324"	"FDPS"
"P14384"	"CPM"
"P14651"	"HOXB3"
"P17035"	"ZNF28"
"P17038"	"ZNF43"
"P17481"	"HOXB8"
"P17676"	"CEBPB"
"P18077"	"RPL35A"
"P21741"	"MDK"
"P21917"	"DRD4"
"P25025"	"CXCR2"
"P25963"	"NFKBIA"
"P28223"	"HTR2A"
"P32780"	"GTF2H1"
"P36222"	"CHI3L1"
"P40617"	"ARL4A"
"P43358"	"MAGEA4"
"P46100"	"ATRX"
"P46778"	"RPL21"
"P48230"	"TM4SF4"
"P51955"	"NEK2"
"P55008"	"AIF1"
"P55290"	"CDH13"
"P56706"	"WNT7B"
"P60985"	"KRTDAP"
"P62244"	"RPS15A"
"P62249"	"RPS16"
"P62273"	"RPS29"
"P62424"	"RPL7A"
"P62745"	"RHOB"
"P62753"	"RPS6"
"P62854"	"RPS26"
"P80294"	"MT1H"
"P80297"	"MT1X"
"Q01534"	"TSPY1"
"Q02535"	"ID3"
"Q03405"	"PLAUR"
"Q03938"	"ZNF90"
"Q05516"	"ZBTB16"
"Q05639"	"EEF1A2"
"Q06945"	"SOX4"
"Q0D2J5"	"ZNF763"
"Q13241"	"KLRD1"
"Q13242"	"SRSF9"
"Q13451"	"FKBP5"
"Q14678"	"KANK1"
"Q15306"	"IRF4"
"Q16342"	"PDCD2"
"Q16654"	"PDK4"
"Q2YD98"	"UVSSA"
"Q494U1"	"PLEKHN1"
"Q49AM3"	"TTC31"
"Q4KMP7"	"TBC1D10B"
"Q504U0"	"C4orf46"
"Q53EL6"	"PDCD4"
"Q5GH73"	"XKR6"
"Q5VIY5"	"ZNF468"
"Q5VST9"	"OBSCN"
"Q5VTQ0"	"TTC39B"
"Q6NT52"	"CGB2"
"Q6PEY1"	"TMEM88"
"Q6PID6"	"TTC33"
"Q6PUV4"	"CPLX2"
"Q6S5H5"	"POTEG"
"Q6UWT2"	"ENHO"
"Q6UXG8"	"BTNL9"
"Q6ZMU5"	"TRIM72"
"Q6ZN44"	"UNC5A"
"Q70EK9"	"USP51"
"Q76LX8"	"ADAMTS13"
"Q7Z3E1"	"TIPARP"
"Q86XN6"	"ZNF761"
"Q8IWD5"	"MFSD6L"
"Q8IYE1"	"CCDC13"
"Q8N1G1"	"REXO1"
"Q8N339"	"MT1M"
"Q8N6Q1"	"TMCO5A"
"Q8N823"	"ZNF611"
"Q8N9F0"	"NAT8L"
"Q8NA70"	"FAM47B"
"Q8NGC4"	"OR10G3"
"Q8NGE9"	"OR9Q2"
"Q8TAC2"	"JOSD2"
"Q8TAV3"	"CYP2W1"
"Q8TBF2"	"PRXL2B"
"Q8TBH0"	"ARRDC2"
"Q8TDD2"	"SP7"
"Q8WWZ1"	"IL1F10"
"Q8WXD2"	"SCG3"
"Q96D59"	"RNF183"
"Q96IW2"	"SHD"
"Q96KN3"	"PKNOX2"
"Q96PC2"	"IP6K3"
"Q96PM5"	"RCHY1"
"Q96RG2"	"PASK"
"Q96SQ5"	"ZNF587"
"Q96SQ7"	"ATOH8"
"Q96T23"	"RSF1"
"Q99501"	"GAS2L1"
"Q99944"	"EGFL8"
"Q9BT30"	"ALKBH7"
"Q9BT73"	"PSMG3"
"Q9BXJ3"	"C1QTNF4"
"Q9BYE0"	"HES7"
"Q9BYG3"	"NIFK"
"Q9C002"	"C15orf48"
"Q9C0K0"	"BCL11B"
"Q9GZS9"	"CHST5"
"Q9H094"	"NBPF3"
"Q9H1J5"	"WNT8A"
"Q9H2F5"	"EPC1"
"Q9H2G4"	"TSPYL2"
"Q9H3Q1"	"CDC42EP4"
"Q9H3Q3"	"GAL3ST2"
"Q9H3T2"	"SEMA6C"
"Q9H875"	"PRKRIP1"
"Q9HCU4"	"CELSR2"
"Q9HDC9"	"APMAP"
"Q9NP60"	"IL1RAPL2"
"Q9NQ90"	"ANO2"
"Q9NTK1"	"DEPP1"
"Q9NU23"	"LYRM2"
"Q9NV96"	"TMEM30A"
"Q9NZ56"	"FMN2"
"Q9UJM3"	"ERRFI1"
"Q9UJY1"	"HSPB8"
"Q9UL12"	"SARDH"
"Q9UL40"	"ZNF346"
"Q9ULD6"	"INTU"
"Q9ULD8"	"KCNH3"
"Q9Y228"	"TRAF3IP3"
"Q9Y272"	"RASD1"
"Q9Y2B0"	"CNPY2"
"Q9Y2S6"	"TMA7"
"Q9Y324"	"FCF1"
"Q9Y3D5"	"MRPS18C"
"Q9Y536"	"PPIAL4A"
"Q9Y675"	"SNURF"
"Undefined_ID_ERVW_1"	NA
"Undefined_ID_H1_2"	NA
"Undefined_ID_KRTAP10_3"	NA
"Undefined_ID_KRTAP12_3"	NA
"Undefined_ID_KRTAP9_4"	NA
