"UniprotID"	"original"
"O00264"	"PGRMC1"
"O14770"	"MEIS2"
"O15119"	"TBX3"
"O15243"	"LEPROT"
"O15342"	"ATP6V0E1"
"P04216"	"THY1"
"P09619"	"PDGFRB"
"P11279"	"LAMP1"
"P17181"	"IFNAR1"
"P20962"	"PTMS"
"P24385"	"CCND1"
"P36382"	"GJA5"
"P39059"	"COL15A1"
"P49759"	"CLK1"
"P51153"	"RAB13"
"P61981"	"YWHAG"
"Q01628"	"IFITM3"
"Q02809"	"PLOD1"
"Q03112"	"MECOM"
"Q05209"	"PTPN12"
"Q12965"	"MYO1E"
"Q14240"	"EIF4A2"
"Q14592"	"ZNF460"
"Q5JSZ5"	"PRRC2B"
"Q6P4E1"	"CASC4"
"Q6P5S7"	"RNASEK"
"Q86V86"	"PIM3"
"Q8IUR5"	"TMTC1"
"Q8IXH6"	"TP53INP2"
"Q8IZJ1"	"UNC5B"
"Q8WX93"	"PALLD"
"Q96DZ5"	"CLIP3"
"Q99805"	"TM9SF2"
"Q9BZR9"	"TRIM8"
"Q9HBL0"	"TNS1"
"Q9HBX9"	"RXFP1"
"Q9NP97"	"DYNLRB1"
"Q9NR31"	"SAR1A"
"Q9P0K7"	"RAI14"
"Q9P270"	"SLAIN2"
"Q9UM47"	"NOTCH3"
