"UniprotID"	"original"
"O14686"	"KMT2D"
"O60637"	"TSPAN3"
"O60716"	"CTNND1"
"O75150"	"RNF40"
"O75368"	"SH3BGRL"
"O75509"	"TNFRSF21"
"O75937"	"DNAJC8"
"O94768"	"STK17B"
"O94880"	"PHF14"
"O94916"	"NFAT5"
"O95140"	"MFN2"
"O95406"	"CNIH1"
"O95998"	"IL18BP"
"P00352"	"ALDH1A1"
"P02461"	"COL3A1"
"P0CF97"	"FAM200B"
"P0CG13"	"CHTF8"
"P10114"	"RAP2A"
"P12830"	"CDH1"
"P13164"	"IFITM1"
"P17948"	"FLT1"
"P20309"	"CHRM3"
"P20393"	"NR1D1"
"P23771"	"GATA3"
"P36941"	"LTBR"
"P51452"	"DUSP3"
"P52756"	"RBM5"
"Q02108"	"GUCY1A1"
"Q04941"	"PLP2"
"Q05682"	"CALD1"
"Q08174"	"PCDH1"
"Q12805"	"EFEMP1"
"Q13029"	"PRDM2"
"Q13595"	"TRA2A"
"Q14094"	"CCNI"
"Q14995"	"NR1D2"
"Q63ZY3"	"KANK2"
"Q6DN90"	"IQSEC1"
"Q70E73"	"RAPH1"
"Q8TC17"	"GRAPL"
"Q8WWI1"	"LMO7"
"Q93008"	"USP9X"
"Q96E09"	"FAM122A"
"Q96EF0"	"MTMR8"
"Q96G79"	"SLC35A4"
"Q96PE2"	"ARHGEF17"
"Q96TA1"	"NIBAN2"
"Q9GZM7"	"TINAGL1"
"Q9GZV5"	"WWTR1"
"Q9NQZ2"	"UTP3"
"Q9NVL8"	"CCDC198"
"Q9NYF5"	"FAM13B"
"Q9NYL9"	"TMOD3"
"Q9P241"	"ATP10D"
"Q9UP38"	"FZD1"
"Q9Y6K5"	"OAS3"
