"UniprotID"	"original"
"A6ZKI3"	"RTL8C"
"O00159"	"MYO1C"
"O00299"	"CLIC1"
"O14495"	"PLPP3"
"O15417"	"TNRC18"
"O43493"	"TGOLN2"
"O43707"	"ACTN4"
"O60493"	"SNX3"
"O94832"	"MYO1D"
"O94850"	"DDN"
"O94989"	"ARHGEF15"
"O95302"	"FKBP9"
"P05556"	"ITGB1"
"P07998"	"RNASE1"
"P0DP24"	"CALM2"
"P10644"	"PRKAR1A"
"P11142"	"HSPA8"
"P11234"	"RALB"
"P11717"	"IGF2R"
"P14625"	"HSP90B1"
"P15529"	"CD46"
"P15692"	"VEGFA"
"P19021"	"PAM"
"P24468"	"NR2F2"
"P24593"	"IGFBP5"
"P25440"	"BRD2"
"P25791"	"LMO2"
"P26006"	"ITGA3"
"P34932"	"HSPA4"
"P35221"	"CTNNA1"
"P35613"	"BSG"
"P35713"	"SOX18"
"P35968"	"KDR"
"P37173"	"TGFBR2"
"P41567"	"EIF1"
"P46937"	"YAP1"
"P48509"	"CD151"
"P49918"	"CDKN1C"
"P52799"	"EFNB2"
"P60033"	"CD81"
"P61952"	"GNG11"
"P78344"	"EIF4G2"
"Q00610"	"CLTC"
"Q01082"	"SPTBN1"
"Q02078"	"MEF2A"
"Q04900"	"CD164"
"Q07157"	"TJP1"
"Q07352"	"ZFP36L1"
"Q13813"	"SPTAN1"
"Q14118"	"DAG1"
"Q14444"	"CAPRIN1"
"Q14697"	"GANAB"
"Q15084"	"PDIA6"
"Q15366"	"PCBP2"
"Q15773"	"MLF2"
"Q16236"	"NFE2L2"
"Q16777"	"H2AC20"
"Q4KMQ2"	"ANO6"
"Q53EP0"	"FNDC3B"
"Q68CZ2"	"TNS3"
"Q6ZNL6"	"FGD5"
"Q7L4I2"	"RSRC2"
"Q8IWU6"	"SULF1"
"Q8N114"	"SHISA5"
"Q8N2Y8"	"RUSC2"
"Q8NHV1"	"GIMAP7"
"Q8TAQ2"	"SMARCC2"
"Q92563"	"SPOCK2"
"Q92802"	"N4BP2L2"
"Q96AP7"	"ESAM"
"Q9BUP0"	"EFHD1"
"Q9BZZ5"	"API5"
"Q9H3Y8"	"PPDPF"
"Q9HCS4"	"TCF7L1"
"Q9NPE2"	"NGRN"
"Q9NR00"	"TCIM"
"Q9NZN3"	"EHD3"
"Q9P227"	"ARHGAP23"
"Q9P2E3"	"ZNFX1"
"Q9P2N2"	"ARHGAP28"
"Q9UBV2"	"SEL1L"
"Q9UHG3"	"PCYOX1"
"Q9UHV7"	"MED13"
"Q9UKI2"	"CDC42EP3"
"Q9ULC0"	"EMCN"
"Q9ULI3"	"HEG1"
"Q9Y287"	"ITM2B"
"Q9Y2B9"	"PKIG"
"Q9Y385"	"UBE2J1"
"Q9Y490"	"TLN1"
"Q9Y605"	"MRFAP1"
