"UniprotID"	"original"
"O15258"	"RER1"
"O43670"	"ZNF207"
"O75204"	"TMEM127"
"O95758"	"PTBP3"
"P00973"	"OAS1"
"P07437"	"TUBB"
"P08133"	"ANXA6"
"P08174"	"CD55"
"P0CJ73"	"MTRNR2L6"
"P12235"	"SLC25A4"
"P12643"	"BMP2"
"P15144"	"ANPEP"
"P16066"	"NPR1"
"P21333"	"FLNA"
"P31431"	"SDC4"
"P31949"	"S100A11"
"P35222"	"CTNNB1"
"P42126"	"ECI1"
"P51571"	"SSR4"
"P51693"	"APLP1"
"P52597"	"HNRNPF"
"P62805-C5"	"H4C5"
"Q03591"	"CFHR1"
"Q06210"	"GFPT1"
"Q12772"	"SREBF2"
"Q12873"	"CHD3"
"Q13561"	"DCTN2"
"Q6NUQ4"	"TMEM214"
"Q71H61"	"ILDR2"
"Q8TCT9"	"HM13"
"Q8WWB7"	"GLMP"
"Q96LR4"	"TAFA4"
"Q96RQ9"	"IL4I1"
"Q96S97"	"MYADM"
"Q9BQI9"	"NRIP2"
"Q9H4A4"	"RNPEP"
"Q9P2J5"	"LARS1"
"Q9UHB6"	"LIMA1"
"Q9UHI8"	"ADAMTS1"
