"UniprotID"	"original"
"A2A2Z9"	"ANKRD18B"
"A6NGB9"	"WIPF3"
"O00178"	"GTPBP1"
"O00423"	"EML1"
"O00571"	"DDX3X"
"O14682"	"ENC1"
"O14715"	"RGPD8"
"O14763"	"TNFRSF10B"
"O14786"	"NRP1"
"O15455"	"TLR3"
"O15482"	"TEX28"
"O15530"	"PDPK1"
"O15550"	"KDM6A"
"O43184"	"ADAM12"
"O43189"	"PHF1"
"O43236"	"SEPTIN4"
"O43300"	"LRRTM2"
"O43312"	"MTSS1"
"O43314"	"PPIP5K2"
"O43541"	"SMAD6"
"O43556"	"SGCE"
"O43592"	"XPOT"
"O43623"	"SNAI2"
"O43680"	"TCF21"
"O43805"	"SSNA1"
"O60271"	"SPAG9"
"O60524"	"NEMF"
"O60636"	"TSPAN2"
"O75056"	"SDC3"
"O75152"	"ZC3H11A"
"O75444"	"MAF"
"O75461"	"E2F6"
"O75563"	"SKAP2"
"O75569"	"PRKRA"
"O75592"	"MYCBP2"
"O75822"	"EIF3J"
"O75923"	"DYSF"
"O75934"	"BCAS2"
"O94842"	"TOX4"
"O94856"	"NFASC"
"O95214"	"LEPROTL1"
"O95365"	"ZBTB7A"
"O95388"	"CCN4"
"O95628"	"CNOT4"
"O95819"	"MAP4K4"
"O95931"	"CBX7"
"P00918"	"CA2"
"P02763"	"ORM1"
"P04080"	"CSTB"
"P04150"	"NR3C1"
"P06730"	"EIF4E"
"P07204"	"THBD"
"P07355"	"ANXA2"
"P07947"	"YES1"
"P08235"	"NR3C2"
"P08238"	"HSP90AB1"
"P08648"	"ITGA5"
"P09486"	"SPARC"
"P09496"	"CLTA"
"P0DJD1"	"RGPD2"
"P0DML3"	"CSH2"
"P0DP23"	"CALM1"
"P0DTW1"	"GAGE1"
"P11047"	"LAMC1"
"P12259"	"F5"
"P12755"	"SKI"
"P12757"	"SKIL"
"P13674"	"P4HA1"
"P15056"	"BRAF"
"P15428"	"HPGD"
"P15907"	"ST6GAL1"
"P16885"	"PLCG2"
"P17036"	"ZNF3"
"P17405"	"SMPD1"
"P17544"	"ATF7"
"P19544"	"WT1"
"P19793"	"RXRA"
"P20020"	"ATP2B1"
"P23193"	"TCEA1"
"P23467"	"PTPRB"
"P23470"	"PTPRG"
"P23610"	"F8A1"
"P24844"	"MYL9"
"P25490"	"YY1"
"P25929"	"NPY1R"
"P26583"	"HMGB2"
"P27469"	"G0S2"
"P28074"	"PSMB5"
"P30556"	"AGTR1"
"P30711"	"GSTT1"
"P31040"	"SDHA"
"P31937"	"HIBADH"
"P33151"	"CDH5"
"P33176"	"KIF5B"
"P35080"	"PFN2"
"P35241"	"RDX"
"P35568"	"IRS1"
"P35579"	"MYH9"
"P35580"	"MYH10"
"P36578"	"RPL4"
"P38646"	"HSPA9"
"P39656"	"DDOST"
"P39687"	"ANP32A"
"P40189"	"IL6ST"
"P41595"	"HTR2B"
"P42704"	"LRPPRC"
"P43243"	"MATR3"
"P45973"	"CBX5"
"P46531"	"NOTCH1"
"P48048"	"KCNJ1"
"P48634"	"PRRC2A"
"P49448"	"GLUD2"
"P49721"	"PSMB2"
"P49862"	"KLK7"
"P49908"	"SELENOP"
"P50454"	"SERPINH1"
"P50579"	"METAP2"
"P50591"	"TNFSF10"
"P52565"	"ARHGDIA"
"P53618"	"COPB1"
"P53708"	"ITGA8"
"P53816"	"PLAAT3"
"P54709"	"ATP1B3"
"P55084"	"HADHB"
"P55209"	"NAP1L1"
"P55268"	"LAMB2"
"P56199"	"ITGA1"
"P56377"	"AP1S2"
"P57076"	"CFAP298"
"P61019"	"RAB2A"
"P61077"	"UBE2D3"
"P61289"	"PSME3"
"P61313"	"RPL15"
"P61764"	"STXBP1"
"P62136"	"PPP1CA"
"P62330"	"ARF6"
"P62701"	"RPS4X"
"P62847"	"RPS24"
"P62979"	"RPS27A"
"P63104"	"YWHAZ"
"P63167"	"DYNLL1"
"P63173"	"RPL38"
"P68036"	"UBE2L3"
"P69849"	"NOMO3"
"P84077"	"ARF1"
"Q00765"	"REEP5"
"Q00889"	"PSG6"
"Q01804"	"OTUD4"
"Q02363"	"ID2"
"Q02447"	"SP3"
"Q02750"	"MAP2K1"
"Q06495"	"SLC34A1"
"Q07866"	"KLC1"
"Q08334"	"IL10RB"
"Q08629"	"SPOCK1"
"Q08AF3"	"SLFN5"
"Q09019"	"DMWD"
"Q09666"	"AHNAK"
"Q0VGL1"	"LAMTOR4"
"Q10586"	"DBP"
"Q12860"	"CNTN1"
"Q13018"	"PLA2R1"
"Q13227"	"GPS2"
"Q13454"	"TUSC3"
"Q13503"	"MED21"
"Q13636"	"RAB31"
"Q13884"	"SNTB1"
"Q14155"	"ARHGEF7"
"Q14554"	"PDIA5"
"Q14627"	"IL13RA2"
"Q14687"	"GSE1"
"Q147X3"	"NAA30"
"Q15326"	"ZMYND11"
"Q15434"	"RBMS2"
"Q15678"	"PTPN14"
"Q15723"	"ELF2"
"Q16254"	"E2F4"
"Q16288"	"NTRK3"
"Q16620"	"NTRK2"
"Q16740"	"CLPP"
"Q16825"	"PTPN21"
"Q16851"	"UGP2"
"Q27J81"	"INF2"
"Q3MUY2"	"PIGY"
"Q49A26"	"GLYR1"
"Q4VCS5"	"AMOT"
"Q53GQ0"	"HSD17B12"
"Q53H80"	"AKIRIN2"
"Q53TN4"	"CYBRD1"
"Q5IJ48"	"CRB2"
"Q5JQC4"	"CT47A10"
"Q5JXB2"	"UBE2NL"
"Q5QNW6"	"H2BC18"
"Q5R372"	"RABGAP1L"
"Q5SW96"	"LDLRAP1"
"Q5T200"	"ZC3H13"
"Q5UCC4"	"EMC10"
"Q5VT52"	"RPRD2"
"Q5VTB9"	"RNF220"
"Q5VXH4"	"PRAMEF6"
"Q5VZF2"	"MBNL2"
"Q5W0V3"	"FAM160B1"
"Q5XG87"	"TENT4A"
"Q68DE3"	"USF3"
"Q6AHZ1"	"ZNF518A"
"Q6KC79"	"NIPBL"
"Q6NT76"	"HMBOX1"
"Q6NUQ1"	"RINT1"
"Q6P2I3"	"FAHD2B"
"Q6PJE2"	"POMZP3"
"Q6PKC3"	"TXNDC11"
"Q6UWH6"	"TEX261"
"Q6UX01"	"LMBR1L"
"Q6WKZ4"	"RAB11FIP1"
"Q6XE24"	"RBMS3"
"Q6ZN79"	"ZNF705A"
"Q6ZT12"	"UBR3"
"Q71UI9"	"H2AZ2"
"Q76N32"	"CEP68"
"Q7L0R7"	"RNF44"
"Q7L1Q6"	"BZW1"
"Q7L4S7"	"ARMCX6"
"Q7L5Y9"	"MAEA"
"Q7LFL8"	"CXXC5"
"Q7Z412"	"PEX26"
"Q7Z628"	"NET1"
"Q7Z699"	"SPRED1"
"Q86SQ7"	"SDCCAG8"
