"UniprotID"	"original"
"A0A669KBK1"	"PALM2AKAP2"
"A0AVI4"	"TMEM129"
"A2RUB6"	"CCDC66"
"A5PL33"	"KRBA1"
"A6NCN8"	"TEX52"
"A6NIX2"	"WTIP"
"A8MW92"	"PHF20L1"
"D6REC4"	"CFAP99"
"O00253"	"AGRP"
"O14745"	"SLC9A3R1"
"O15042"	"U2SURP"
"O15056"	"SYNJ2"
"O15121"	"DEGS1"
"O15534"	"PER1"
"O43294"	"TGFB1I1"
"O43390"	"HNRNPR"
"O43399"	"TPD52L2"
"O43593"	"HR"
"O43681"	"GET3"
"O43731"	"KDELR3"
"O60296"	"TRAK2"
"O60494"	"CUBN"
"O60613"	"SELENOF"
"O60763"	"USO1"
"O60885"	"BRD4"
"O75083"	"WDR1"
"O75094"	"SLIT3"
"O75116"	"ROCK2"
"O75143"	"ATG13"
"O75144"	"ICOSLG"
"O75264"	"SMIM24"
"O75333"	"TBX10"
"O75369"	"FLNB"
"O75586"	"MED6"
"O75915"	"ARL6IP5"
"O94760"	"DDAH1"
"O95751"	"LDOC1"
"O95954"	"FTCD"
"P00736"	"C1R"
"P01833"	"PIGR"
"P02753"	"RBP4"
"P05156"	"CFI"
"P05997"	"COL5A2"
"P06396"	"GSN"
"P07996"	"THBS1"
"P08294"	"SOD3"
"P09630"	"HOXC6"
"P09871"	"C1S"
"P0C7T5"	"ATXN1L"
"P0CG29"	"GSTT2"
"P11310"	"ACADM"
"P12838"	"DEFA4"
"P13598"	"ICAM2"
"P14091"	"CTSE"
"P15085"	"CPA1"
"P15289"	"ARSA"
"P15884"	"TCF4"
"P16157"	"ANK1"
"P16234"	"PDGFRA"
"P17029"	"ZKSCAN1"
"P17483"	"HOXB4"
"P18206"	"VCL"
"P19174"	"PLCG1"
"P19438"	"TNFRSF1A"
"P20138"	"CD33"
"P20711"	"DDC"
"P21860"	"ERBB3"
"P22102"	"GART"
"P22304"	"IDS"
"P23458"	"JAK1"
"P27658"	"COL8A1"
"P29372"	"MPG"
"P29373"	"CRABP2"
"P30419"	"NMT1"
"P30837"	"ALDH1B1"
"P32248"	"CCR7"
"P33402"	"GUCY1A2"
"P33947"	"KDELR2"
"P35680"	"HNF1B"
"P35869"	"AHR"
"P38935"	"IGHMBP2"
"P41217"	"CD200"
"P41252"	"IARS1"
"P43308"	"SSR2"
"P46093"	"GPR4"
"P48551"	"IFNAR2"
