"UniprotID"	"original"
"A0JLT2"	"MED19"
"O00592"	"PODXL"
"O14791"	"APOL1"
"O43169"	"CYB5B"
"O43916"	"CHST1"
"O60239"	"SH3BP5"
"O60506"	"SYNCRIP"
"O76024"	"WFS1"
"O95190"	"OAZ2"
"O95503"	"CBX6"
"O95715"	"CXCL14"
"P01100"	"FOS"
"P01344"	"IGF2"
"P04233"	"CD74"
"P04899"	"GNAI2"
"P05023"	"ATP1A1"
"P05386"	"RPLP1"
"P05412"	"JUN"
"P07900"	"HSP90AA1"
"P08758"	"ANXA5"
"P0C0S8-C11"	"H2AC11"
"P0CJ77"	"MTRNR2L10"
"P10619"	"CTSA"
"P10645"	"CHGA"
"P13797"	"PLS3"
"P13987"	"CD59"
"P14314"	"PRKCSH"
"P14868"	"DARS1"
"P16284"	"PECAM1"
"P17480"	"UBTF"
"P17535"	"JUND"
"P18084"	"ITGB5"
"P18146"	"EGR1"
"P20618"	"PSMB1"
"P20674"	"COX5A"
"P22307"	"SCP2"
"P24390"	"KDELR1"
"P24522"	"GADD45A"
"P26641"	"EEF1G"
"P29122"	"PCSK6"
"P29558"	"RBMS1"
"P34741"	"SDC2"
"P35558"	"PCK1"
"P40939"	"HADHA"
"P46695"	"IER3"
"P48556"	"PSMD8"
"P48681"	"NES"
"P49137"	"MAPKAPK2"
"P53539"	"FOSB"
"P54368"	"OAZ1"
"P60981"	"DSTN"
"P61224"	"RAP1B"
"P61769"	"B2M"
"P62714"	"PPP2CB"
"P62805-C15"	"H4C15"
"P62805-C8"	"H4C8"
"P67809"	"YBX1"
"P78332"	"RBM6"
"P98161"	"PKD1"
"P98172"	"EFNB1"
"Q00325"	"SLC25A3"
"Q00341"	"HDLBP"
"Q02577"	"NHLH2"
"Q07820"	"MCL1"
"Q11201"	"ST3GAL1"
"Q12841"	"FSTL1"
"Q13501"	"SQSTM1"
"Q13510"	"ASAH1"
"Q14494"	"NFE2L1"
"Q15014"	"MORF4L2"
"Q15149"	"PLEC"
"Q15417"	"CNN3"
"Q15746"	"MYLK"
"Q15904"	"ATP6AP1"
"Q16553"	"LY6E"
"Q16610"	"ECM1"
"Q53QV2"	"LBH"
"Q7L523"	"RRAGA"
"Q86SJ2"	"AMIGO2"
"Q8IWU5"	"SULF2"
"Q8IXL6"	"FAM20C"
"Q8N5C1"	"CALHM5"
"Q8NCT1"	"ARRDC4"
"Q8NE71"	"ABCF1"
"Q8NEY1"	"NAV1"
"Q8WUM4"	"PDCD6IP"
"Q8WXE0"	"CASKIN2"
"Q969F1"	"GTF3C6"
"Q96IX5"	"ATP5MD"
"Q99523"	"SORT1"
"Q99538"	"LGMN"
"Q9BQE3"	"TUBA1C"
"Q9BTD8"	"RBM42"
"Q9BTL4"	"IER2"
"Q9BVK6"	"TMED9"
"Q9H2X6"	"HIPK2"
"Q9H361"	"PABPC3"
"Q9H4A6"	"GOLPH3"
"Q9H668"	"STN1"
"Q9HCS5"	"EPB41L4A"
"Q9HD45"	"TM9SF3"
"Q9NQC3"	"RTN4"
"Q9NR63"	"CYP26B1"
"Q9NVD7"	"PARVA"
"Q9UBG0"	"MRC2"
"Q9UHF1"	"EGFL7"
"Q9UHQ7"	"TCEAL9"
"Q9UI15"	"TAGLN3"
"Q9UIL1"	"SCOC"
"Q9UJ14"	"GGT7"
"Q9ULJ6"	"ZMIZ1"
"Q9Y2A7"	"NCKAP1"
"Q9Y2Q3"	"GSTK1"
"Q9Y4G6"	"TLN2"
"Q9Y519"	"TMEM184B"
