"UniprotID"	"original"
"A1A5C7"	"SLC22A23"
"A6NEM1"	"GOLGA6L9"
"H3BV60"	"TGFBR3L"
"O60760"	"HPGDS"
"O75394"	"MRPL33"
"O75920"	"SERF1A"
"O75964"	"ATP5MG"
"O94907"	"DKK1"
"O94952"	"FBXO21"
"O95447"	"LCA5L"
"O95521"	"PRAMEF1"
"O95870"	"ABHD16A"
"P02794"	"FTH1"
"P02795"	"MT2A"
"P04001"	"OPN1MW"
"P04731"	"MT1A"
"P04732"	"MT1E"
"P05783"	"KRT18"
"P09529"	"INHBB"
"P11509"	"CYP2A6"
"P13637"	"ATP1A3"
"P14209"	"CD99"
"P14324"	"FDPS"
"P17035"	"ZNF28"
"P17038"	"ZNF43"
"P17481"	"HOXB8"
"P17676"	"CEBPB"
"P18077"	"RPL35A"
"P21917"	"DRD4"
"P25963"	"NFKBIA"
"P28223"	"HTR2A"
"P36222"	"CHI3L1"
"P43358"	"MAGEA4"
"P46100"	"ATRX"
"P46778"	"RPL21"
"P48230"	"TM4SF4"
"P51955"	"NEK2"
"P55008"	"AIF1"
"P56706"	"WNT7B"
"P60985"	"KRTDAP"
"P62244"	"RPS15A"
"P62249"	"RPS16"
"P62273"	"RPS29"
"P62745"	"RHOB"
"P62753"	"RPS6"
"P80297"	"MT1X"
"Q01534"	"TSPY1"
"Q02535"	"ID3"
"Q03405"	"PLAUR"
"Q03938"	"ZNF90"
"Q05516"	"ZBTB16"
"Q05639"	"EEF1A2"
"Q06945"	"SOX4"
"Q0D2J5"	"ZNF763"
"Q13241"	"KLRD1"
"Q13242"	"SRSF9"
"Q13451"	"FKBP5"
"Q15306"	"IRF4"
"Q16342"	"PDCD2"
"Q16654"	"PDK4"
"Q494U1"	"PLEKHN1"
"Q49AM3"	"TTC31"
"Q4KMP7"	"TBC1D10B"
"Q504U0"	"C4orf46"
"Q53EL6"	"PDCD4"
"Q5GH73"	"XKR6"
"Q5VIY5"	"ZNF468"
"Q5VST9"	"OBSCN"
"Q6NT52"	"CGB2"
"Q6PID6"	"TTC33"
"Q6UWT2"	"ENHO"
"Q6UXG8"	"BTNL9"
"Q6ZN44"	"UNC5A"
"Q70EK9"	"USP51"
"Q76LX8"	"ADAMTS13"
"Q86XN6"	"ZNF761"
"Q8IWD5"	"MFSD6L"
"Q8IYE1"	"CCDC13"
"Q8N1G1"	"REXO1"
"Q8N339"	"MT1M"
"Q8N6Q1"	"TMCO5A"
"Q8N823"	"ZNF611"
"Q8N9F0"	"NAT8L"
"Q8NA70"	"FAM47B"
"Q8NGC4"	"OR10G3"
"Q8NGE9"	"OR9Q2"
"Q8TBF2"	"PRXL2B"
"Q8TBH0"	"ARRDC2"
"Q8WWZ1"	"IL1F10"
"Q8WXD2"	"SCG3"
"Q96D59"	"RNF183"
"Q96IW2"	"SHD"
"Q96KN3"	"PKNOX2"
"Q96PC2"	"IP6K3"
"Q96PM5"	"RCHY1"
"Q96SQ5"	"ZNF587"
"Q96T23"	"RSF1"
"Q99944"	"EGFL8"
"Q9BT73"	"PSMG3"
"Q9BXJ3"	"C1QTNF4"
"Q9C002"	"C15orf48"
"Q9C0K0"	"BCL11B"
"Q9GZS9"	"CHST5"
"Q9H094"	"NBPF3"
"Q9H2F5"	"EPC1"
"Q9H2G4"	"TSPYL2"
"Q9H3Q1"	"CDC42EP4"
"Q9H3T2"	"SEMA6C"
"Q9H875"	"PRKRIP1"
"Q9HCU4"	"CELSR2"
"Q9HDC9"	"APMAP"
"Q9NP60"	"IL1RAPL2"
"Q9NTK1"	"DEPP1"
"Q9NU23"	"LYRM2"
"Q9NV96"	"TMEM30A"
"Q9UJM3"	"ERRFI1"
"Q9UJY1"	"HSPB8"
"Q9UL12"	"SARDH"
"Q9UL40"	"ZNF346"
"Q9ULD6"	"INTU"
"Q9ULD8"	"KCNH3"
"Q9Y228"	"TRAF3IP3"
"Q9Y272"	"RASD1"
"Q9Y2B0"	"CNPY2"
"Q9Y2S6"	"TMA7"
"Q9Y3D5"	"MRPS18C"
"Q9Y536"	"PPIAL4A"
"Q9Y675"	"SNURF"
