"UniprotID"	"original"
"A0A1B0GUI7"	"BRD3OS"
"A4FU28"	"CTAGE9"
"A8MZA4"	"GOLGA6L6"
"C9J202"	"ALG1L2"
"E9PJ23"	"NPIPB6"
"O00141"	"SGK1"
"P07585"	"DCN"
"P13995"	"MTHFD2"
"P14651"	"HOXB3"
"P25025"	"CXCR2"
"P40617"	"ARL4A"
"P62424"	"RPL7A"
"P62854"	"RPS26"
"Q14678"	"KANK1"
"Q2YD98"	"UVSSA"
"Q5VTQ0"	"TTC39B"
"Q6PEY1"	"TMEM88"
"Q6S5H5"	"POTEG"
"Q6ZMU5"	"TRIM72"
"Q7Z3E1"	"TIPARP"
"Q8TDD2"	"SP7"
"Q96SQ7"	"ATOH8"
"Q99501"	"GAS2L1"
"Q9BT30"	"ALKBH7"
"Q9BYE0"	"HES7"
"Q9NQ90"	"ANO2"
"Q9NZ56"	"FMN2"
"Q9Y324"	"FCF1"
