"UniprotID"	"original"
"O15018"	"PDZD2"
"O15315"	"RAD51B"
"O43488"	"AKR7A2"
"O60312"	"ATP10A"
"O75339"	"CILP"
"O94864"	"SUPT7L"
"P02511"	"CRYAB"
"P09237"	"MMP7"
"P0C2W7"	"CT47B1"
"P0CJ70"	"MTRNR2L3"
"P0CJ71"	"MTRNR2L4"
"P0CJ73"	"MTRNR2L6"
"P0CJ77"	"MTRNR2L10"
"P10144"	"GZMB"
"P10915"	"HAPLN1"
"P16278"	"GLB1"
"P17032"	"ZNF37A"
"P20226"	"TBP"
"P25800"	"LMO1"
"P27797"	"CALR"
"P29972"	"AQP1"
"P35228"	"NOS2"
"P38117"	"ETFB"
"P38935"	"IGHMBP2"
"P46940"	"IQGAP1"
"P47929"	"LGALS7B"
"P48061"	"CXCL12"
"P49748"	"ACADVL"
"P51397"	"DAP"
"P52738"	"ZNF140"
"P56270"	"MAZ"
"P61353"	"RPL27"
"Q00587"	"CDC42EP1"
"Q13203"	"MYBPH"
"Q29980"	"MICB"
"Q5SNV9"	"C1orf167"
"Q5T230"	"UTF1"
"Q5TD97"	"FHL5"
"Q6J9G0"	"STYK1"
"Q6PI73"	"LILRA6"
"Q6PK04"	"CCDC137"
"Q6ZMW2"	"ZNF782"
"Q86SI9"	"C5orf38"
"Q86VZ4"	"LRP11"
"Q86XT2"	"VPS37D"
"Q8IVN8"	"SBSPON"
"Q8IWS0"	"PHF6"
"Q8IZE3"	"SCYL3"
"Q8N2U9"	"SLC66A2"
"Q8N4L8"	"CCDC24"
"Q8TAU3"	"ZNF417"
"Q96A00"	"PPP1R14A"
"Q96BM9"	"ARL8A"
"Q96DT0"	"LGALS12"
"Q96EE3"	"SEH1L"
"Q96H86"	"ZNF764"
"Q96RI0"	"F2RL3"
"Q96RQ9"	"IL4I1"
"Q96S95"	"CAMK2N2"
"Q99439"	"CNN2"
"Q9BSH3"	"NICN1"
"Q9GZX5"	"ZNF350"
"Q9HC23"	"PROK2"
"Q9NWT1"	"PAK1IP1"
"Q9NX57"	"RAB20"
"Q9P032"	"NDUFAF4"
"Q9UHX1"	"PUF60"
"Q9UJN7"	"ZNF391"
"Q9UJX0"	"OSGIN1"
"Q9UN30"	"SCML1"
