"UniprotID"	"original"
"A0A096LP01"	"SMIM26"
"A0A096LP55"	"UQCRHL"
"A0A1B0GVQ0"	"SPAAR"
"A0A1W2PR82"	"PERCC1"
"A0A2R8Y619"	"H2BE1"
"A0A804HKX7"	"ALG1L"
"A0AUZ9"	"KANSL1L"
"A0FGR8"	"ESYT2"
"A0JLT2"	"MED19"
"A0PJX4"	"SHISA3"
"A1KXE4"	"FAM168B"
"A1L0T0"	"ILVBL"
"A1L188"	"NDUFAF8"
"A2A2Y4"	"FRMD3"
"A2A2Z9"	"ANKRD18B"
"A2RRP1"	"NBAS"
"A3KFT3"	"OR2M5"
"A4D0T7"	"SMIM30"
"A4D1S0"	"KLRG2"
"A5D8T8"	"CLEC18A"
"A5YM69"	"ARHGEF35"
"A6NC42"	"DPPA5"
"A6NCE7"	"MAP1LC3B2"
"A6NCL7"	"ANKRD33B"
"A6NDU8"	"C5orf51"
"A6NFQ2"	"TCAF2"
"A6NFY7"	"SDHAF1"
"A6NGS2"	"ERICH4"
"A6NHG9"	"OR5H14"
"A6NI73"	"LILRA5"
"A6NIY4"	"SPDYE5"
"A6NKU9"	"SPDYE3"
"A6NKX4"	"SLC22A31"
"A6NM11"	"LRRC37A2"
"A6NMD2"	"GOLGA8J"
"A6NNF4"	"ZNF726"
"A6NP61"	"ZAR1L"
"A6XGL0"	"YJEFN3"
"A7E2S9"	"ANKRD30BL"
"A7E2V4"	"ZSWIM8"
"A8CG34"	"POM121C"
"A8K0Z3"	"WASHC1"
"A8K8P3"	"SFI1"
"A8MQ03"	"CYSRT1"
"A8MTT3"	"CEBPZOS"
"A8MXV6"	"CDRT15L2"
"A8MYJ7"	"TTC34"
"A8MZ97"	"C2orf74"
"B1AK53"	"ESPN"
"B3EWG3"	"FAM25A"
"B7ZAQ6"	"GPR89A"
"B9EJG8"	"TMEM150C"
"C9JJ37"	"BTBD19"
"C9JLW8"	"MCRIP1"
"D3DTV9"	"PRAC2"
"F8WBI6"	"GOLGA8N"
"H0YL14"	"TMEM250"
"H7C350"	"CCDC188"
"O00116"	"AGPS"
"O00151"	"PDLIM1"
"O00161"	"SNAP23"
"O00186"	"STXBP3"
"O00193"	"C11orf58"
"O00203"	"AP3B1"
"O00214"	"LGALS8"
"O00217"	"NDUFS8"
"O00232"	"PSMD12"
"O00244"	"ATOX1"
"O00255"	"MEN1"
"O00267"	"SUPT5H"
"O00303"	"EIF3F"
"O00308"	"WWP2"
"O00399"	"DCTN6"
"O00401"	"WASL"
"O00409"	"FOXN3"
"O00418"	"EEF2K"
"O00423"	"EML1"
"O00429"	"DNM1L"
"O00442"	"RTCA"
"O00443"	"PIK3C2A"
"O00461"	"GOLIM4"
"O00468"	"AGRN"
"O00471"	"EXOC5"
"O00472"	"ELL2"
"O00483"	"NDUFA4"
"O00487"	"PSMD14"
"O00499"	"BIN1"
"O00501"	"CLDN5"
"O00560"	"SDCBP"
"O00566"	"MPHOSPH10"
"O00571"	"DDX3X"
"O00592"	"PODXL"
"O00623"	"PEX12"
"O00635"	"TRIM38"
"O00743"	"PPP6C"
"O14497"	"ARID1A"
"O14519"	"CDK2AP1"
"O14520"	"AQP7"
"O14521"	"SDHD"
"O14530"	"TXNDC9"
"O14545"	"TRAFD1"
"O14548"	"COX7A2L"
"O14576"	"DYNC1I1"
"O14595"	"CTDSP2"
"O14613"	"CDC42EP2"
"O14640"	"DVL1"
"O14647"	"CHD2"
"O14662"	"STX16"
"O14681"	"EI24"
"O14715"	"RGPD8"
"O14730"	"RIOK3"
