"UniprotID"	"original"
"O00264"	"PGRMC1"
"O14686"	"KMT2D"
"O14770"	"MEIS2"
"O15119"	"TBX3"
"O15243"	"LEPROT"
"O15342"	"ATP6V0E1"
"O60637"	"TSPAN3"
"O60716"	"CTNND1"
"O75150"	"RNF40"
"O75368"	"SH3BGRL"
"O75509"	"TNFRSF21"
"O75937"	"DNAJC8"
"O94768"	"STK17B"
"O94880"	"PHF14"
"O94916"	"NFAT5"
"O95140"	"MFN2"
"O95406"	"CNIH1"
"O95998"	"IL18BP"
"P00352"	"ALDH1A1"
"P02461"	"COL3A1"
"P04216"	"THY1"
"P09619"	"PDGFRB"
"P0CF97"	"FAM200B"
"P0CG13"	"CHTF8"
"P10114"	"RAP2A"
"P11279"	"LAMP1"
"P12830"	"CDH1"
"P13164"	"IFITM1"
"P17181"	"IFNAR1"
"P17948"	"FLT1"
"P20309"	"CHRM3"
"P20393"	"NR1D1"
"P20962"	"PTMS"
"P23771"	"GATA3"
"P24385"	"CCND1"
"P36382"	"GJA5"
"P36941"	"LTBR"
"P39059"	"COL15A1"
"P49759"	"CLK1"
"P51153"	"RAB13"
"P51452"	"DUSP3"
"P52756"	"RBM5"
"P61981"	"YWHAG"
"Q01628"	"IFITM3"
"Q02108"	"GUCY1A1"
"Q02809"	"PLOD1"
"Q03112"	"MECOM"
"Q04941"	"PLP2"
"Q05209"	"PTPN12"
"Q05682"	"CALD1"
"Q08174"	"PCDH1"
"Q12805"	"EFEMP1"
"Q12965"	"MYO1E"
"Q13029"	"PRDM2"
"Q13595"	"TRA2A"
"Q14094"	"CCNI"
"Q14240"	"EIF4A2"
"Q14592"	"ZNF460"
"Q14995"	"NR1D2"
"Q5JSZ5"	"PRRC2B"
"Q63ZY3"	"KANK2"
"Q6DN90"	"IQSEC1"
"Q6P4E1"	"CASC4"
"Q6P5S7"	"RNASEK"
"Q70E73"	"RAPH1"
"Q86V86"	"PIM3"
"Q8IUR5"	"TMTC1"
"Q8IXH6"	"TP53INP2"
"Q8IZJ1"	"UNC5B"
"Q8TC17"	"GRAPL"
"Q8WWI1"	"LMO7"
"Q8WX93"	"PALLD"
"Q93008"	"USP9X"
"Q96DZ5"	"CLIP3"
"Q96E09"	"FAM122A"
"Q96EF0"	"MTMR8"
"Q96G79"	"SLC35A4"
"Q96PE2"	"ARHGEF17"
"Q96TA1"	"NIBAN2"
"Q99805"	"TM9SF2"
"Q9BZR9"	"TRIM8"
"Q9GZM7"	"TINAGL1"
"Q9GZV5"	"WWTR1"
"Q9HBL0"	"TNS1"
"Q9HBX9"	"RXFP1"
"Q9NP97"	"DYNLRB1"
"Q9NQZ2"	"UTP3"
"Q9NR31"	"SAR1A"
"Q9NVL8"	"CCDC198"
"Q9NYF5"	"FAM13B"
"Q9NYL9"	"TMOD3"
"Q9P0K7"	"RAI14"
"Q9P241"	"ATP10D"
"Q9P270"	"SLAIN2"
"Q9UM47"	"NOTCH3"
"Q9UP38"	"FZD1"
"Q9Y6K5"	"OAS3"
