"UniprotID"	"original"
"A0A669KBK1"	"PALM2AKAP2"
"A0AVI4"	"TMEM129"
"A2RUB6"	"CCDC66"
"A5PL33"	"KRBA1"
"A6NIX2"	"WTIP"
"A8MW92"	"PHF20L1"
"O00253"	"AGRP"
"O00264"	"PGRMC1"
"O14686"	"KMT2D"
"O14745"	"SLC9A3R1"
"O14770"	"MEIS2"
"O15042"	"U2SURP"
"O15056"	"SYNJ2"
"O15119"	"TBX3"
"O15121"	"DEGS1"
"O15243"	"LEPROT"
"O15258"	"RER1"
"O15342"	"ATP6V0E1"
"O43294"	"TGFB1I1"
"O43390"	"HNRNPR"
"O43399"	"TPD52L2"
"O43593"	"HR"
"O43670"	"ZNF207"
"O43681"	"GET3"
"O60296"	"TRAK2"
"O60494"	"CUBN"
"O60613"	"SELENOF"
"O60637"	"TSPAN3"
"O60716"	"CTNND1"
"O60763"	"USO1"
"O60885"	"BRD4"
"O75083"	"WDR1"
"O75094"	"SLIT3"
"O75116"	"ROCK2"
"O75143"	"ATG13"
"O75144"	"ICOSLG"
"O75264"	"SMIM24"
"O75333"	"TBX10"
"O75369"	"FLNB"
"O75509"	"TNFRSF21"
"O75586"	"MED6"
"O75915"	"ARL6IP5"
"O75937"	"DNAJC8"
"O94760"	"DDAH1"
"O94768"	"STK17B"
"O94880"	"PHF14"
"O94916"	"NFAT5"
"O95140"	"MFN2"
"O95406"	"CNIH1"
"O95751"	"LDOC1"
"O95758"	"PTBP3"
"O95954"	"FTCD"
"O95998"	"IL18BP"
"P00352"	"ALDH1A1"
"P01833"	"PIGR"
"P02461"	"COL3A1"
"P02753"	"RBP4"
"P04216"	"THY1"
"P05156"	"CFI"
"P06396"	"GSN"
"P07996"	"THBS1"
"P08133"	"ANXA6"
"P08294"	"SOD3"
"P09619"	"PDGFRB"
"P09630"	"HOXC6"
"P09871"	"C1S"
"P0C7T5"	"ATXN1L"
"P0CF97"	"FAM200B"
"P0CG13"	"CHTF8"
"P0CG29"	"GSTT2"
"P0CJ73"	"MTRNR2L6"
"P10114"	"RAP2A"
"P11279"	"LAMP1"
"P11310"	"ACADM"
"P12235"	"SLC25A4"
"P12643"	"BMP2"
"P12830"	"CDH1"
"P13164"	"IFITM1"
"P14091"	"CTSE"
"P15144"	"ANPEP"
"P15289"	"ARSA"
"P16066"	"NPR1"
"P16157"	"ANK1"
"P16234"	"PDGFRA"
