"UniprotID"	"original"
"A0A096LP01"	"SMIM26"
"A0A1B0GVQ0"	"SPAAR"
"A2RRL7"	"TMEM213"
"A2RRP1"	"NBAS"
"A4FU49"	"SH3D21"
"A8MQ03"	"CYSRT1"
"A8MXV6"	"CDRT15L2"
"H0YL14"	"TMEM250"
"O00443"	"PIK3C2A"
"O00560"	"SDCBP"
"O14519"	"CDK2AP1"
"O14662"	"STX16"
"O14791"	"APOL1"
"O14964"	"HGS"
"O14979"	"HNRNPDL"
"O15392"	"BIRC5"
"O15511"	"ARPC5"
"O43257"	"ZNHIT1"
"O43374"	"RASA4"
"O43395"	"PRPF3"
"O43570"	"CA12"
"O43674"	"NDUFB5"
"O43824"	"GTPBP6"
"O43916"	"CHST1"
"O60476"	"MAN1A2"
"O60493"	"SNX3"
"O75190"	"DNAJB6"
"O75920"	"SERF1A"
"O75955"	"FLOT1"
"O94827"	"PLEKHG5"
"O94854"	"KIAA0754"
"O94992"	"HEXIM1"
"O95297"	"MPZL1"
"O95407"	"TNFRSF6B"
"O95861"	"BPNT1"
"O95989"	"NUDT3"
"P01019"	"AGT"
"P01178"	"OXT"
"P02689"	"PMP2"
"P02776"	"PF4"
"P04908-C8"	"H2AC8"
"P06703"	"S100A6"
"P07741"	"APRT"
"P08047"	"SP1"
"P08F94"	"PKHD1"
"P09429"	"HMGB1"
"P09683"	"SCT"
"P0CAP2"	"POLR2M"
"P0CG40"	"SP9"
"P0DL12"	"SMIM17"
"P0DMP2"	"SRGAP2B"
"P0DMV8"	"HSPA1A"
"P0DMV9"	"HSPA1B"
"P13498"	"CYBA"
"P14324"	"FDPS"
"P14625"	"HSP90B1"
"P14635"	"CCNB1"
"P14678"	"SNRPB"
"P16035"	"TIMP2"
"P17252"	"PRKCA"
"P17301"	"ITGA2"
"P17542"	"TAL1"
"P18085"	"ARF4"
"P18583"	"SON"
"P19474"	"TRIM21"
"P20594"	"NPR2"
"P21796"	"VDAC1"
"P21980"	"TGM2"
"P22735"	"TGM1"
"P23246"	"SFPQ"
"P23467"	"PTPRB"
"P24390"	"KDELR1"
"P25788"	"PSMA3"
"P25963"	"NFKBIA"
"P28289"	"TMOD1"
"P28562"	"DUSP1"
"P29122"	"PCSK6"
"P29508"	"SERPINB3"
"P30038"	"ALDH4A1"
"P34896"	"SHMT1"
"P35241"	"RDX"
"P35813"	"PPM1A"
"P36954"	"POLR2I"
"P37023"	"ACVRL1"
"P37198"	"NUP62"
"P38432"	"COIL"
"P39687"	"ANP32A"
"P40337"	"VHL"
"P43490"	"NAMPT"
"P43631"	"KIR2DS2"
"P45985"	"MAP2K4"
"P48029"	"SLC6A8"
"P48230"	"TM4SF4"
"P49638"	"TTPA"
"P49815"	"TSC2"
