"trend"	"Category"	"Term_accession"	"Term_description"	"Count_query"	"Pop_query"	"Count_universe"	"Pop_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"linear_decreasing"	"GO_BP"	"0002181"	"cytoplasmic translation "	76	3660	79	5974	2.04918032786885	1.32239705390023	0.00556469373210902	1	1.54959535173272	"P05387;P05388;P08708;P08865;P15880;P18077;P18124;P18621;P23396;P25398;P26373;P30050;P32969;P35268;P36578;P39019;P40429;P42677;P42766;P46777;P46778;P46779;P46781;P46783;P47914;P49207;P49591;P50914;P61247;P61254;P61313;P61353;P61513;P61927;P62081;P62241;P62244;P62249;P62263;P62266;P62269;P62273;P62277;P62280;P62424;P62701;P62750;P62753;P62829;P62841;P62847;P62851;P62854;P62857;P62861;P62888;P62891;P62899;P62906;P62913;P62917;P62979;P62987;P63173;P63220;P83731;P83881;P84098;Q02543;Q02878;Q07020;Q8WU90;Q9Y295;Q9Y3U8;Q9H446;Q9UNX3"
"linear_increasing"	"GO_BP"	"0007165"	"signal transduction "	6	38	314	5974	13.1578947368421	5.25610980917308	0.0467583100015515	1	2.50335232986926	"P09619;P29373;P39059;Q08380;Q92686;Q9NYF5"
"linear_decreasing"	"GO_CC"	"0022626"	"cytosolic ribosome "	67	3660	70	5974	1.80327868852459	1.17174422497489	0.00976180134814043	1	1.53896955503513	"P05388;P08708;P08865;P15880;P18077;P18124;P18621;P23396;P25398;P26373;P30050;P32969;P35268;P36578;P39019;P40429;P42677;P42766;P46777;P46778;P46779;P46781;P46783;P47914;P49207;P50914;P61247;P61254;P61313;P61353;P61513;P61927;P62081;P62241;P62244;P62249;P62263;P62266;P62269;P62277;P62280;P62424;P62701;P62750;P62753;P62829;P62841;P62847;P62851;P62861;P62888;P62891;P62899;P62906;P62913;P62917;P62979;P62987;P63173;P63220;P83731;P83881;P84098;Q02543;Q02878;Q07020;Q9Y3U8"
"linear_decreasing"	"GO_CC"	"0005634"	"nucleus "	1410	3660	2179	5974	38.4972677595628	36.474723803147	0.0170200021804964	1	1.05545056262335	"A0JLT2;A6NDV4;A8MW92;C9JLW8;H0YL14;O00141;O00192;O00213;O00267;O00308;O00401;O00408;O00442;O00507;O00560;O00571;O00764;O14497;O14512;O14519;O14618;O14686;O14733;O14818;O14867;O14920;O14929;O14965;O14977;O14979;O15042;O15105;O15143;O15144;O15145;O15164;O15194;O15392;O15511;O15514;O15523;O15527;O15534;O43143;O43151;O43186;O43395;O43396;O43439;O43524;O43623;O43660;O43665;O43680;O43707;O43709;O43719;O43734;O43805;O43809;O43837;O43889;O60238;O60264;O60291;O60304;O60318;O60341;O60346;O60356;O60381;O60447;O60481;O60502;O60504;O60506;O60519;O60548;O60563;O60663;O60675;O60762;O60812;O60828;O60869;O60907;O60927;O75150;O75151;O75170;O75179;O75190;O75319;O75340;O75351;O75365;O75367;O75376;O75390;O75410;O75444;O75461;O75494;O75525;O75531;O75533;O75586;O75665;O75676;O75688;O75791;O75840;O75925;O75934;O75956;O76003;O94763;O94850;O94874;O94888;O94983;O94985;O94992;O95071;O95155;O95232;O95251;O95376;O95415;O95453;O95467;O95503;O95563;O95628;O95630;O95758;O95817;O95833;O95835;O95926;O95936;O95983;O96028;P00338;P00441;P00519;P00973;P01100;P02545;P02788;P02795;P04049;P04075;P04732;P05067;P05106;P05114;P05141;P05388;P05412;P05455;P05787;P06241;P06400;P06454;P06576;P06703;P06730;P06748;P06899;P07148;P07355;P07437;P07711;P07737;P07900;P07910;P07954;P08047;P08134;P08237;P08238;P08559;P08621;P08865;P09012;P09016;P09211;P09234;P09429;P09467;P09525;P09622;P09651;P09661;P09874;P09960;P0C0S5;P0CG47;P0DME0;P0DMV8;P0DMV9;P0DP23;P0DP24;P0DP25;P0DPH7;P10588;P10589;P10599;P10827;P10909;P10912;P10914;P11142;P11177;P11310;P11362;P11940;P12004;P12755;P13010;P13051;P13378;P14316;P14618;P14625;P14651;P14678;P14866;P14921;P15056;P15104;P15259;P15408;P15559;P15880;P16219;P16220;P16455;P16591;P17301;P17481;P17655;P17844;P18074;P18124;P18146;P18621;P18848;P19338;P19419;P19544;P20073;P20290;P20594;P20839;P21291;P21359;P21796;P21802;P22626;P22674;P23025;P23193;P23246;P23284;P23396;P23443;P23458;P23497;P23508;P23511;P23528;P23610;P23759;P24468;P24539;P24928;P25205;P25208;P25440;P25490;P25685;P25705;P25786;P25788;P25789;P25791;P25963;P26038;P26368;P26373;P26583;P26641;P26651;P27361;P27797;P28062;P28300;P28340;P28347;P28562;P28702;P28838;P29508;P29558;P29692;P30041;P30044;P30086;P30153;P30260;P30281;P30305;P30622;P31268;P31269;P31314;P31483;P31749;P31751;P31942;P31943;P31948;P32121;P32519;P32969;P33316;P34896;P34925;P35222;P35226;P35227;P35268;P35398;P35579;P35580;P35611;P35625;P35659;P35713;P35813;P36404;P36507;P36508;P36578;P36873;P36969;P37275;P37837;P37840;P38919;P39687;P40337;P40424;P40429;P40818;P40926;P41162;P41229;P41567;P41743;P41970;P42166;P42229;P42330;P42568;P42575;P42677;P42694;P42704;P42771;P43243;P43246;P43357;P43358;P43487;P45880;P45973;P45984;P46060;P46100;P46108;P46527;P46531;P46777;P46781;P46937;P48047;P48431;P48552;P48723;P49005;P49407;P49591;P49711;P49720;P49721;P49760;P49773;P49815;P49841;P49842;P49918;P50219;P50453;P50548;P50570;P50750;P51003;P51114;P51116;P51531;P51532;P51665;P51692;P51808;P51817;P51858;P51959;P51965;P51991;P52209;P52272;P52298;P52434;P52565;P52655;P52657;P52701;P52738;P52744;P52758;P53007;P53041;P53355;P53539;P53801;P53804;P53999;P54105;P54274;P54277;P54368;P54619;P54652;P54725;P54727;P55008;P55036;P55055;P55058;P55060;P55061;P55072;P55209;P55265;P55273;P55786;P55795;P56177;P56545;P56645;P56693;P57055;P57076;P58005;P59998;P60174;P60228;P60484;P60510;P60900;P61011;P61077;P61086;P61158;P61160;P61201;P61247;P61266;P61313;P61326;P61353;P61513;P61599;P61960;P61978;P62068;P62081;P62140;P62191;P62195;P62241;P62256;P62258;P62269;P62277;P62306;P62308;P62310;P62318;P62333;P62424;P62633;P62699;P62750;P62753;P62826;P62841;P62847;P62851;P62861;P62875;P62877;P62888;P62906;P62937;P62979;P62987;P62993;P62995;P63000;P63104;P63146;P63167;P63208;P63241;P63272;P67775;P67809;P67870;P68036;P68371;P78332;P78347;P78356;P78411;P78527;P78543;P78563;P82094;P82979;P84090;P98170;Q00341;Q00526;Q00536;Q00537;Q00839;Q00994;Q01085;Q01780;Q01804;Q02218;Q02363;Q02447;Q02535;Q02577;Q02878;Q02880;Q02978;Q03001;Q03164;Q03431;Q03923;Q04323;Q04721;Q04725;Q04727;Q04741;Q04837;Q05086;Q05397;Q05481;Q05516;Q05519;Q06330;Q06481;Q06710;Q06830;Q06945;Q07020;Q07021;Q07352;Q07812;Q07820;Q07955;Q08117;Q08211;Q08493;Q08499;Q08945;Q08AG5;Q09161;Q09666;Q10570;Q10586;Q10587;Q12765;Q12772;Q12802;Q12906;Q12923;Q12962;Q12967;Q12972;Q12974;Q12983;Q12996;Q13098;Q13118;Q13123;Q13127;Q13131;Q13137;Q13148;Q13151;Q13158;Q13163;Q13185;Q13200;Q13227;Q13263;Q13286;Q13310;Q13315;Q13330;Q13362;Q13363;Q13398;Q13404;Q13427;Q13435;Q13485;Q13492;Q13503;Q13523;Q13526;Q13547;Q13569;Q13573;Q13614;Q13619;Q13620;Q13765;Q13867;Q13882;Q13885;Q13901;Q13952;Q14011;Q14019;Q14103;Q14106;Q14119;Q14135;Q14139;Q14151;Q14153;Q14186;Q14344;Q14469;Q14493;Q14494;Q14511;Q14517;Q14527;Q14566;Q14584;Q14669;Q14678;Q14683;Q14686;Q14739;Q14814;Q14839;Q14865;Q14919;Q14966;Q14974;Q14980;Q14995;Q14CB8;Q14CW9;Q15019;Q15038;Q15046;Q15059;Q15131;Q15139;Q15165;Q15185;Q15208;Q15233;Q15257;Q15287;Q15326;Q15345;Q15349;Q15366;Q15424;Q15428;Q15459;Q15532;Q15544;Q15545;Q15560;Q15562;Q15596;Q15599;Q15631;Q15637;Q15654;Q15678;Q15723;Q15742;Q15785;Q15788;Q15819;Q15843;Q15853;Q15942;Q15973;Q16181;Q16342;Q16512;Q16527;Q16531;Q16537;Q16560;Q16576;Q16629;Q16690;Q16777;Q16851;Q17RY0;Q29RF7;Q2LD37;Q2PPJ7;Q2QGD7;Q32MZ4;Q32P44;Q3YEC7;Q460N5;Q4G0J3;Q4J6C6;Q52LJ0;Q53EL6;Q53FT3;Q53GL0;Q53GS9;Q58WW2;Q5JPI9;Q5JTV8;Q5JVF3;Q5JVS0;Q5R372;Q5RKV6;Q5SSJ5;Q5T200;Q5T230;Q5T6F0;Q5TA45;Q5TGY3;Q5U5Q3;Q5UIP0;Q5VTB9;Q5VU43;Q5VZF2;Q5VZM2;Q66PJ3;Q6DKJ4;Q6EEV6;Q6FI13;Q6GQQ9;Q6I9Y2;Q6ICB0;Q6IQ16;Q6KC79;Q6N021;Q6NTE8;Q6NUS6;Q6P1Q0;Q6P2D0;Q6PEY2;Q6PGP7;Q6PIJ6;Q6PJT7;Q6PML9;Q6UB99;Q6UUV7;Q6UUV9;Q6X4W1;Q6XE24;Q6ZSZ6;Q709F0;Q70Z53;Q71DI3;Q71UI9;Q7KZF4;Q7L2J0;Q7L2R6;Q7L523;Q7L5N1;Q7L7L0;Q7LFL8;Q7Z333;Q7Z3K3;Q7Z4V5;Q7Z5J4;Q7Z5Q1;Q7Z628;Q7Z7F0;Q7Z7M0;Q86SJ2;Q86TI0;Q86TJ2;Q86U06;Q86U42;Q86U70;Q86UZ6;Q86V48;Q86V81;Q86VN1;Q86VP6;Q86VZ5;Q86WA8;Q86XI2;Q86XK2;Q86XN8;Q8IUQ4;Q8IUR6;Q8IUR7;Q8IUX4;Q8IWB7;Q8IWS0;Q8IXK0;Q8IXQ6;Q8IYB3;Q8IZD2;Q8N1G1;Q8N201;Q8N257;Q8N344;Q8N3C7;Q8N3U4;Q8N3V7;Q8N5G2;Q8N5Y2;Q8N684;Q8N6T7;Q8N720;Q8N9B5;Q8NAP3;Q8NB14;Q8NC51;Q8NCA5;Q8ND76;Q8NDQ6;Q8NEM7;Q8NEV1;Q8NF64;Q8NFW8;Q8NFZ0;Q8NHW3;Q8TAS1;Q8TBC4;Q8TDB6;Q8TDD2;Q8TDI0;Q8TDN4;Q8TDX7;Q8TEA8;Q8WTS6;Q8WU90;Q8WUJ0;Q8WVK2;Q8WVT3;Q8WW12;Q8WWB7;Q8WWQ0;Q8WX93;Q8WXA3;Q8WXC6;Q8WXH0;Q8WXI9;Q8WY36;Q8WYA6;Q8WYH8;Q8WYK2;Q8WYQ3;Q8WYQ5;Q92499;Q92519;Q92539;Q92540;Q92560;Q92564;Q92597;Q92598;Q92624;Q92785;Q92793;Q92794;Q92802;Q92833;Q92870;Q92890;Q92905;Q92922;Q92945;Q92966;Q92973;Q92993;Q93008;Q93079;Q93096;Q969G3;Q969T4;Q969U7;Q96A58;Q96AC1;Q96AE4;Q96AQ6;Q96BF6;Q96CT7;Q96CV9;Q96DT7;Q96DZ5;Q96F07;Q96F45;Q96FJ2;Q96FN4;Q96FQ6;Q96FV9;Q96G74;Q96GG9;Q96H20;Q96I24;Q96I27;Q96IZ0;Q96IZ7;Q96JB5;Q96JP5;Q96JY6;Q96KG9;Q96KQ7;Q96KS0;Q96L21;Q96LA8;Q96LI5;Q96LW7;Q96MU7;Q96N58;Q96NC0;Q96P26;Q96PE3;Q96PK6;Q96PM5;Q96PP9;Q96PU4;Q96PU8;Q96PV6;Q96PZ2;Q96QC0;Q96QR8;Q96QT6;Q96RK0;Q96RL1;Q96RN5;Q96RQ1;Q96RT1;Q96S55;Q96S59;Q96S94;Q96SI9;Q96SQ5;Q96ST3;Q96SW2;Q99081;Q99426;Q99436;Q99460;Q99497;Q99549;Q99569;Q99576;Q99584;Q99608;Q99627;Q99633;Q99653;Q99687;Q99717;Q99729;Q99733;Q99828;Q99879;Q99880;Q99941;Q99952;Q99967;Q9BQ89;Q9BQA1;Q9BQE3;Q9BQF6;Q9BRK3;Q9BT40;Q9BT43;Q9BTA9;Q9BTE3;Q9BTK6;Q9BTL3;Q9BTL4;Q9BTT4;Q9BTZ2;Q9BU61;Q9BUH6;Q9BUJ2;Q9BV57;Q9BVS4;Q9BWW4;Q9BWX1;Q9BXK5;Q9BXM7;Q9BY27;Q9BY42;Q9BY43;Q9BY77;Q9BYG4;Q9BYG5;Q9BZ23;Q9BZ95;Q9BZE9;Q9BZH6;Q9BZK7;Q9BZL1;Q9BZR9;Q9BZV1;Q9C005;Q9C0C2;Q9C0C7;Q9C0K0;Q9GZN1;Q9GZR1;Q9GZT3;Q9GZV5;Q9GZX5;Q9GZZ9;Q9H000;Q9H013;Q9H063;Q9H0C8;Q9H0D6;Q9H0J9;Q9H0K1;Q9H0M0;Q9H0N0;Q9H1E3;Q9H1K1;Q9H223;Q9H2F5;Q9H2G4;Q9H2X6;Q9H300;Q9H361;Q9H3M7;Q9H3R0;Q9H3S7;Q9H444;Q9H4B6;Q9H4I2;Q9H4L4;Q9H5H4;Q9H668;Q9H6K1;Q9H6U6;Q9H7D7;Q9H7L9;Q9H7P6;Q9H814;Q9H871;Q9H8S9;Q9H910;Q9H9B1;Q9H9L7;Q9HAF1;Q9HAJ7;Q9HAP2;Q9HB07;Q9HB19;Q9HB71;Q9HC52;Q9HC62;Q9HC78;Q9HCI7;Q9HCK5;Q9HCK8;Q9HCS4;Q9HCS7;Q9HCU5;Q9HD47;Q9NP50;Q9NPE2;Q9NPF5;Q9NPG3;Q9NPH5;Q9NPI1;Q9NPJ6;Q9NQ92;Q9NQE9;Q9NQG5;Q9NQP4;Q9NQR1;Q9NQT5;Q9NQZ2;Q9NQZ6;Q9NR09;Q9NR11;Q9NR48;Q9NR56;Q9NRA1;Q9NRC8;Q9NRG0;Q9NRH3;Q9NRM7;Q9NRN9;Q9NRR5;Q9NS37;Q9NS56;Q9NSA3;Q9NTI5;Q9NU39;Q9NUL5;Q9NUM3;Q9NVD7;Q9NVE5;Q9NW64;Q9NWD9;Q9NWF9;Q9NWH9;Q9NWU2;Q9NWY4;Q9NX63;Q9NXH9;Q9NXX6;Q9NYB0;Q9NYF8;Q9NYV4;Q9NZ56;Q9NZB2;Q9NZC7;Q9NZI7;Q9NZL9;Q9NZN3;Q9NZN8;Q9P0V3;Q9P1Z0;Q9P1Z2;Q9P287;Q9P2D1;Q9P2K5;Q9P2R6;Q9UBB5;Q9UBC2;Q9UBE8;Q9UBF6;Q9UBI1;Q9UBU9;Q9UBW7;Q9UBX2;Q9UF56;Q9UFF9;Q9UGI0;Q9UGR2;Q9UH65;Q9UHD9;Q9UHH9;Q9UHP3;Q9UHR5;Q9UHV7;Q9UHY7;Q9UIA9;Q9UIF8;Q9UIG0;Q9UIL8;Q9UJM3;Q9UJW0;Q9UJX5;Q9UJY1;Q9UK73;Q9UKB1;Q9UKE5;Q9UKG1;Q9UKI8;Q9UKK3;Q9UKM9;Q9UKT7;Q9UKV3;Q9UKV5;Q9UKY1;Q9UL03;Q9UL15;Q9UL40;Q9ULD2;Q9ULJ6;Q9ULK4;Q9ULM3;Q9ULM6;Q9ULX6;Q9UM54;Q9UMS0;Q9UMS4;Q9UMW8;Q9UMX1;Q9UMX3;Q9UN36;Q9UN79;Q9UNE7;Q9UNF1;Q9UNH7;Q9UNL4;Q9UNM6;Q9UNP9;Q9UPN7;Q9UPV9;Q9UPW0;Q9UPY3;Q9UQ13;Q9UQ35;Q9UQ88;Q9Y224;Q9Y252;Q9Y295;Q9Y2F9;Q9Y2G2;Q9Y2K5;Q9Y314;Q9Y316;Q9Y333;Q9Y385;Q9Y3B2;Q9Y3B4;Q9Y3B8;Q9Y3C4;Q9Y3C5;Q9Y3F4;Q9Y3I1;Q9Y3M2;Q9Y3M9;Q9Y3Q8;Q9Y3Y2;Q9Y483;Q9Y4A8;Q9Y4X5;Q9Y4Y9;Q9Y508;Q9Y580;Q9Y5B9;Q9Y5K5;Q9Y5Q3;Q9Y5S9;Q9Y5T5;Q9Y5V3;Q9Y5W3;Q9Y616;Q9Y618;Q9Y657;Q9Y6E0;Q9Y6H1;Q9Y6I3;Q9Y6M1;O15037;O43301;O43345;O43812;O75346;O95190;O95260;P17019;P17026;P17032;P17035;P17038;P32314;P51522;P52741;P57077;P57723;Q06732;Q0D2J5;Q12796;Q14094;Q14206;Q15651;Q16589;Q3ZCX4;Q5T8P6;Q68DY1;Q6EKJ0;Q6MZT1;Q6ZN55;Q7L3S4;Q7Z340;Q86X76;Q86YL5;Q8IWR0;Q8IY67;Q8IYN2;Q8N339;Q8N3J9;Q8N8Y5;Q8NBX0;Q8WUF8;Q92610;Q92747;Q96DT0;Q96EY9;Q96KR1;Q96SL8;Q9BQI9;Q9BR84;Q9BSK1;Q9BUT9;Q9H213;Q9HAY2;Q9NRG7;Q9NRM2;Q9NVR2;Q9UEE9;Q9UH62;Q9UKZ1;Q9ULL5;Q9Y2L8;Q9Y6Q3;A0A1B0GUS4;A0A2R8Y619;A6NJL1;B4DU55;C9JLR9;O00479;O75373;P0C6A0;P0CG40;P10075;Q03938;Q0VGE8;Q14586;Q15434;Q1KMD3;Q1ZYL8;Q2TB10;Q5SVQ8;Q5T0B9;Q5T5D7;Q5TEC3;Q5VIY5;Q5VZ46;Q68DI1;Q6DD87;Q6IQ21;Q6P280;Q6P9A1;Q6ZMW2;Q6ZN79;Q6ZNC4;Q6ZNG1;Q6ZR52;Q86XN6;Q8IUF1;Q8IYB9;Q8N141;Q8N823;Q8TAF7;Q8TEE9;Q8TF32;Q92576;Q96AB3;Q96EI5;Q96ER3;Q96GE5;Q96ME7;Q9BQE6;Q9BSK0;Q9BV87;Q9BWG4;Q9H1Z4;Q9H8G1;Q9H930;Q9HCE3;Q9HCK1;Q9HCZ1;Q9NW07;Q9P215;Q9P255;Q9P2F5;Q9UI15;Q9UL59;Q9Y2B9;Q9Y534;E7ETH6;P0C7V8;P0DPD5;Q5VV16;Q7Z5D8;Q969E4;Q9BY31;Q9UJN7;Q9Y675"
"linear_increasing"	"GO_CC"	"0005615"	"extracellular space "	7	38	387	5974	15.7894736842105	6.47807164378976	0.033381690634828	1	2.43737250101999	"P08582;P19835;P39059;Q08380;Q13444;Q9H1J5;Q53RD9"
"linear_decreasing"	"GO_CC"	"0022625"	"cytosolic large ribosomal subunit "	44	3660	46	5974	1.17486338797814	0.770003347840643	0.0473978689322998	1	1.52578997386553	"P05387;P05388;P18077;P18124;P18621;P26373;P30050;P32969;P35268;P36578;P40429;P42766;P46777;P46778;P46779;P47914;P49207;P50914;P61254;P61313;P61353;P61513;P61927;P62424;P62750;P62829;P62888;P62891;P62899;P62906;P62913;P62917;P62987;P63173;P83731;P83881;P84098;Q02543;Q02878;Q07020;Q96L21;Q9Y3U8;Q6DKI1;Q9UNX3"
"linear_increasing"	"GO_MF"	"0005506"	"iron ion binding "	4	38	37	5974	7.89473684210526	0.6193505189153	0.0018993175935398	0.169039265825043	12.74679943101	"P08582;P11509;Q8TAV3;Q8N118"
"linear_decreasing"	"GO_MF"	"0003723"	"RNA binding "	532	3660	752	5974	14.5081967213115	12.5878808168731	0.00402855621686198	1	1.15255275549355	"O00267;O00442;O00541;O00567;O00571;O14979;O15042;O15371;O15372;O15523;O43143;O43395;O43707;O43709;O43719;O43809;O43865;O60381;O60506;O60573;O60763;O60783;O60812;O60869;O75152;O75179;O75319;O75347;O75390;O75494;O75525;O75533;O75534;O75821;O76003;O76094;O95071;O95218;O95232;O95453;O95628;O95758;O95926;P00505;P00966;P04075;P04843;P05141;P05388;P05412;P05455;P05783;P06730;P06748;P07237;P07355;P07585;P07737;P07900;P07910;P08195;P08238;P08240;P08621;P08708;P08865;P09012;P09234;P09429;P09543;P09651;P09661;P09874;P09960;P0DMV8;P0DMV9;P10155;P10599;P10809;P11142;P11940;P13010;P13667;P14324;P14618;P14625;P14678;P14866;P14868;P15170;P15311;P15559;P15880;P17844;P17987;P18077;P18124;P18621;P19338;P19544;P20042;P20073;P20290;P20810;P20839;P21291;P22626;P23246;P23284;P23396;P24928;P25398;P25490;P25705;P25786;P26368;P26373;P26583;P26651;P27797;P27816;P27824;P28799;P29558;P30050;P30086;P31483;P31942;P31943;P31948;P32969;P33316;P35221;P35241;P35268;P35579;P35611;P35659;P36542;P36578;P36873;P38646;P38919;P39019;P39687;P40227;P40429;P40926;P41214;P41567;P42677;P42694;P42704;P42765;P42766;P42771;P43243;P43897;P46060;P46109;P46777;P46778;P46779;P46781;P46783;P47914;P48444;P49207;P49368;P49458;P50454;P50579;P50914;P50991;P51003;P51114;P51116;P51398;P51532;P51858;P51991;P52272;P52298;P52594;P52758;P53041;P53597;P53999;P54105;P55036;P55072;P55084;P55209;P55265;P55795;P55884;P60228;P60468;P60900;P61011;P61247;P61254;P61313;P61326;P61353;P61513;P61604;P61764;P61927;P61978;P62081;P62191;P62241;P62244;P62249;P62258;P62263;P62266;P62269;P62277;P62280;P62306;P62308;P62310;P62318;P62424;P62633;P62701;P62750;P62753;P62826;P62829;P62841;P62847;P62851;P62854;P62857;P62861;P62888;P62891;P62899;P62906;P62913;P62917;P62937;P62979;P62993;P62995;P63104;P63173;P63220;P63241;P67809;P68036;P78332;P78344;P78527;P78563;P82979;P83731;P83881;P84077;P84090;P84098;Q00341;Q00839;Q01081;Q01082;Q01085;Q01780;Q01804;Q02252;Q02543;Q02790;Q02878;Q02978;Q04837;Q05519;Q06830;Q07020;Q07065;Q07352;Q07955;Q08211;Q08945;Q09161;Q09666;Q10589;Q12906;Q12972;Q12996;Q13084;Q13148;Q13151;Q13242;Q13243;Q13263;Q13310;Q13347;Q13427;Q13435;Q13523;Q13573;Q13601;Q13901;Q14011;Q14103;Q14151;Q14152;Q14204;Q14240;Q14444;Q14493;Q14527;Q14671;Q14683;Q14739;Q14789;Q14966;Q14974;Q15149;Q15233;Q15287;Q15366;Q15424;Q15428;Q15459;Q15631;Q15637;Q15654;Q15942;Q16576;Q16629;Q16891;Q17RY0;Q4G0J3;Q52LJ0;Q53EL6;Q53EP0;Q53HI1;Q5F1R6;Q5JVF3;Q5JVS0;Q5RKV6;Q5T160;Q5T200;Q5U5Q3;Q5VZF2;Q66PJ3;Q6I9Y2;Q6PJT7;Q6PKG0;Q6UN15;Q71RC2;Q7KZ85;Q7KZF4;Q7L1Q6;Q7L2J0;Q7L4I2;Q7Z333;Q7Z5Q1;Q7Z739;Q7Z7F0;Q86U06;Q86U42;Q86UP2;Q86V81;Q86XN8;Q8IUX4;Q8IWS0;Q8IYB3;Q8IYD1;Q8N684;Q8NC51;Q8NCA5;Q8ND56;Q8NDV7;Q8NEY8;Q8NG50;Q8TAS1;Q8TF01;Q8WU90;Q8WWM7;Q8WXA9;Q8WXD2;Q92499;Q92665;Q92945;Q92973;Q93062;Q969G3;Q96A33;Q96AE4;Q96CT7;Q96DH6;Q96EP5;Q96EU6;Q96FQ6;Q96FV9;Q96I24;Q96I25;Q96IP4;Q96MU7;Q96PK6;Q96PU8;Q96QC0;Q96QR8;Q96RP9;Q96SI9;Q96ST3;Q96T21;Q99613;Q99729;Q99733;Q99848;Q9BQ39;Q9BQ61;Q9BTL3;Q9BU76;Q9BUJ2;Q9BUL9;Q9BX40;Q9BXP5;Q9BY77;Q9GZT3;Q9GZV4;Q9H000;Q9H074;Q9H0D6;Q9H0J9;Q9H1E3;Q9H2Y7;Q9H3Q1;Q9H5H4;Q9H814;Q9HA38;Q9HBD1;Q9HCD5;Q9HCJ0;Q9NNW5;Q9NPE2;Q9NPE3;Q9NQC3;Q9NQT5;Q9NQZ2;Q9NR56;Q9NRX1;Q9NUL3;Q9NUL5;Q9NVN8;Q9NVP1;Q9NVV4;Q9NW64;Q9NWH9;Q9NX24;Q9NXH9;Q9NYF8;Q9NZB2;Q9NZM5;Q9P0P8;Q9P258;Q9P287;Q9P2K5;Q9UBU9;Q9UBV8;Q9UFF9;Q9UGR2;Q9UHB9;Q9UHC7;Q9UK61;Q9UKM9;Q9UKV3;Q9UL40;Q9ULM6;Q9ULX6;Q9UMY1;Q9UN86;Q9UNP9;Q9UPN3;Q9UPQ9;Q9UPY3;Q9UQ35;Q9Y224;Q9Y262;Q9Y2H6;Q9Y2K5;Q9Y2R4;Q9Y314;Q9Y324;Q9Y333;Q9Y383;Q9Y3B2;Q9Y3B4;Q9Y3F4;Q9Y3U8;Q9Y3Y2;Q9Y4Y9;Q9Y580;Q9Y5B9;Q9Y5K5;Q9Y5S9;Q9Y6M1;Q9Y6Y8;O00178;O14602;P09001;P57723;P82673;P82914;Q5T8P6;Q8IWR0;Q8IY67;Q8N1G4;Q96A35;Q96KR1;Q9BRT6;Q9BYD2;Q9BYN8;Q9GZR7;Q9NUQ6;Q9P031;Q9Y421;O95478;Q15434;Q1KMD3;Q6DKI1;Q9BTF0;Q9Y534;P0DPA2;Q8N2G6;Q9BRJ6;Q9UNX3"
"linear_increasing"	"GO_MF"	"0020037"	"heme binding "	3	38	36	5974	5.26315789473684	0.602611315701373	0.0232286746294009	0.916162247338964	8.73391812865497	"P11509;Q8TAV3;Q8N118"
"linear_increasing"	"GO_MF"	"0016712"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen "	2	38	4	5974	2.63157894736842	0.0669568128557081	0.0308818735058078	0.916162247338964	39.3026315789474	"P11509;Q8TAV3"
