"trend"	"Category"	"Term_accession"	"Term_description"	"Count_query"	"Pop_query"	"Count_universe"	"Pop_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"linear_increasing"	"GO_BP"	"0002181"	"cytoplasmic translation "	12	201	79	7049	5.4726368159204	1.12072634416229	3.15402495470585e-05	0.0516629287580818	4.8831160652434	"P05386;P05387;P15880;P46779;P46782;P61513;P62241;P62701;P63173;P63220;P83881;Q9Y3U8"
"linear_increasing"	"GO_BP"	"0030335"	"positive regulation of cell migration "	13	201	119	7049	5.97014925373134	1.68818272095333	0.000237575124451034	0.194574026925397	3.53643546971027	"O00159;O00592;O43707;P06756;P07996;P12643;P15692;P48509;Q07157;Q13591;Q6ZS17;Q96AC1;Q96S97"
"linear_increasing"	"GO_BP"	"0006412"	"translation "	13	201	130	7049	5.97014925373134	1.84423322457086	0.000500542904164622	0.273296425673883	3.23719862227325	"P05386;P05387;P15880;P46779;P46782;P61513;P62241;P62701;P63173;P63220;P83881;Q9NZE8;Q9Y3U8"
"linear_increasing"	"GO_BP"	"0043066"	"negative regulation of apoptotic process "	18	201	243	7049	8.45771144278607	3.44729748900553	0.000757747227286804	0.310297489573946	2.45343242634564	"O00571;O14543;O76024;P07996;P08758;P14625;P15692;P19544;P46695;P61803;P98164;Q07157;Q07820;Q14192;Q7Z4I7;Q86V86;Q9BZZ5;Q9H4A6"
"linear_increasing"	"GO_BP"	"0007229"	"integrin-mediated signaling pathway "	8	201	53	7049	3.48258706467662	0.75187969924812	0.00118791825704365	0.389162021007499	4.6318407960199	"P02461;P05106;P06756;P35221;Q03001;Q08722;Q7Z4I7;Q96AC1"
"linear_increasing"	"GO_BP"	"1902895"	"positive regulation of miRNA transcription "	6	201	32	7049	2.48756218905473	0.453965101432827	0.00315748534644135	0.861993499578488	5.47963308457712	"P01100;P05412;P12643;P18146;P19544;Q12772"
"linear_increasing"	"GO_BP"	"0051897"	"positive regulation of protein kinase B signaling "	7	201	51	7049	2.98507462686567	0.723506880408569	0.00448630712187586	1	4.12584138132865	"P07996;P11362;P15692;P98164;Q13591;Q96AC1;Q9NQC3"
"linear_increasing"	"GO_BP"	"0001666"	"response to hypoxia "	8	201	70	7049	3.48258706467662	0.99304865938431	0.00500183535164721	1	3.50696517412935	"O43707;P07996;P12643;P14625;P15692;P18146;P19021;P37173"
"linear_increasing"	"GO_BP"	"0071456"	"cellular response to hypoxia "	7	201	54	7049	2.98507462686567	0.766066108667896	0.00578408501729453	1	3.89662797125484	"P01100;P15692;P17535;Q07352;Q92482;Q92597;Q9NQC3"
"linear_increasing"	"GO_BP"	"0030836"	"positive regulation of actin filament depolymerization "	3	201	3	7049	0.995024875621891	0.0425592282593276	0.00709419521090749	1	23.379767827529	"O75083;P60981;Q13591"
"linear_increasing"	"GO_BP"	"0009612"	"response to mechanical stimulus "	5	201	25	7049	1.99004975124378	0.354660235494396	0.00763275965418053	1	5.61114427860696	"P07996;P17535;P37173;P42224;P53539"
"linear_increasing"	"GO_BP"	"0051591"	"response to cAMP "	4	201	13	7049	1.49253731343284	0.184423322457086	0.00875487023943664	1	8.09299655568312	"P01100;P35613;P42224;P53539"
"linear_increasing"	"GO_BP"	"0007155"	"cell adhesion "	12	201	168	7049	5.4726368159204	2.38331678252234	0.0100733636213776	1	2.2962271973466	"O00592;P05106;P06756;P07996;P35221;P48509;P62330;Q03001;Q04900;Q13591;Q14517;Q96AC1"
"linear_increasing"	"GO_BP"	"0045944"	"positive regulation of transcription by RNA polymerase II "	25	201	486	7049	11.9402985074627	6.89459497801106	0.0104186322758076	1	1.73183465389104	"O00159;O00571;O94850;P01100;P05412;P12643;P15692;P17535;P18146;P19544;P24468;P28370;P32519;P42224;P60033;P62633;Q06710;Q12772;Q15366;Q16236;Q96RQ9;Q99732;Q9BTL4;Q9BZK7;Q9BWG4"
"linear_decreasing"	"GO_BP"	"0006355"	"regulation of DNA-templated transcription "	59	1022	279	7049	5.67514677103718	3.95800822811746	0.0114659391771455	1	1.43383905337065	"O14640;O15527;O43186;O43623;O60427;O75365;O75494;O95251;P06213;P08047;P17676;P23511;P25208;P29590;P36896;P37023;P48431;P52744;Q03923;Q13404;Q15652;Q16576;Q16594;Q6ZRS2;Q8IYM9;Q8NAP3;Q8TAU3;Q8WTS6;Q92831;Q96N58;Q96SQ5;Q96T23;Q99697;Q9BPZ2;Q9H5J8;Q9H8N7;Q9NR48;Q9UMX1;Q9UN79;P17035;Q68DY1;Q7Z340;A6NNF4;O75373;Q03938;Q0VGE8;Q3MIS6;Q5VIY5;Q68DI1;Q6P9A1;Q6ZN06;Q8IYB9;Q8N141;Q8N823;Q8TF32;Q9H8G1;Q9P255;B4DX44;P0DPD5"
"linear_increasing"	"GO_BP"	"0016477"	"cell migration "	10	201	126	7049	4.47761194029851	1.78748758689176	0.011739147490498	1	2.50497512437811	"O00592;P06756;P07996;P11362;P31431;P35221;Q08722;Q14517;Q8WX93;Q9H4A6"
"linear_increasing"	"GO_BP"	"0031954"	"positive regulation of protein autophosphorylation "	4	201	15	7049	1.49253731343284	0.212796141296638	0.012253887390428	1	7.0139303482587	"O00571;P0DP24;P10114;P15692"
"linear_increasing"	"GO_BP"	"0042060"	"wound healing "	6	201	46	7049	2.48756218905473	0.652574833309689	0.0124986621301848	1	3.81191866753191	"P02461;P05106;P09493;P31431;P37173;Q03001"
"linear_increasing"	"GO_BP"	"0009410"	"response to xenobiotic stimulus "	9	201	108	7049	3.98009950248756	1.53213221733579	0.0141757713453492	1	2.59775198083656	"P01100;P05412;P07996;P19021;P37173;P42224;P50416;P53539;P61803"
"linear_increasing"	"GO_BP"	"1900026"	"positive regulation of substrate adhesion-dependent cell spreading "	5	201	31	7049	1.99004975124378	0.439778692013052	0.0148136459183173	1	4.52511635371529	"P05106;Q14155;Q7Z4I7;Q96AC1;Q96S97"
"linear_decreasing"	"GO_BP"	"0050911"	"detection of chemical stimulus involved in sensory perception of smell "	8	1022	15	7049	0.684931506849315	0.212796141296638	0.014864644328113	1	3.21872146118721	"O76001;A3KFT3;Q5JQS5;Q6IEZ7;Q8NGC4;Q8NGE0;Q8NGX2;Q9UGF6"
