"gene","enriched_in","Category","Term_accession","Term_description","Count_query","Pop_query","Count_universe","Pop_universe","%_query","%_universe","pval","adjpval","fold_change","Proteins_in_query"
"WT1","correlated","GO_BP","0032835","glomerulus development ","5","244","7","7049","1.63934426229508","0.099304865938431","0.000322278198609877","0.188425320120574","16.5081967213115","O43680;P19544;Q07075;Q16827;Q9P212"
"WT1","correlated","GO_BP","0009749","response to glucose ","7","244","30","7049","2.45901639344262","0.425592282593276","0.00104805405037037","0.459571701087408","5.77786885245902","P06858;P15104;P37173;P63027;Q01955;Q8NHW3;Q9H3M7"
"WT1","correlated","GO_BP","0000027","ribosomal large subunit assembly ","4","244","9","7049","1.22950819672131","0.127677684777983","0.0063221813355239","1","9.62978142076503","P05388;P46777;P62913;Q02878"
"WT1","correlated","GO_BP","0010951","negative regulation of endopeptidase activity ","5","244","19","7049","1.63934426229508","0.269541778975741","0.00632483636747962","1","6.08196721311475","P01042;P35625;Q08629;Q5IJ48;Q92563"
"WT1","correlated","GO_BP","0034605","cellular response to heat ","5","244","22","7049","1.63934426229508","0.312101007235069","0.0098816212154754","1","5.25260804769001","P07900;P08238;P0DMV9;P62258;Q9NR00"
"WT1","correlated","GO_BP","1905323","telomerase holoenzyme complex assembly ","3","244","4","7049","0.819672131147541","0.0567456376791034","0.0150014677467559","1","14.4446721311475","P07900;P08238;Q15185"
"WT1","correlated","GO_BP","0043536","positive regulation of blood vessel endothelial cell migration ","5","244","27","7049","1.63934426229508","0.383033054333948","0.0182877960207338","1","4.27990285367335","P06576;P09429;P15692;P35968;P42229"
"WT1","correlated","GO_BP","0043434","response to peptide hormone ","5","244","28","7049","1.63934426229508","0.397219463753724","0.0203715392189769","1","4.12704918032787","P18075;P35613;P42229;Q14118;Q9Y266"
"WT1","correlated","GO_BP","0043524","negative regulation of neuron apoptotic process ","7","244","61","7049","2.45901639344262","0.865370974606327","0.0229785528416581","1","2.84157484547165","P35968;P41743;P48681;Q17RY0;Q8TB73;Q9H2X6;Q9H6L5"
"WT1","correlated","GO_BP","0021955","central nervous system neuron axonogenesis ","3","244","6","7049","0.819672131147541","0.0851184565186551","0.026804216799247","1","9.62978142076503","O43286;P07900;P08238"
"WT1","correlated","GO_BP","0071230","cellular response to amino acid stimulus ","5","244","32","7049","1.63934426229508","0.453965101432827","0.030128582066052","1","3.61116803278689","O15524;P17655;Q17RY0;Q7L523;Q9UHA4"
"WT1","correlated","GO_BP","0010811","positive regulation of cell-substrate adhesion ","4","244","18","7049","1.22950819672131","0.255355369555965","0.0307086917458115","1","4.81489071038251","P26006;Q6UXI9;Q8TB73;Q92563"
"WT1","correlated","GO_BP","0061042","vascular wound healing ","3","244","7","7049","0.819672131147541","0.099304865938431","0.0337201229172623","1","8.25409836065574","P15692;P35968;Q8TB73"
"WT1","correlated","GO_BP","0001657","ureteric bud development ","4","244","19","7049","1.22950819672131","0.269541778975741","0.0347108024228527","1","4.56147540983607","O43680;P18075;P19544;Q6UXI9"
"WT1","correlated","GO_BP","0030324","lung development ","5","244","34","7049","1.63934426229508","0.482337920272379","0.0358812635211775","1","3.39874638379942","P08473;P15692;P26006;P28300;P63104"
"WT1","correlated","GO_BP","0051897","positive regulation of protein kinase B signaling ","6","244","51","7049","2.04918032786885","0.723506880408569","0.0370921797418529","1","2.83228865316618","P07900;P08238;P15692;P24593;Q13591;Q96AC1"
"WT1","correlated","GO_BP","0007162","negative regulation of cell adhesion ","4","244","20","7049","1.22950819672131","0.283728188395517","0.0389686973311587","1","4.33340163934426","O00592;O43157;P01042;Q13591"
"WT1","correlated","GO_BP","0001658","branching involved in ureteric bud morphogenesis ","4","244","20","7049","1.22950819672131","0.283728188395517","0.0389686973311587","1","4.33340163934426","O43680;P19544;P40424;Q6UXI9"
"WT1","correlated","GO_BP","0043627","response to estrogen ","4","244","20","7049","1.22950819672131","0.283728188395517","0.0389686973311587","1","4.33340163934426","P07900;P08473;P35221;P37173"
"WT1","correlated","GO_BP","1900152","negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay ","3","244","8","7049","0.819672131147541","0.113491275358207","0.041244659786695","1","7.22233606557377","O60506;O75534;Q00839"
"WT1","correlated","GO_BP","0035162","embryonic hemopoiesis ","3","244","8","7049","0.819672131147541","0.113491275358207","0.041244659786695","1","7.22233606557377","P35968;P37173;P40424"
"WT1","correlated","GO_BP","0001570","vasculogenesis ","5","244","36","7049","1.63934426229508","0.510710739111931","0.0422256376918642","1","3.20992714025501","P15692;P19544;P35968;P37173;Q96PU8"
"WT1","correlated","GO_BP","0030511","positive regulation of transforming growth factor beta receptor signaling pathway ","4","244","21","7049","1.22950819672131","0.297914597815293","0.0434790929022172","1","4.12704918032787","P08238;Q03167;Q6UXI9;Q9H2X6"
