"Gene","Uniprot","Pearson_correlation"
"TMEM200C","A6NKL6",0.512734267682557
"MYO1C","O00159",0.563126100946478
"WASL","O00401",0.501071336199062
"GOLIM4","O00461",0.508715341827344
"AGRN","O00468",0.501422095708548
"PODXL","O00592",0.748991891505399
"PLPP3","O14495",0.506496766871634
"APOL1","O14791",0.52523016554659
"CTDSPL","O15194",0.587835705865551
"LEPROT","O15243",0.610886209374929
"SOCS1","O15524",0.519893413944183
"PLXNB1","O43157",0.505486838171539
"B4GALT5","O43286",0.558620366723887
"TGOLN2","O43493",0.630121758276652
"TCF21","O43680",0.675778218160845
"MARCHF6","O60337",0.541975449411091
"SNX3","O60493",0.556427234363495
"NPHS1","O60500",0.639945931505906
"SYNCRIP","O60506",0.519942739570357
"PHACTR2","O75167",0.582368004076731
"CSDE1","O75534",0.592659803950031
"DHRS3","O75911",0.58132280962115
"TSPAN9","O75954",0.538628158534895
"NEBL","O76041",0.694119768020678
"DDN","O94850",0.568481627867347
"NFASC","O94856",0.609817014883152
"ARHGEF15","O94989",0.514153005658271
"LUC7L3","O95232",0.556247989128398
"AHSA1","O95433",0.542302877349896
"DLGAP3","O95886",0.520089245807779
"CYB5A","P00167",0.513617855476089
"KNG1","P01042",0.573156889181164
"RPN1","P04843",0.522602402631319
"RPLP0","P05388",0.521714545531718
"ATP5F1B","P06576",0.613729285455092
"LPL","P06858",0.561847727677496
"LDHB","P07195",0.52531662857705
"ANXA2","P07355",0.620505657858976
"CTSL","P07711",0.551384637778654
"HSP90AA1","P07900",0.591468411251143
"HNRNPC","P07910",0.519379264911947
"RNASE1","P07998",0.592929546773085
"HSP90AB1","P08238",0.533095721480357
"MME","P08473",0.714760641737445
"HMGB1","P09429",0.501217564144217
"SPARC","P09486",0.604190277130085
"CLTA","P09496",0.591062491171581
"UBB","P0CG47",0.581396130721377
"SRGAP2B","P0DMP2",0.601364771232042
"HSPA1B","P0DMV9",0.567260800714946
"CALM2","P0DP24",0.657947259077825
"HSPA8","P11142",0.632618136287977
"ADH5","P11766",0.506442633877955
"CD59","P13987",0.624088179730116
"HSP90B1","P14625",0.660839569786402
"GLUL","P15104",0.530771476333479
"EZR","P15311",0.554666383937545
"CD46","P15529",0.703786046231248
"VEGFA","P15692",0.610967904937827
"NPR1","P16066",0.549968548925509
"CAPN2","P17655",0.688404649376917
"DDX5","P17844",0.574468255217167
"BMP7","P18075",0.537674731622415
"ATP5PF","P18859",0.504795790820779
"PAM","P19021",0.543010415154494
"NCL","P19338",0.504701577196021
"WT1","P19544",1
"HNRNPA2B1","P22626",0.702938673054544
"RPS3","P23396",0.603016498811058
"PTPRB","P23467",0.509026904330258
"NR2F2","P24468",0.537703729371918
"IGFBP5","P24593",0.683106261911007
"ITGA3","P26006",0.672880525652363
"LOX","P28300",0.603706028933384
"GSTT1","P30711",0.560084048439385
"TLX1","P31314",0.649556298545164
"HNRNPH3","P31942",0.524001607761514
"RPL9","P32969",0.672297241354909
"CTNNA1","P35221",0.595660560542857
"BSG","P35613",0.521994970074644
"TIMP3","P35625",0.53519060970142
"KDR","P35968",0.539580487666356
"TGFBR2","P37173",0.61933940652795
"IFI27","P40305",0.666913288644527
"PBX1","P40424",0.528988508240195
"PTGDS","P41222",0.572506760402244
"EIF1","P41567",0.551939768214058
"PRKCI","P41743",0.602652130902139
"STAT5A","P42229",0.585820808035503
"MATR3","P43243",0.505155295046386
"TNNT2","P45379",0.660303909486978
"RPL5","P46777",0.561517208827905
"SCTR","P47872",0.558310053890268
"ATP5PO","P48047",0.508550730172525
"NES","P48681",0.631423660095966
"RPL34","P49207",0.589372927397014
"HINT1","P49773",0.513870538888817
"KLK7","P49862",0.505242552205755
"SELENOP","P49908",0.547862887790254
"CDK9","P50750",0.557163902586003
"BCAM","P50895",0.671832975764614
"OAZ1","P54368",0.591970030106684
