"gene","enriched_in","Category","Term_accession","Term_description","Count_query","Pop_query","Count_universe","Pop_universe","%_query","%_universe","pval","adjpval","fold_change","Proteins_in_query"
"EHD3","correlated","GO_BP","0010595","positive regulation of endothelial cell migration ","8","165","43","7049","4.24242424242424","0.610015605050362","0.000118040922893245","0.0302055076544256","6.95461592670895","O14495;P05230;P09486;P14921;P15692;P35613;P35968;Q8WYP3"
"EHD3","correlated","GO_BP","0007179","transforming growth factor beta receptor signaling pathway ","9","165","59","7049","4.84848484848485","0.836998155766775","0.000121866601487596","0.0302055076544256","5.79270672829995","O43541;P12757;P17813;P26012;P33151;P37173;P41134;Q6UXI9;Q9H2X6"
"EHD3","correlated","GO_BP","0001569","branching involved in blood vessel morphogenesis ","5","165","15","7049","2.42424242424242","0.212796141296638","0.000752363009070659","0.145038868970844","11.3923232323232","P15692;P17813;P35222;P35968;P37173"
"EHD3","correlated","GO_BP","0043627","response to estrogen ","5","165","20","7049","2.42424242424242","0.283728188395517","0.00188850645407183","0.296783350056872","8.54424242424242","O43541;P08473;P09619;P35221;P37173"
"EHD3","correlated","GO_BP","0007229","integrin-mediated signaling pathway ","7","165","53","7049","3.63636363636364","0.75187969924812","0.0020526802309409","0.296783350056872","4.83636363636364","O14495;P05556;P06756;P26006;P26012;P35221;Q9Y490"
"EHD3","correlated","GO_BP","0007160","cell-matrix adhesion ","7","165","54","7049","3.63636363636364","0.766066108667896","0.00223880633758851","0.298794538132005","4.74680134680135","P05556;P06756;P26006;P26012;P35222;P50895;Q6UXI9"
"EHD3","correlated","GO_BP","0007568","aging ","7","165","63","7049","3.63636363636364","0.893743793445879","0.0045374338572881","0.52482984949299","4.06868686868687","P08473;P09619;P24593;P35221;P37173;P49918;Q14118"
"EHD3","correlated","GO_BP","0048844","artery morphogenesis ","4","165","13","7049","1.81818181818182","0.184423322457086","0.00513490704993393","0.55681648322721","9.85874125874126","P15692;P17813;P36382;P37173"
"EHD3","correlated","GO_BP","0042060","wound healing ","6","165","46","7049","3.03030303030303","0.652574833309689","0.00567157287173562","0.578834054850665","4.64361001317523","O14495;P05230;P09619;P17813;P37173;Q9UPN3"
"EHD3","correlated","GO_BP","0002042","cell migration involved in sprouting angiogenesis ","4","165","14","7049","1.81818181818182","0.198609731876862","0.00613268630985261","0.591122819310793","9.15454545454545","P05556;P15692;P35968;P52799"
"EHD3","correlated","GO_BP","0030514","negative regulation of BMP signaling pathway ","5","165","30","7049","2.42424242424242","0.425592282593276","0.00691617095445531","0.599977830298998","5.69616161616162","O43541;P12757;Q92743;Q9H2X6;Q9NZV1"
"EHD3","correlated","GO_BP","1903078","positive regulation of protein localization to plasma membrane ","5","165","30","7049","2.42424242424242","0.425592282593276","0.00691617095445531","0.599977830298998","5.69616161616162","P05556;P26006;P62330;Q01082;Q96DZ5"
"EHD3","correlated","GO_BP","0071320","cellular response to cAMP ","5","165","31","7049","2.42424242424242","0.439778692013052","0.00767336028046027","0.611212002157238","5.51241446725318","P05067;P19544;P24387;P24593;Q07352"
"EHD3","correlated","GO_BP","0051897","positive regulation of protein kinase B signaling ","6","165","51","7049","3.03030303030303","0.723506880408569","0.00842659898793629","0.635658662785629","4.1883541295306","P05067;P05556;P15692;P17813;P24593;Q13591"
"EHD3","correlated","GO_BP","0072089","stem cell proliferation ","4","165","17","7049","1.81818181818182","0.24116896013619","0.00978332710092288","0.685522228266469","7.53903743315508","O15119;P35222;P35968;P48681"
"EHD3","correlated","GO_BP","0033631","cell-cell adhesion mediated by integrin ","3","165","5","7049","1.21212121212121","0.0709320470988793","0.00992574572468623","0.685522228266469","17.0884848484848","O14495;P05556;Q6UXI9"
"EHD3","correlated","GO_BP","0016477","cell migration ","9","165","126","7049","4.84848484848485","1.78748758689176","0.01086534595633","0.685522228266469","2.71245791245791","O00592;P05556;P06756;P09619;P17813;P35221;P35968;Q14517;Q9HB63"
"EHD3","correlated","GO_BP","0001822","kidney development ","6","165","55","7049","3.03030303030303","0.780252518087672","0.0112109307057606","0.685522228266469","3.88374655647383","O43680;P08473;P15692;P19544;P49918;Q63HR2"
"EHD3","correlated","GO_BP","0007266","Rho protein signal transduction ","5","165","36","7049","2.42424242424242","0.510710739111931","0.0122755049155658","0.685522228266469","4.74680134680135","P26006;P52566;Q52LW3;Q9NR81;Q9NZN5"
"EHD3","correlated","GO_BP","0045944","positive regulation of transcription by RNA polymerase II ","21","165","486","7049","12.1212121212121","6.89459497801106","0.0125876606683578","0.685522228266469","1.75807457288939","O00159;O15119;O43679;O43680;P05067;P05230;P07355;P14921;P15692;P17813;P19544;P24468;P25791;P35222;P55198;P60033;Q15366;Q6UXI9;Q92870;Q9H2X6;Q9P1Z2"
"EHD3","correlated","GO_BP","0001657","ureteric bud development ","4","165","19","7049","1.81818181818182","0.269541778975741","0.0127870225552386","0.685522228266469","6.74545454545454","O43541;O43680;P19544;Q6UXI9"
"EHD3","correlated","GO_BP","0043129","surfactant homeostasis ","3","165","6","7049","1.21212121212121","0.0851184565186551","0.0130387513157311","0.685522228266469","14.240404040404","P15692;P35968;Q8IZF2"
"EHD3","correlated","GO_BP","0002053","positive regulation of mesenchymal cell proliferation ","3","165","6","7049","1.21212121212121","0.0851184565186551","0.0130387513157311","0.685522228266469","14.240404040404","P35222;P35968;P37173"
"EHD3","correlated","GO_BP","0072659","protein localization to plasma membrane ","7","165","81","7049","3.63636363636364","1.14909916300184","0.0137185513077835","0.700049603500131","3.1645342312009","O94856;P35613;P60033;Q01082;Q15599;Q8N3R9;Q9NZN3"
"EHD3","correlated","GO_BP","0001658","branching involved in ureteric bud morphogenesis ","4","165","20","7049","1.81818181818182","0.283728188395517","0.0144648186057297","0.717041722312599","6.40818181818182","O43680;P19544;P35222;Q6UXI9"
"EHD3","correlated","GO_BP","0007186","G protein-coupled receptor signaling pathway ","8","165","109","7049","4.24242424242424","1.54631862675557","0.01591265656647","0.754123465219004","2.74356408117876","P05067;P0DP24;P11717;P47872;Q03431;Q8IZF2;Q99523;Q9NZN5"
"EHD3","correlated","GO_BP","0030539","male genitalia development ","3","165","7","7049","1.21212121212121","0.099304865938431","0.0165168251748254","0.754123465219004","12.2060606060606","O15119;P19544;P35222"
"EHD3","correlated","GO_BP","0032835","glomerulus development ","3","165","7","7049","1.21212121212121","0.099304865938431","0.0165168251748254","0.754123465219004","12.2060606060606","O43680;P19544;Q16827"
"EHD3","correlated","GO_BP","0001568","blood vessel development ","4","165","22","7049","1.81818181818182","0.312101007235069","0.0181776751732585","0.808673498092396","5.82561983471074","O14495;O15119;P37173;Q9UHF1"
"EHD3","correlated","GO_BP","0030513","positive regulation of BMP signaling pathway ","4","165","23","7049","1.81818181818182","0.326287416654845","0.0202140936570142","0.876786312372992","5.57233201581028","P17813;P33151;P35968;Q5IJ48"
"EHD3","correlated","GO_BP","0051091","positive regulation of DNA-binding transcription factor activity ","5","165","45","7049","2.42424242424242","0.638388423889913","0.0243486978342573","0.904308657566861","3.79744107744108","O14495;P05067;P35222;Q9BZR9;Q9H2X6"
"EHD3","correlated","GO_BP","0072015","podocyte development ","3","165","9","7049","1.21212121212121","0.127677684777983","0.024497122135817","0.904308657566861","9.4936026936027","O00592;O60500;Q12965"
"EHD3","correlated","GO_BP","0051145","smooth muscle cell differentiation ","3","165","9","7049","1.21212121212121","0.127677684777983","0.024497122135817","0.904308657566861","9.4936026936027","O15119;P35222;Q6UXI9"
"EHD3","correlated","GO_BP","0032836","glomerular basement membrane development ","3","165","9","7049","1.21212121212121","0.127677684777983","0.024497122135817","0.904308657566861","9.4936026936027","O60500;P19544;Q12965"
"EHD3","correlated","GO_BP","0055117","regulation of cardiac muscle contraction ","3","165","9","7049","1.21212121212121","0.127677684777983","0.024497122135817","0.904308657566861","9.4936026936027","P0DP24;P36382;Q9NZN3"
"EHD3","correlated","GO_BP","0090160","Golgi to lysosome transport ","3","165","9","7049","1.21212121212121","0.127677684777983","0.024497122135817","0.904308657566861","9.4936026936027","P11279;Q99523;Q9NZN3"
"EHD3","correlated","GO_BP","0048514","blood vessel morphogenesis ","3","165","9","7049","1.21212121212121","0.127677684777983","0.024497122135817","0.904308657566861","9.4936026936027","P24468;P41134;P52799"
"EHD3","correlated","GO_BP","0010629","negative regulation of gene expression ","8","165","124","7049","4.24242424242424","1.75911476805221","0.0288259406654203","0.978204753670654","2.41168132942327","P05067;P10644;P15529;P15692;P17813;P26012;P35222;P35968"
"EHD3","correlated","GO_BP","0030050","vesicle transport along actin filament ","3","165","10","7049","1.21212121212121","0.141864094197759","0.0289653381233905","0.978204753670654","8.54424242424242","O00159;O43707;Q12965"
"EHD3","correlated","GO_BP","2000648","positive regulation of stem cell proliferation ","3","165","10","7049","1.21212121212121","0.141864094197759","0.0289653381233905","0.978204753670654","8.54424242424242","O15119;P35222;P35968"
"EHD3","correlated","GO_BP","0002052","positive regulation of neuroblast proliferation ","3","165","10","7049","1.21212121212121","0.141864094197759","0.0289653381233905","0.978204753670654","8.54424242424242","P05556;P15692;P35222"
"EHD3","correlated","GO_BP","0043536","positive regulation of blood vessel endothelial cell migration ","4","165","27","7049","1.81818181818182","0.383033054333948","0.0295646039633646","0.978204753670654","4.74680134680135","P06576;P14921;P15692;P35968"
"EHD3","correlated","GO_BP","0007399","nervous system development ","8","165","125","7049","4.24242424242424","1.77330117747198","0.0298817590458471","0.978204753670654","2.39238787878788","O43679;P15692;P62330;Q08629;Q13591;Q9NZV1;Q9Y287;P0DMP2"
"EHD3","correlated","GO_BP","0003151","outflow tract morphogenesis ","4","165","28","7049","1.81818181818182","0.397219463753724","0.032202384914898","1","4.57727272727273","O15119;P15692;P36382;P37173"
"EHD3","correlated","GO_BP","0006672","ceramide metabolic process ","3","165","11","7049","1.21212121212121","0.156050503617534","0.0337305718289282","1","7.76749311294766","O14494;O14495;Q99805"
"EHD3","correlated","GO_BP","0007520","myoblast fusion ","3","165","11","7049","1.21212121212121","0.156050503617534","0.0337305718289282","1","7.76749311294766","O60500;P05556;P17655"
"EHD3","correlated","GO_BP","0045214","sarcomere organization ","3","165","11","7049","1.21212121212121","0.156050503617534","0.0337305718289282","1","7.76749311294766","P05556;P10644;P45379"
"EHD3","correlated","GO_BP","0007411","axon guidance ","5","165","51","7049","2.42424242424242","0.723506880408569","0.0353451684209517","1","3.35068330362448","O94856;P52799;P55268;Q14118;Q16827"
"EHD3","correlated","GO_BP","0001934","positive regulation of protein phosphorylation ","7","165","104","7049","3.63636363636364","1.47538657965669","0.0382348887476576","1","2.46468531468531","P05067;P05230;P15692;P17813;P35968;Q96DZ5;Q9H2X6"
"EHD3","correlated","GO_BP","0006821","chloride transport ","3","165","12","7049","1.21212121212121","0.17023691303731","0.0387772595181045","1","7.12020202020202","O00299;Q4KMQ2;Q9NZA1"
"EHD3","correlated","GO_BP","1903672","positive regulation of sprouting angiogenesis ","3","165","12","7049","1.21212121212121","0.17023691303731","0.0387772595181045","1","7.12020202020202","P05230;P15692;Q07157"
"EHD3","correlated","GO_BP","0007156","homophilic cell adhesion via plasma membrane adhesion molecules ","4","165","31","7049","1.81818181818182","0.439778692013052","0.0408261003381956","1","4.13431085043988","P05556;P33151;Q14517;Q92692"
"EHD3","correlated","GO_BP","0007420","brain development ","7","165","106","7049","3.63636363636364","1.50375939849624","0.0411854800649037","1","2.41818181818182","O60636;O94856;P13010;P37173;P41134;P47872;P48681"
"EHD3","correlated","GO_BP","0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway ","4","165","32","7049","1.81818181818182","0.453965101432827","0.0439341697186082","1","4.00511363636364","P05067;P10644;Q03431;Q8IZF2"
"EHD3","correlated","GO_BP","0030111","regulation of Wnt signaling pathway ","3","165","13","7049","1.21212121212121","0.184423322457086","0.0440903824346883","1","6.57249417249417","O14495;P05067;P26006"
"EHD3","correlated","GO_BP","0031589","cell-substrate adhesion ","3","165","13","7049","1.21212121212121","0.184423322457086","0.0440903824346883","1","6.57249417249417","O43541;P05556;P06756"
"EHD3","correlated","GO_BP","0003148","outflow tract septum morphogenesis ","3","165","13","7049","1.21212121212121","0.184423322457086","0.0440903824346883","1","6.57249417249417","O43541;P17813;P37173"
"EHD3","correlated","GO_BP","0048469","cell maturation ","3","165","13","7049","1.21212121212121","0.184423322457086","0.0440903824346883","1","6.57249417249417","P15692;P35222;Q03431"
"EHD3","correlated","GO_BP","0009410","response to xenobiotic stimulus ","7","165","108","7049","3.63636363636364","1.53213221733579","0.0442766146666874","1","2.37340067340067","P05023;P13010;P17813;P26006;P35222;P37173;Q9H3M7"
"EHD3","correlated","GO_BP","0007611","learning or memory ","4","165","33","7049","1.81818181818182","0.468151510852603","0.0471569892355562","1","3.88374655647383","P05067;P08473;P24387;P61769"
"EHD3","correlated","GO_BP","0051726","regulation of cell cycle ","7","165","110","7049","3.63636363636364","1.56050503617534","0.0475096434022889","1","2.3302479338843","P05556;P11142;P12757;P78344;Q13243;Q96S94;Q9H2X6"
"EHD3","correlated","GO_BP","0001701","in utero embryonic development ","7","165","111","7049","3.63636363636364","1.57469144559512","0.0491797295411236","1","2.30925470925471","O15119;P05556;P15692;P35222;P37173;Q03431;Q12965"
