"Gene","Uniprot","Pearson_correlation"
"MYO1C","O00159",0.747969389883808
"CLIC1","O00299",0.664717601912444
"GOLIM4","O00461",0.509689755567124
"PODXL","O00592",0.701905489123608
"PLPP1","O14494",0.542957219751853
"PLPP3","O14495",0.856337296189695
"CTDSP2","O14595",0.500863704668428
"TBX3","O15119",0.632068674731405
"LEPROT","O15243",0.553575011225358
"TGOLN2","O43493",0.703078862882226
"SMAD6","O43541",0.578964547452277
"LDB2","O43679",0.636580951074582
"TCF21","O43680",0.709780345472639
"ACTN4","O43707",0.667390425395464
"NPHS1","O60500",0.647311157624447
"TSPAN2","O60636",0.623803139523497
"ZC3H11A","O75152",0.516654858186415
"TMEM127","O75204",0.564659589524134
"MAF","O75444",0.601169744522563
"NFASC","O94856",0.617816541712864
"FKBP9","O95302",0.524171426109679
"ATP1A1","P05023",0.54780904982012
"APP","P05067",0.619905523965538
"FGF1","P05230",0.64095356304781
"ITGB1","P05556",0.622177663216157
"ATP5F1B","P06576",0.580253228350356
"ITGAV","P06756",0.660953989328854
"ANXA2","P07355",0.537372538828518
"RNASE1","P07998",0.696032634274072
"MME","P08473",0.627867452255015
"SPARC","P09486",0.645353975693304
"CLTA","P09496",0.536105954056173
"PDGFRB","P09619",0.565572499320405
"SRGAP2B","P0DMP2",0.52025590223643
"CALM2","P0DP24",0.531611265465606
"COX8A","P10176",0.528965807226508
"PRKAR1A","P10644",0.511914431075569
"HSPA8","P11142",0.65901192265356
"LAMP1","P11279",0.580709294999351
"IGF2R","P11717",0.567074900389198
"SKIL","P12757",0.541124511794977
"XRCC5","P13010",0.523150375755004
"ETS1","P14921",0.555074431841238
"CD46","P15529",0.606965862940455
"VEGFA","P15692",0.745549943664969
"NPR1","P16066",0.70317069451579
"CAPN2","P17655",0.683512954283097
"ENG","P17813",0.739304891240941
"DDX5","P17844",0.582069830121252
"WT1","P19544",0.542819861682645
"HNRNPA2B1","P22626",0.555823753812386
"PTPRB","P23467",0.613078031732807
"CRHBP","P24387",0.734791876767052
"NR2F2","P24468",0.529060714938402
"IGFBP5","P24593",0.816173258821789
"LMO2","P25791",0.744407802686402
"ITGA3","P26006",0.739019070586307
"ITGB8","P26012",0.538386699563145
"HNRNPH1","P31943",0.516845915382434
"CDH5","P33151",0.535298051787589
"CTNNA1","P35221",0.605952981460711
"CTNNB1","P35222",0.550993211616016
"BSG","P35613",0.552045658657987
"KDR","P35968",0.880571043794211
"GJA5","P36382",0.774724111255573
"ATP6V1E1","P36543",0.526883269889778
"TGFBR2","P37173",0.757682755832891
"IL6ST","P40189",0.62883243276598
"ID1","P41134",0.511459174723424
"TNNT2","P45379",0.533238445554141
"SCTR","P47872",0.587225831018168
"CD151","P48509",0.511405290863046
"NES","P48681",0.715129229640981
"CDKN1C","P49918",0.641074560212075
"BCAM","P50895",0.634307542356318
"ARHGDIB","P52566",0.630341192644578
"EFNB2","P52799",0.547456135517784
"OAZ1","P54368",0.595402885771651
"MLLT6","P55198",0.601771593039442
"LAMB2","P55268",0.579906817696162
"CD81","P60033",0.576036896375194
