"Gene","Uniprot","Pearson_correlation"
"TMEM150C","B9EJG8",0.516788072039211
"SGK1","O00141",0.557583685396601
"MYO1C","O00159",0.594381905060491
"CLIC1","O00299",0.630685970064839
"WASL","O00401",0.668934943092261
"GOLIM4","O00461",0.515525703521379
"NDUFA4","O00483",0.50482845250878
"PODXL","O00592",0.829067446487002
"PLPP3","O14495",0.65694438219929
"SDHD","O14521",0.500769964636115
"APOL1","O14791",0.528088720195398
"MYL12B","O14950",0.538198462678321
"CTDSPL","O15194",0.540028857345134
"LEPROT","O15243",0.56968881312916
"TAPBP","O15533",0.630307792124884
"TGOLN2","O43493",0.620145644192884
"B4GAT1","O43505",0.508167075320611
"LDB2","O43679",0.523185699115574
"TCF21","O43680",0.768470909949164
"ACTN4","O43707",0.67867696044449
"NPHS1","O60500",1
"TSPAN2","O60636",0.545912648530535
"ZC3H11A","O75152",0.526484762458705
"MAF","O75444",0.625788830841359
"CSDE1","O75534",0.509414915698044
"DHRS3","O75911",0.605916598124828
"TSPAN9","O75954",0.520832803110275
"NEBL","O76041",0.67336562547878
"DDN","O94850",0.519446366586817
"NFASC","O94856",0.760030037895626
"FBXO21","O94952",0.506144906202409
"CYB5A","P00167",0.677059009562687
"ASS1","P00966",0.57503826501076
"APP","P05067",0.568455714872921
"ITGB3","P05106",0.514283172636319
"FGF1","P05230",0.651965040814003
"PTMA","P06454",0.508348012699642
"ATP5F1B","P06576",0.617593613136903
"TPM3","P06753",0.53308881732693
"ITGAV","P06756",0.620579311271186
"LPL","P06858",0.505578157602236
"LDHB","P07195",0.552073400955738
"P4HB","P07237",0.52089253553011
"CTSD","P07339",0.631411491689256
"ANXA2","P07355",0.707384905083339
"DCN","P07585",0.56479281839108
"CTSL","P07711",0.512168801399144
"HSP90AA1","P07900",0.6017798531962
"RNASE1","P07998",0.515473392448279
"HSP90AB1","P08238",0.516845121094454
"MME","P08473",0.838583115355133
"HMGB1","P09429",0.549895938063862
"SPARC","P09486",0.626861614699837
"CLTA","P09496",0.668384312231776
"UBB","P0CG47",0.589873974278807
"SRGAP2B","P0DMP2",0.764676328010218
"CALM2","P0DP24",0.518211058101055
"COX8A","P10176",0.628699788216001
"HSPA8","P11142",0.60000025630855
"COX6B1","P14854",0.547204730537032
"EZR","P15311",0.518415030282746
"CD46","P15529",0.538401885388318
"VEGFA","P15692",0.835244310258613
"NPR1","P16066",0.665368085124419
"UGT2B7","P16662",0.556313303888851
"CAPN2","P17655",0.8386763989744
"ENG","P17813",0.555531771375247
"DDX5","P17844",0.580519083598902
"CR1","P17927",0.564301672274683
"IGFBP2","P18065",0.513778653523174
"RPL35A","P18077",0.556360167164447
"ITGB5","P18084",0.516558203918214
"WT1","P19544",0.639945931505906
"HNRNPA2B1","P22626",0.676522302667026
"PTPRB","P23467",0.582637698710368
"IGFBP5","P24593",0.639041135861389
"RPS12","P25398",0.521345695389132
"LMO2","P25791",0.567418690818563
"NFKBIA","P25963",0.522568579817764
"ITGA3","P26006",0.740723175049781
"LOX","P28300",0.54517349624076
"COL4A5","P29400",0.502329805303666
"RPL9","P32969",0.535036166680531
"CTNNA1","P35221",0.589856182327727
"MYH9","P35579",0.607052577968561
"BSG","P35613",0.504090857957524
"TIMP3","P35625",0.54057045421565
"KDR","P35968",0.608948243900299
"TGFBR2","P37173",0.592318246628193
"IL6ST","P40189",0.538250705429995
"IFI27","P40305",0.527373287710853
"PTGDS","P41222",0.625310773300981
"PRKCI","P41743",0.518829649589291
"DPP6","P42658",0.544819978850065
"TNNT2","P45379",0.732048695850323
"CBX5","P45973",0.542130015736419
"RPL21","P46778",0.501544051581442
"SCTR","P47872",0.752005342289918
"ATP5PO","P48047",0.507071707906989
"CD151","P48509",0.607295476060516
"NES","P48681",0.69431860040831
"RPL34","P49207",0.555081339409403
