"gene","enriched_in","Category","Term_accession","Term_description","Count_query","Pop_query","Count_universe","Pop_universe","%_query","%_universe","pval","adjpval","fold_change","Proteins_in_query"
"NPHS2","correlated","GO_BP","0002181","cytoplasmic translation ",42,1231,79,7049,3.3306255077173,1.12072634416229,7.28309762667786e-08,0.000305525945439136,2.97184546884801,"P08865;P15880;P18077;P18124;P18621;P23396;P25398;P30050;P32969;P40429;P42766;P46777;P46778;P46783;P47914;P49207;P49591;P61247;P61254;P61313;P61513;P61927;P62081;P62249;P62424;P62753;P62841;P62847;P62854;P62857;P62861;P62888;P62891;P62899;P62917;P62979;P63173;P83881;P84098;Q02878;Q07020;Q9Y3U8"
"NPHS2","correlated","GO_BP","0006412","translation ",50,1231,130,7049,3.98050365556458,1.84423322457086,9.08374712004565e-06,0.0190531595842958,2.15835155908267,"P08865;P15170;P15880;P18077;P18124;P18621;P23381;P23396;P25398;P30050;P32969;P40429;P42766;P46777;P46778;P46783;P47914;P49207;P49591;P61247;P61254;P61313;P61513;P61927;P62081;P62249;P62424;P62753;P62841;P62847;P62854;P62857;P62861;P62888;P62891;P62899;P62917;P62979;P63173;P83881;P84098;Q02878;Q07020;Q8IYD1;Q9BPZ3;Q9NZE8;Q9Y3U8;Q9Y676;Q9Y6G3;P82921"
"NPHS2","correlated","GO_BP","0090314","positive regulation of protein targeting to membrane ",8,1231,14,7049,0.568643379366369,0.198609731876862,0.0261189065174368,1,2.86311941510967,"O00159;P06241;P27105;P31751;Q5T2W1;Q99653;Q9GZY8;Q9Y3D6"
"NPHS2","correlated","GO_BP","0006457","protein folding ",23,1231,74,7049,1.78716490658002,1.04979429706341,0.0291338576499445,1,1.70239532790305,"O75190;O75347;O95302;O95433;P07237;P10809;P11142;P14625;P23284;P27824;P36404;P49368;P50502;P61604;P62937;Q02790;Q15185;Q16543;Q96KC8;Q9H173;Q9Y266;O60925;Q9Y536"
"NPHS2","correlated","GO_BP","0098761","cellular response to interleukin-7 ",6,1231,8,7049,0.406173842404549,0.113491275358207,0.0317413779589377,1,3.57889926888708,"P06576;P07237;P10809;P31948;P51858;P54727"
"NPHS2","correlated","GO_BP","0007417","central nervous system development ",17,1231,49,7049,1.29975629569456,0.695134061569017,0.0332733705549938,1,1.86979227109203,"O60481;P05067;P09211;P19021;P48681;P49006;P50219;Q02535;Q02577;Q04741;Q06481;Q7Z7G8;Q92833;Q92876;Q96DH6;Q99967;Q9Y2A7"
"NPHS2","correlated","GO_BP","0007566","embryo implantation ",8,1231,15,7049,0.568643379366369,0.212796141296638,0.033575584188751,1,2.67224478743569,"O76061;P00441;P05106;P35613;P37173;P47914;Q02790;Q9BW30"
"NPHS2","correlated","GO_BP","0006396","RNA processing ",15,1231,41,7049,1.13728675873274,0.58164278621081,0.0338416788154525,1,1.95530106397733,"O14979;O60506;P31942;P55265;P61978;P78332;P78563;Q00839;Q14103;Q5RKV6;Q86U42;Q93062;Q9BUJ2;Q9H0D6;Q15434"
"NPHS2","correlated","GO_BP","0055013","cardiac muscle cell development ",6,1231,9,7049,0.406173842404549,0.127677684777983,0.0435409455419412,1,3.1812437945663,"P15692;P78310;Q00839;Q15149;Q16585;Q9C0I9"
"NPHS2","correlated","GO_BP","0000086","G2/M transition of mitotic cell cycle ",9,1231,19,7049,0.649878147847279,0.269541778975741,0.0493740648585848,1,2.4110479285134,"O15392;P05067;P0DP24;P0DP25;P30305;P40424;P48681;P50570;Q8ND76"
"NPHS2","correlated","GO_CC","0070062","extracellular exosome ",300,1231,1181,7049,24.289195775792,16.7541495247553,2.48609859302257e-10,2.01871205753433e-07,1.4497420916474,"O00159;O00401;O00443;O00468;O00560;O00592;O14494;O14950;O15031;O15145;O15194;O43505;O43707;O43760;O43795;O60291;O60500;O75390;O75787;O75955;O76041;O94766;O95183;O95433;O95998;P00338;P00441;P00558;P00750;P04075;P04083;P04632;P05026;P05067;P05106;P05783;P05787;P06576;P06703;P06730;P06753;P06756;P07108;P07148;P07195;P07237;P07339;P07355;P07711;P07737;P07910;P07998;P08240;P08493;P08603;P08670;P08865;P08962;P09211;P09382;P09651;P0C0S5;P0CG47;P0DMV9;P10809;P11142;P11717;P11766;P13489;P13987;P14550;P14625;P14649;P15104;P15121;P15259;P15529;P15880;P16284;P16885;P17342;P17655;P17844;P17927;P18065;P18077;P18084;P18085;P18433;P19021;P19105;P19338;P20073;P21291;P21810;P21926;P22626;P23284;P23381;P23396;P23528;P25685;P25786;P26006;P26012;P26038;P26447;P26572;P27105;P27824;P28062;P28065;P28799;P29508;P30050;P30086;P31946;P31997;P32119;P35241;P35579;P35613;P36543;P37802;P37837;P40259;P40926;P41222;P41743;P42785;P46777;P46939;P49006;P49189;P49207;P49368;P49591;P49720;P49773;P50453;P50502;P50570;P50895;P52209;P52565;P52566;P53007;P53801;P53990;P54652;P54819;P55072;P56706;P59998;P60033;P61020;P61077;P61158;P61160;P61204;P61224;P61225;P61247;P61254;P61513;P61604;P61764;P61769;P61978;P62195;P62249;P62258;P62330;P62826;P62854;P62857;P62888;P62899;P62937;P62979;P62993;P63104;P63218;P67775;P67936;P68371;P78324;P84077;P84085;P98172;Q02790;Q02818;Q03167;Q04760;Q06481;Q07075;Q08257;Q08722;Q09328;Q10589;Q11201;Q13011;Q13200;Q13217;Q13404;Q13501;Q13576;Q13591;Q13885;Q14108;Q14118;Q14204;Q14517;Q14974;Q15019;Q15149;Q15843;Q16543;Q16555;Q16610;Q16629;Q16851;Q16864;Q5T2W1;Q6FI13;Q6UXI9;Q6ZS17;Q71DI3;Q7KZF4;Q7L7L0;Q7LBR1;Q7Z3Y7;Q7Z7M0;Q86VE9;Q8IV08;Q8IWA5;Q8N3R9;Q8NC51;Q8TBF2;Q92520;Q92597;Q92673;Q92692;Q92743;Q92896;Q92973;Q93079;Q969L2;Q969X1;Q96BM9;Q96FQ6;Q99497;Q99653;Q99879;Q99880;Q9BRK3;Q9BRK5;Q9BV40;Q9BVK6;Q9H0U4;Q9H254;Q9H6S3;Q9H8S9;Q9NP85;Q9NZA1;Q9NZL9;Q9NZQ7;Q9P2R7;Q9UBR2;Q9UBS3;Q9UHA4;Q9UHG3;Q9UJ70;Q9UKG1;Q9UL25;Q9UL46;Q9UMR5;Q9UN36;Q9Y226;Q9Y274;Q9Y287;Q9Y2A7;Q9Y2W1;Q9Y3C5;Q9Y3E7;Q9Y490;Q9Y617;Q9Y646;Q9Y6E0;O95164;O95336;P27482;Q15181;Q8N0Y7;Q92747;Q9NRV9;Q9NS98;Q9H1C7;Q9P227;Q9Y536"
"NPHS2","correlated","GO_CC","0022626","cytosolic ribosome ",39,1231,70,7049,3.08692120227457,0.99304865938431,1.15285773378814e-07,4.68060239917984e-05,3.1085296506905,"P08865;P15880;P18077;P18124;P18621;P23396;P25398;P30050;P32969;P40429;P42766;P46777;P46778;P46783;P47914;P49207;P61247;P61254;P61313;P61513;P61927;P62081;P62249;P62424;P62753;P62841;P62847;P62861;P62888;P62891;P62899;P62917;P62979;P63173;P83881;P84098;Q02878;Q07020;Q9Y3U8"
"NPHS2","correlated","GO_CC","0005925","focal adhesion ",94,1231,302,7049,7.55483346872461,4.28429564477231,1.9101076308331e-06,0.00051700246541216,1.76337818281589,"O00151;O00560;O14817;O15145;O43707;O60500;O75955;O94856;O95297;P01116;P04083;P05106;P06748;P06756;P07237;P07737;P08670;P0DMV9;P11142;P11717;P13987;P14625;P15529;P15880;P17655;P17813;P18084;P18124;P18433;P21291;P21926;P23284;P23396;P23528;P26006;P26012;P26038;P27361;P29353;P30050;P31946;P32969;P35221;P35241;P35579;P35613;P36404;P40429;P46777;P46783;P48509;P50570;P60033;P61158;P61160;P61247;P61513;P61769;P61978;P62081;P62249;P62258;P62330;P62424;P62841;P62888;P62899;P62917;P62937;P63104;P63173;P67936;P84077;P84098;Q02878;Q03001;Q07020;Q14108;Q14118;Q14247;Q14517;Q14847;Q15149;Q15691;Q92692;Q99653;Q9NZU0;Q9UHA4;Q9UHB9;Q9UI08;Q9UL25;Q9Y2A7;Q9Y490;O75954"
"NPHS2","correlated","GO_CC","0022625","cytosolic large ribosomal subunit ",27,1231,46,7049,2.11210398050366,0.652574833309689,5.39693145789063e-06,0.0010955770859518,3.23656977360223,"P18077;P18124;P18621;P30050;P32969;P40429;P42766;P46777;P46778;P47914;P49207;P61254;P61313;P61513;P61927;P62424;P62888;P62891;P62899;P62917;P63173;P83881;P84098;Q02878;Q07020;Q9Y3U8;Q6DKI1"
