"Gene","Uniprot","Pearson_correlation"
"PODXL","O00592",0.514430349523285
"DHX15","O43143",0.532704876931195
"UBB","P0CG47",0.556245978725469
"KIF5B","P33176",0.511167054058813
"PSMD4","P55036",0.511372094637563
"TMBIM6","P55061",0.503146208313398
"MGAT5","Q09328",0.521354059459251
"SEPTIN2","Q15019",0.541161071829464
"FSCN1","Q16658",0.500470104963997
"ZNF568","Q3ZCX4",0.504926514990668
"MEX3C","Q5U5Q3",0.572499317136394
"SUMO4","Q6EEV6",0.500725109852661
"LRP10","Q7Z4F1",0.53348285855148
"RDH13","Q8NBN7",0.512543664216712
"ZBTB44","Q8NCP5",0.513895344289079
"CITED2","Q99967",0.502698584067744
"SDF4","Q9BRK5",0.50274584380964
"C1orf43","Q9BWL3",0.503402160650847
"ACBD3","Q9H3P7",0.513248890637099
"CLIC5","Q9NZA1",0.531615904343435
"ARHGAP28","Q9P2N2",0.5135111562847
"AMFR","Q9UKV5",0.517022008536815
"CD2AP","Q9Y5K6",1
"SNURF","Q9Y675",0.510166431707412
