"Gene","Uniprot","Pearson_correlation"
"CLIC1","O00299",0.542958652657972
"PDGFRB","P09619",1
"NPR1","P16066",0.562541585673635
"ENG","P17813",0.569810841802119
"GATA3","P23771",0.650046827695577
"CCND1","P24385",0.547092602331986
"LMO2","P25791",0.525386502181391
"KDR","P35968",0.587752094644254
"GJA5","P36382",0.53535755287709
"LAMB2","P55268",0.5539959182177
"SPTBN1","Q01082",0.514663813963423
"IFITM3","Q01628",0.550429833050049
"PTPN12","Q05209",0.536965417345287
"LMO7","Q8WWI1",0.557203514880989
"NRGN","Q92686",0.515515072292033
"TINAGL1","Q9GZM7",0.502234818638793
"EHD3","Q9NZN3",0.565572499320405
"EMCN","Q9ULC0",0.577331657088899
