"Gene","Uniprot","Pearson_correlation"
"ESYT2","A0FGR8",0.530804212871208
"GOLGA8J","A6NMD2",0.673779013899533
"RTL8C","A6ZKI3",0.565665349663846
"ZNF587B","E7ETH6",0.571607862886274
"SGK1","O00141",0.622360224515099
"PDLIM1","O00151",0.578152244822504
"MYO1C","O00159",0.519742367045599
"TLR4","O00206",0.50068984263962
"EML1","O00423",0.501482874431771
"GOLIM4","O00461",0.576512502356669
"SDCBP","O00560",0.52774744798964
"NME4","O00746",0.619243349143927
"PLPP1","O14494",0.587607272072625
"PLPP3","O14495",0.613152838753144
"CHD2","O14647",0.625881080379518
"TSPAN4","O14817",0.516375019176073
"MYL12B","O14950",0.604683816882453
"ZBTB7B","O15156",0.535346757421252
"NDUFA1","O15239",0.624612213418853
"BIRC5","O15392",0.588860186071117
"SOCS1","O15524",0.550359104728205
"ASAP2","O43150",0.560405634836474
"B4GALT5","O43286",0.602155827261457
"TGOLN2","O43493",0.630388935007714
"B4GAT1","O43505",0.578858168550533
"RGS10","O43665",0.513200429519866
"NDUFA2","O43678",0.511611305822744
"SYNGR2","O43760",0.534626994234298
"DUX1","O43812",0.51748763639881
"NDUFS5","O43920",0.577602272026991
"SH3BP5","O60239",0.592543157481787
"SNX3","O60493",0.696581661656457
"SORBS3","O60504",0.56712285966996
"TSPAN2","O60636",0.565657437889355
"ZC3H11A","O75152",0.551079473122374
"ZNF253","O75346",0.513250041906734
"TBCA","O75347",0.521706750081767
"ZNF737","O75373",0.570269307320475
"NCOR1","O75376",0.543964336496216
"NDUFB1","O75438",0.506761501398581
"BANF1","O75531",0.531131941896844
"CSDE1","O75534",0.601669203342339
"TUSC2","O75896",0.532121676442436
"DHRS3","O75911",0.509307306917829
"DYSF","O75923",0.645549855250782
"CPD","O75976",0.514805333199272
"SRP72","O76094",0.50629663793563
"ARHGEF15","O94989",0.55347426935693
"HEXIM1","O94992",0.51762317629513
"GABARAP","O95166",0.664610332107714
"NDUFB4","O95168",0.567386953186839
"EPN2","O95208",0.531902149727742
"APOL3","O95236",0.545676204061336
"MPZL1","O95297",0.508186837467252
"FKBP9","O95302",0.628442698668698
"ADGRL2","O95490",0.522463231909776
"MAP4K4","O95819",0.551030712781234
"MLYCD","O95822",0.504116161994211
"DHFR","P00374",0.523898528570946
"PGK1","P00558",0.531901603672085
"PLAT","P00750",0.597638373863673
"LMNA","P02545",0.61342666563164
"OPN1MW","P04001",0.5490856372015
"CSTB","P04080",0.513073192370254
"CAPNS1","P04632",0.584540164934998
"GNAI2","P04899",0.515789793837391
"H2AC8","P04908-C8",0.684595580990593
"APP","P05067",0.531601957274548
"HMGN1","P05114",0.605994337015846
"ITGB1","P05556",0.630813368451935
"PTMA","P06454",0.587666248073041
"ATP5F1B","P06576",0.529861508812405
"S100A6","P06703",0.544432828870661
"EIF4E","P06730",0.5080999752913
"NPM1","P06748",0.566899379478777
"TPM3","P06753",0.587448853096588
"H2BC11","P06899",0.596410331727316
"FABP1","P07148",0.525666591989718
"GPX1","P07203",0.582304726492452
"ANXA2","P07355",0.506595603093815
"HNRNPC","P07910",0.53303626887484
"RNASE1","P07998",0.704375157063488
"HSP90AB1","P08238",0.579797731435162
"COL4A2","P08572",0.585578472258756
"SNRNP70","P08621",0.522488880474072
"VIM","P08670",0.550963990352075
"RPSA","P08865",0.563503247961278
"CD63","P08962",0.653400046665313
"HMGB1","P09429",0.589839419278184
"SPARC","P09486",0.678937023656697
"DLD","P09622",0.511049770827837
"HNRNPA1","P09651",0.588523841249835
"COX6C","P09669",0.525204204364299
"DCAF8L2","P0C7V8",0.511969846572648
"UBB","P0CG47",0.602432443170156
"MTRNR2L7","P0CJ74",0.529151317220166
"MTRNR2L10","P0CJ77",0.507904150749443
"PET100","P0DJ07",0.605186846385312
"SMIM17","P0DL12",0.53120151292943
"SETSIP","P0DME0",0.619745933310629
"CALM1","P0DP23",0.597883445815323
"CALM2","P0DP24",0.587660748788456
"CALM3","P0DP25",0.664647626997266
"COX8A","P10176",0.560459794119669
"PRKAR1A","P10644",0.633882630201657
"HSPD1","P10809",0.556682594027362
"HSPA8","P11142",0.661735328898885
"PABPC1","P11940",0.625337152835613
"COX6A1","P12074",0.588625504789068
"RNH1","P13489",0.565116673082994
"CD59","P13987",0.605518087746423
"PRKCSH","P14314",0.585740454749744
"HSP90B1","P14625",0.547648954139628
"ETS1","P14921",0.553915966914017
"ETS2","P15036",0.618710625365298
"CD46","P15529",0.61514698692509
"RPS2","P15880",0.629593788178867
"TIMP2","P16035",0.515101100442914
"PECAM1","P16284",1
"ZNF37A","P17032",0.538331417809068
"ZNF43","P17038",0.523994865664383
"JUND","P17535",0.506981968650647
"DDX5","P17844",0.648144710221094
"RPL7","P18124",0.576714740699114
"EGR1","P18146",0.530965752017232
"RPL17","P18621",0.587734471761743
"MYL12A","P19105",0.646010846678609
"NCL","P19338",0.564006890037402
"POLR2E","P19388",0.533443415224116
"CAST","P20810",0.529673835907042
"CSRP1","P21291",0.551979474975455
"BGN","P21810",0.555500590197428
"SDHB","P21912",0.52605894108365
"CD9","P21926",0.54015810080773
"HNRNPA2B1","P22626",0.551181257992564
"IGFBP4","P22692",0.675404598006668
"SFPQ","P23246",0.623447210748096
"WARS1","P23381",0.510755183190923
"RPS3","P23396",0.557188967557555
"PTPRB","P23467",0.559458357174992
"SP100","P23497",0.524409356594516
"GATA2","P23769",0.504222415253826
"KDELR1","P24390",0.517333228796808
"NR2F2","P24468",0.565098128943949
"EEF1B2","P24534",0.567029154583024
"IGFBP5","P24593",0.695226425369992
"MYL9","P24844",0.562876135023068
"ITGA3","P26006",0.641819498815573
"MSN","P26038",0.689876660587793
"S100A4","P26447",0.583001727348879
"EEF1G","P26641",0.523534737394232
"STOM","P27105",0.526504693859269
"CALR","P27797",0.506477966608063
"ITPRID2","P28290",0.565548345718232
"TEAD1","P28347",0.584129756923916
"PTPRM","P28827",0.505588570705261
"CD34","P28906",0.617692569834816
"EEF1D","P29692",0.573146457548883
"RPL12","P30050",0.664330464740434
"PEBP1","P30086",0.540439351055445
"TLX1","P31314",0.522210204899061
"HNRNPH3","P31942",0.560784371572884
"YWHAB","P31946",0.524377772885638
"STIP1","P31948",0.507044936139244
"CEACAM8","P31997",0.571376070235516
"RYK","P34925",0.501956222455294
"CTNNA1","P35221",0.591776361753325
"MYH9","P35579",0.579668659764293
"TIMP3","P35625",0.546099189282188
"FLT4","P35916",0.52242001785744
"GJA5","P36382",0.576799746484636
"RPL4","P36578",0.559167793783011
"ACVRL1","P37023",0.518383681139533
"TGFBR2","P37173",0.653105795946301
"IL6ST","P40189",0.522405289212816
"ID1","P41134",0.535517070151263
"RPS27","P42677",0.537922010453686
"RPL35","P42766",0.597189024030993
"PRCP","P42785",0.535131062006616
"CBX5","P45973",0.533179619778826
"NOTCH1","P46531",0.591231427807717
"RPL5","P46777",0.598948757196977
"RPL21","P46778",0.544765947738743
"RPS9","P46781",0.539890442189206
"RPS10","P46783",0.576516710272446
"UTRN","P46939",0.502732009874043
"CAPZB","P47756",0.559364146661178
"RPL29","P47914",0.535864963498951
"ATP5MC3","P48201",0.518857486786219
"MARCKSL1","P49006",0.56448545523518
"RPL34","P49207",0.582849570243396
"ARRB1","P49407",0.568536331621035
"SARS1","P49591",0.50121435532068
"HINT1","P49773",0.574811262931167
"CDKN1C","P49918",0.515424656115399
"GNG10","P50151",0.567357261939773
"SERPINH1","P50454",0.535039774882986
"ERF","P50548",0.504261535956088
"ANXA11","P50995",0.537236012206253
"TPMT","P51580",0.500283470302117
"DYNLT3","P51808",0.538238138357305
"UBE2E1","P51965",0.507895050673463
"NCBP2","P52298",0.580536000561125
"ARHGDIA","P52565",0.526838067675218
"ARHGDIB","P52566",0.578013306697163
"SLC25A1","P53007",0.513845504025129
"PPP5C","P53041",0.555572183844444
"SUCLG1","P53597",0.551207310109601
"PTTG1IP","P53801",0.614889151419035
"OAZ1","P54368",0.649712151415794
"AIF1","P55008",0.525445533083444
"TMBIM6","P55061",0.558561794758999
"MLLT6","P55198",0.515761517965886
"NAP1L1","P55209",0.541004158822257
"ARPP19","P56211",0.630681449950355
"AP1S2","P56377",0.55503770375354
"CTBP2","P56545",0.527850793175151
"TMEM50B","P56557",0.557317499150995
"WNT7B","P56706",0.504967790560011
"MAP3K7CL","P57077",0.572466750574269
"CD81","P60033",0.584308515948057
"CDC42","P60953",0.513104452464834
"UBE2D3","P61077",0.571493015810847
"ACTR2","P61160",0.60361789094203
"ARF3","P61204",0.521179572070702
"RAP1B","P61224",0.591980682705815
"RAP2B","P61225",0.521705322907023
"MAX","P61244",0.537762326829059
"RPS3A","P61247",0.711034773996932
"RPL26","P61254",0.610799130558704
"RPL15","P61313",0.653855607440012
"MAGOH","P61326",0.509655732449425
"RPL37A","P61513",0.548954742962363
"HSPE1","P61604",0.502712668793644
"B2M","P61769",0.762165460713518
"GNG11","P61952",0.55095380237292
"HNRNPK","P61978",0.595857375774743
"RPS8","P62241",0.534018903944812
"YWHAE","P62258",0.543587559771581
"RPS14","P62263",0.55680982338337
"RPS13","P62277",0.542654768863694
"RPL7A","P62424",0.595768613035559
"RPS6","P62753",0.558104502742951
"H4C9","P62805-C9",0.596159920809463
"H2BC4","P62807-C4",0.664419890257981
"H2BC6","P62807-C6",0.511931727413381
"RPS15","P62841",0.555947901859269
"RPS24","P62847",0.601846000092794
"RPS28","P62857",0.570798200079322
"RPL30","P62888",0.652328345482365
"RPL39","P62891",0.554235552942511
"RPL31","P62899",0.575300894398656
"RPL8","P62917",0.572776855363151
"PPIA","P62937",0.599087558549778
"RPS27A","P62979",0.589504413100452
"UBA52","P62987",0.579895923479192
"YWHAZ","P63104",0.592529224661379
"DYNLL1","P63167",0.556914272563271
"RPL38","P63173",0.540417283614748
"SKP1","P63208",0.513699453156018
"EIF5A","P63241",0.576425557648275
"SELENOW","P63302",0.52697707008711
"TMSB10","P63313",0.6769877564879
"YBX1","P67809",0.509575828217205
"TPM4","P67936",0.563502627703818
"TUBB4B","P68371",0.546740877491941
"H3C7","P68431-C7",0.61181517632578
"RBM6","P78332",0.519458048970169
"EIF4G2","P78344",0.677525380227794
"MRPS21","P82921",0.503510251208376
"TXNL4A","P83876",0.503434049801584
"ARF1","P84077",0.622457903886538
"RPL19","P84098",0.534725512594366
"EFNB1","P98172",0.533554386088497
"HNRNPU","Q00839",0.517151720543898
"PSG6","Q00889",0.518013078314799
"SPTBN1","Q01082",0.561113958729777
"CAP1","Q01518",0.512905395976777
"IFITM3","Q01628",0.523686875076949
"ID2","Q02363",0.506213303831095
"RPL18A","Q02543",0.559938701841137
"NHLH2","Q02577",0.50462373134758
"FKBP4","Q02790",0.62426022521315
"RPL6","Q02878",0.670872455098966
"DST","Q03001",0.617556465310684
"ZNF85","Q03923",0.51134992166028
"TLE2","Q04725",0.50998892111786
"YWHAH","Q04917",0.528077462076763
"SRSF11","Q05519",0.511171715510669
"RPL18","Q07020",0.646105864548481
"ZFP36L1","Q07352",0.699562052667497
"KHDRBS1","Q07666",0.564332905844095
"MCL1","Q07820",0.51944685267965
"SPOCK1","Q08629",0.512785097549227
"ZNF763","Q0D2J5",0.51938248481012
"PNRC1","Q12796",0.715235310760252
"ILF3","Q12906",0.546422227744802
"BAMBI","Q13145",0.518259060847086
"CBX3","Q13185",0.509229876124798
"CIRBP","Q14011",0.577835750406307
"HNRNPD","Q14103",0.678956821419214
"SCARB2","Q14108",0.509294219460573
"DYNC1H1","Q14204",0.511688983596627
"FGL2","Q14314",0.509044393957014
"FKBP8","Q14318",0.514881669447363
"MEF2D","Q14814",0.525926375926639
"LAPTM4A","Q15012",0.547746020334973
"MORF4L2","Q15014",0.559071220252212
"ARL6IP1","Q15041",0.546629025459283
"EIF4H","Q15056",0.575650333277859
"PEA15","Q15121",0.684370318666857
"PLEC","Q15149",0.555665818046919
"NONO","Q15233",0.514202162364334
"CNN3","Q15417",0.612416810287385
"TEAD2","Q15562",0.53387256009572
"SLC9A3R2","Q15599",0.502262587980806
"SF1","Q15637",0.548877699092142
"HMGN3","Q15651",0.513812533390845
"MLF2","Q15773",0.506003385160483
"SGCB","Q16585",0.650213958375771
"ARHGAP29","Q52LW3",0.524309357163964
"LUZP6","Q538Z0",0.566029461239596
"FNDC3B","Q53EP0",0.576131806763696
"HSD17B12","Q53GQ0",0.513847767171955
"FNBP1L","Q5T0N5",0.500783970764476
"ARHGAP21","Q5T5U3",0.500247493521928
"EMC10","Q5UCC4",0.660400269122232
"ZNF468","Q5VIY5",0.521472213643701
"RNF220","Q5VTB9",0.511698293534898
"GPR107","Q5VW38",0.558787568626355
"MBNL2","Q5VZF2",0.524399362508357
"ARL6IP4","Q66PJ3",0.52075274009537
"ZNF626","Q68DY1",0.538630998754758
"RPL7L1","Q6DKI1",0.540305451268046
"SUMO4","Q6EEV6",0.523387862080124
"H2AC19","Q6FI13",0.552002013758444
"SIGIRR","Q6IA17",0.569163088347017
"TBC1D3C","Q6IPX1",0.520535002785845
"ZNF770","Q6IQ21",0.54578011187315
"ZNF529","Q6P280",0.532201085911326
"ANKRD11","Q6UB99",0.577675231371318
"TEX261","Q6UWH6",0.52083893632261
"B3GNT6","Q6ZMB0",0.567907045202132
"ZNF600","Q6ZNG1",0.594204359785675
"MED13L","Q71F56",0.507302853158983
"MEPCE","Q7L2J0",0.554249052282128
"RRAGA","Q7L523",0.523361692548558
"NANOGNB","Q7Z5D8",0.550477287384448
"AMIGO2","Q86SJ2",0.504090298446549
"GPAT4","Q86UL3",0.531519741734009
"KTN1","Q86UP2",0.557444669283207
"ZNF761","Q86XN6",0.519668545136639
"PLD3","Q8IV08",0.516241502604161
"SULF1","Q8IWU6",0.573018123894205
"CMIP","Q8IY22",0.555950419144166
"ZNF595","Q8IYB9",0.60036633377089
"ADGRF5","Q8IZF2",0.531478526133449
"CLIP4","Q8N3C7",0.504551999637595
"ZNF611","Q8N823",0.531377015886743
"ZNF383","Q8NA42",0.619146621541791
"MINDY2","Q8NBR6",0.502387006805278
"SERBP1","Q8NC51",0.557858192942632
"FAM156A","Q8NDB6",0.500720774872448
"ST6GALNAC3","Q8NDV1",0.559625816636937
"NFAM1","Q8NET5",0.504400970638281
"GIMAP7","Q8NHV1",0.541324325037695
"CHD5","Q8TDI0",0.526459719406628
"TRIM41","Q8WV44",0.536778868340921
"PCNP","Q8WW12",0.52077404496766
"SCG3","Q8WXD2",0.534026453349458
"RIN2","Q8WYP3",0.515246218033854
"FAM3C","Q92520",0.542412134920218
"TMEM131","Q92545",0.511709005747426
"NPIPB3","Q92617",0.518311346789878
"NECTIN2","Q92692",0.568200105282042
"BCL2L2","Q92843",0.538769222588637
"OSTF1","Q92882",0.518358513247787
"RBPMS","Q93062",0.647519808844629
"H2BC9","Q93079",0.649259219462371
"PTP4A1","Q93096",0.541431310013609
"TMBIM1","Q969X1",0.630391455232572
"ST6GALNAC6","Q969X2",0.618646798256162
"CCDC47","Q96A33",0.548344658420377
"PBXIP1","Q96AQ6",0.517074214781988
"NACC2","Q96BF6",0.549014830351337
"OPTN","Q96CV9",0.538547808640509
"AP2M1","Q96CW1",0.503609222696379
"MSI2","Q96DH6",0.54292817304581
"EEF2KMT","Q96G04",0.524906029056563
"DCUN1D1","Q96GG9",0.525226924232218
"PCMTD1","Q96MG8",0.512328422058652
"RNF145","Q96MT1",0.555133375531473
"IPO9","Q96P70",0.554187552411329
"GBP4","Q96PP9",0.526314922540532
"QKI","Q96PU8",0.622247668053114
"NOTCH4","Q99466",0.524457835158924
"S100A13","Q99584",0.504721834644904
"C12orf57","Q99622",0.580320220741528
"SIGMAR1","Q99720",0.539653641957892
"H2BC13","Q99880",0.675890968202332
"RASL11B","Q9BPW5",0.576635781792346
"PAIP2","Q9BPZ3",0.568807778973926
"TRIR","Q9BQ61",0.510165447581793
"TUBA1C","Q9BQE3",0.622761310430152
"SDF4","Q9BRK5",0.564103546999225
"DHRS4","Q9BTZ2",0.51371143566409
"HNRNPUL1","Q9BUJ2",0.566451137065796
"EFHD1","Q9BUP0",0.525942906673035
"VAMP8","Q9BV40",0.536336890777294
"TM2D1","Q9BX74",0.517958408650931
"SHANK3","Q9BYB0",0.660277261131188
"HES7","Q9BYE0",0.527165335268509
"NSD3","Q9BZ95",0.511942754514207
"TANC1","Q9C0D5",0.536215673903696
"MFF","Q9GZY8",0.50055283770628
"MAF1","Q9H063",0.504748020899588
"RAB1B","Q9H0U4",0.512664373534993
"CCDC8","Q9H0W5",0.552611714725605
"TMEM245","Q9H330",0.502188525271572
"HIPK3","Q9H422",0.51278023570919
"SAV1","Q9H4B6",0.503672879481979
"STN1","Q9H668",0.592472564449386
"YY1AP1","Q9H869",0.505185013022075
"ZNF430","Q9H8G1",0.517016802291162
"AKIRIN1","Q9H9L7",0.542653556930394
"GPBP1L1","Q9HC44",0.527078430816935
"SSU72","Q9NP77",0.528568242170053
"NPHS2","Q9NP85",0.514861272797161
"MED4","Q9NPJ6",0.500456047194984
"TMEM9B","Q9NQ34",0.510899699336803
"RTN4","Q9NQC3",0.59233721241382
"RPRD1B","Q9NQG5",0.588610866345605
"ITM2C","Q9NQX7",0.568144783742195
"TCIM","Q9NR00",0.520703515475772
"PRMT8","Q9NR22",0.611857431706412
"SERINC1","Q9NRX5",0.524578436162544
"SEMA3G","Q9NS98",0.550252232819415
"ATG3","Q9NT62",0.505980186039472
"LYRM2","Q9NU23",0.55951571155917
"EVA1B","Q9NVM1",0.561141606286222
"ARGLU1","Q9NWB6",0.582783363119285
"TVP23B","Q9NYZ1",0.522999140736146
"MAT2B","Q9NZL9",0.543706686972499
"CRIM1","Q9NZV1",0.542577797319864
"SEPTIN10","Q9P0V9",0.506611149792851
"ZNF492","Q9P255",0.512803398800192
"MBD2","Q9UBB5",0.514649035866867
"MORF4L1","Q9UBU8",0.645924559783337
"CFDP1","Q9UEE9",0.508404244161663
"ARMCX3","Q9UH62",0.526615203652663
"EGFL7","Q9UHF1",0.704009210109311
"MED13","Q9UHV7",0.529196158581888
"TRMT112","Q9UI30",0.500067758993156
"GGT7","Q9UJ14",0.572376510645933
"FBXW11","Q9UKB1",0.505958630520759
"RALY","Q9UKM9",0.59565087157092
"ACIN1","Q9UKV3",0.529771326762411
"PALD1","Q9ULE6",0.644861367841804
"ZMIZ1","Q9ULJ6",0.541042972839159
"NDRG2","Q9UN36",0.536106327530652
"SNX6","Q9UNH7",0.532551634983706
"RTRAF","Q9Y224",0.506920309003604
"ERGIC3","Q9Y282",0.531098742295871
"NCKAP1","Q9Y2A7",0.553325490557542
"LRCH1","Q9Y2L9",0.502793453032565
"GSTK1","Q9Y2Q3",0.518151912122332
"LEMD3","Q9Y2U8",0.522819461185853
"MEMO1","Q9Y316",0.512720899684788
"FCF1","Q9Y324",0.533436900884887
"UBE2J1","Q9Y385",0.510215428527965
"SBDS","Q9Y3A5",0.634399773506803
"PRELID3B","Q9Y3B1",0.515025866247393
"CHMP3","Q9Y3E7",0.501798453883946
"FBXO7","Q9Y3I1",0.504817352719657
"TLN1","Q9Y490",0.594063220060035
"TLN2","Q9Y4G6",0.580777739355221
"KLF2","Q9Y5W3",0.620992185461964
"NPTN","Q9Y639",0.557707604708766
"GJA3","Q9Y6H8",0.543101998728561
