"Gene","Uniprot","Pearson_correlation"
"TMEM238","C9JI98",0.549520384492
"MYO1C","O00159",0.513511581142873
"NDUFA4","O00483",0.541329230261814
"NME4","O00746",0.615114424196952
"PLPP1","O14494",0.553391688748828
"CFLAR","O15519",0.591919181742322
"B4GALT5","O43286",0.521247148571722
"ADCY6","O43306",0.503529707970177
"MTSS1","O43312",0.513935340763544
"TGOLN2","O43493",0.563952357483173
"SMAD6","O43541",0.634869862213653
"LDB2","O43679",0.597821385416157
"SH3BP5","O60239",0.522093262499938
"MARCHF6","O60337",0.504603780606005
"NEMF","O60524",0.504707990855387
"SDC3","O75056",0.501274160118969
"PHACTR2","O75167",0.539577157233875
"PTP4A3","O75365",0.521272683767131
"MACROH2A1","O75367",0.534058688669878
"BANF1","O75531",0.505112906051474
"CSDE1","O75534",0.525482329083674
"KLF7","O75840",0.686873127290844
"FLOT1","O75955",0.592148216703233
"NEBL","O76041",0.598848160969484
"NFASC","O94856",0.585951973966364
"ARHGEF15","O94989",0.506988023108584
"APOL3","O95236",0.541957210693424
"CBX6","O95503",0.541217444737705
"CAVIN2","O95810",0.504945917169126
"OPN1MW","P04001",0.556150720207035
"H2AC8","P04908-C8",0.52573854715755
"H2BC11","P06899",0.539325591535557
"SNRNP70","P08621",0.558608330585539
"HMGB1","P09429",0.502476025416386
"DCAF8L2","P0C7V8",0.588787682161469
"SULT1A4","P0DMN0",0.513242747285126
"GLI4","P10075",0.527981184914791
"ETS2","P15036",0.689800185692615
"NDUFB7","P17568",0.504724414838478
"ENG","P17813",0.506748299156718
"DDX5","P17844",0.538108881467343
"NF1","P21359",0.529943370831046
"SAT1","P21673",0.524691321427599
"HNRNPA2B1","P22626",0.517970790300449
"MCC","P23508",0.505676907212423
"NFYA","P23511",0.514158464814961
"EEF1B2","P24534",0.518902489750099
"IGFBP5","P24593",0.591114317660463
"TEAD1","P28347",0.565090326373018
"CD34","P28906",0.539940589157951
"PRDX3","P30048",0.530801085010754
"CDC27","P30260",0.548500560549785
"AGTR1","P30556",0.564799665761472
"TLX1","P31314",0.508471721798269
"HNRNPH3","P31942",0.604902632506177
"RPL9","P32969",0.5057346451093
"COPB2","P35606",0.554911967551123
"SOX18","P35713",0.503737791507238
"PPM1A","P35813",0.570779179275562
"POLR2I","P36954",0.53378977229241
"TGFBR2","P37173",0.554954384411088
"ATP6V1A","P38606",0.505573349561177
"IL6ST","P40189",0.537222059372063
"IFI27","P40305",0.536554625747117
"MDH2","P40926",0.583250873012162
"ID1","P41134",0.590583349444794
"TSPAN7","P41732",0.627453093804192
"LIFR","P42702",0.668281810033886
"UTRN","P46939",0.510908012404885
"DNM2","P50570",0.505144089084272
"SMARCA2","P51531",0.598705649765183
"COL4A4","P53420",0.506708778595147
"IST1","P53990",0.511489251882702
"BACE1","P56817",0.522716090469855
"MAP3K7CL","P57077",0.549357763262268
"UBE2G2","P60604",0.505343109320087
"CDC42","P60953",0.517076834204076
"ACTR2","P61160",0.600746908366712
"RAP2B","P61225",0.501638099608166
"GNG11","P61952",0.555953312283156
"SUMO2","P61956",0.636456359412262
"SNRPG","P62308",0.511007557970819
"H4C8","P62805-C8",0.508381903192411
"H4C9","P62805-C9",0.556156389901804
"H2BC4","P62807-C4",0.51423289398421
"GRB2","P62993",0.596880778824393
"VAMP2","P63027",0.575358040977932
"H3C4","P68431-C4",0.511819052238282
"GTF2I","P78347",0.693837517006613
"GSTO1","P78417",0.536441309158093
"HNRNPU","Q00839",0.598230544632862
"PSG6","Q00889",0.513002868753446
"TEK","Q02763",1
"NOTCH2","Q04721",0.551719925306991
"SRSF11","Q05519",0.50398436392169
"SSRP1","Q08945",0.510550389880211
"HNRNPA0","Q13151",0.588831932609774
"OS9","Q13438",0.513813467351942
"HNRNPD","Q14103",0.593918736561285
"EIF3A","Q14152",0.577297737903226
"TFDP1","Q14186",0.59301191196441
"DYNC1H1","Q14204",0.527480375763025
"CTTN","Q14247",0.565759428127982
"RCN2","Q14257",0.535992344411116
"NUMA1","Q14980",0.549139799315786
"PPP2R5A","Q15172",0.500787720009888
"SLC9A3R2","Q15599",0.513786407753665
"CDC37","Q16543",0.569910396434244
"DPYSL2","Q16555",0.527605361894357
"GUK1","Q16774",0.502163288511436
"H2AC20","Q16777",0.564784968011004
"ANO6","Q4KMQ2",0.56930795154045
"ARHGAP29","Q52LW3",0.590729314738108
"PAN3","Q58A45",0.551807748184822
"ELFN2","Q5R3F8",0.540554065077948
"TBC1D9B","Q66K14",0.608151856238177
"H2AC19","Q6FI13",0.616111573880769
"XAF1","Q6GPH4",0.505817911279559
