"Gene","Uniprot","Pearson_correlation"
"PLPP3","O14495",0.512122421238927
"SEPTIN4","O43236",0.503438298188135
"BRD4","O60885",0.566927701665262
"IGF2R","P11717",0.547787781764685
"FLT1","P17948",1
"CRHBP","P24387",0.545069570894447
"GJA5","P36382",0.559470214495827
"SSR2","P43308",0.511200896428841
"LAMB2","P55268",0.567861937335542
"PLOD1","Q02809",0.525568180728204
"MYO1E","Q12965",0.538237051413115
"TNS2","Q63HR2",0.542216403852221
"TNS3","Q68CZ2",0.554175570771284
"GIMAP7","Q8NHV1",0.518878070945318
"ESAM","Q96AP7",0.517512388204174
"SHANK3","Q9BYB0",0.557769152710017
"EMCN","Q9ULC0",0.592244088938138
