"Gene","Uniprot","Pearson_correlation"
"UBE2L5","A0A1B0GUS4",0.540095134529427
"EVPLL","A8MZ36",0.530702987902178
"ZNF814","B7Z6K7",0.510149201108004
"ZNF587B","E7ETH6",0.536324692525255
"TNFRSF10C","O14798",0.531096074669058
"PRAMEF1","O95521",0.526520032351024
"H2AC15","P0C0S8-C15",0.579882923433179
"ZNF888","P0CJ79",0.626956015023556
"ZNF723","P0DPD5",0.506235874326496
"PRKACA","P17612",0.587039937248992
"POLD1","P28340",0.566401807360582
"S100A5","P33763",0.533699070034087
"MAGEA3","P43357",0.511261827547745
"SOX2","P48431",0.500302021323993
"CXCR4","P61073",1
"PAFAH1B2","P68402",0.547560616290986
"PRR5","P85299",0.518537773663194
"ID3","Q02535",0.532215574653618
"KLRD1","Q13241",0.532493105818912
"PDE7A","Q13946",0.524684468230586
"CBFB","Q13951",0.565639457247623
"EBI3","Q14213",0.580678046932587
"INAVA","Q3KP66",0.57101134411151
"TTC31","Q49AM3",0.60923656539347
"PCID2","Q5JVF3",0.619363483966119
"ZNF470","Q6ECI4",0.568745946682508
"OR7E24","Q6IFN5",0.519546721883088
"BTNL9","Q6UXG8",0.513290714267073
"ZNF574","Q6ZN55",0.500402154574202
"NANOGNB","Q7Z5D8",0.524404329050698
"ANKRD18A","Q8IVF6",0.606543233449846
"REXO1","Q8N1G1",0.501455549401743
"NAT8L","Q8N9F0",0.50038082828515
"FAM47B","Q8NA70",0.546233214456693
"ZNF431","Q8TF32",0.52065079079774
"SKA2","Q8WVK7",0.536791356030354
"ZNF592","Q92610",0.503019701644606
"ZNF625","Q96I27",0.514635608608463
"RCHY1","Q96PM5",0.520037431042419
"DOHH","Q9BU89",0.504523229768806
"APOO","Q9BUR5",0.50257035943447
"VAMP8","Q9BV40",0.501964941943686
"APOL6","Q9BWW8",0.509308293263534
"CHST5","Q9GZS9",0.521416107342399
"PHAX","Q9H814",0.578344345414122
"FGFR1OP2","Q9NVK5",0.538950888826459
"IL36RN","Q9UBH0",0.532652737081241
"SARDH","Q9UL12",0.508767667481884
"TMA7","Q9Y2S6",0.510300402161845
