"","Pearson_correlation"
"A1BG_HUMAN",0.314199281391264
"A1CF_HUMAN",0.18630213635179
"A2MG_HUMAN",0.200149302192256
"A2ML1_HUMAN",0.0362211268161296
"A3LT2_HUMAN",-0.161475379150339
"A4GAT_HUMAN",0.306568774780677
"A4GCT_HUMAN",-0.240979500443173
"AAAS_HUMAN",0.293616435002597
"AACS_HUMAN",-0.210878828885956
"AAAD_HUMAN",0.212666128160163
"ADCL2_HUMAN",-0.0367609834840241
"ADCL3_HUMAN",0.287814203036851
"ADCL4_HUMAN",0.258213683111086
"AADAT_HUMAN",-0.12832722881177
"AAGAB_HUMAN",-0.0869395614928558
"AAK1_HUMAN",-0.0513491506313799
"AAMDC_HUMAN",-0.113236661743239
"AAMP_HUMAN",0.142457172428128
"SNAT_HUMAN",-0.405384008572821
"AAR2_HUMAN",0.0058925286743746
"AARD_HUMAN",0.0752187892934797
"SYAC_HUMAN",0.210832315300773
"SYAM_HUMAN",0.0278032823565105
"AASD1_HUMAN",-0.252856871456082
"ACSF4_HUMAN",-0.128764400227762
"ADPPT_HUMAN",-0.082286583891706
"AASS_HUMAN",-0.0214846081617822
"AATF_HUMAN",-0.130201566094031
"LMTK1_HUMAN",0.109306118717993
"GABT_HUMAN",0.0370414999698995
"ABCA1_HUMAN",-0.111970332083032
"ABCAA_HUMAN",-0.0407498277352357
"ABCAC_HUMAN",-0.0557301590376624
"ABCAD_HUMAN",0.235422504427258
"ABCA2_HUMAN",-0.0116028112180184
"ABCA3_HUMAN",0.105851215875165
"ABCA4_HUMAN",0.437471314517435
"ABCA5_HUMAN",0.154020542884905
"ABCA6_HUMAN",0.15305138522019
"ABCA7_HUMAN",-0.0532402191694685
"ABCA8_HUMAN",-0.237194320278917
"ABCA9_HUMAN",0.0896800396519272
"MDR1_HUMAN",0.0699133297406186
"ABCBA_HUMAN",-0.0795359425452207
"ABCBB_HUMAN",0.0371853019147987
"MDR3_HUMAN",0.015496998834539
"ABCB5_HUMAN",-0.0539542490668877
"ABCB6_HUMAN",0.14005877081465
"ABCB7_HUMAN",-0.143280933230903
"MITOS_HUMAN",0.0763036240303132
"ABCB9_HUMAN",-0.159463014958478
"MRP1_HUMAN",-0.383350866468939
"MRP7_HUMAN",-0.0186525941259396
"MRP8_HUMAN",0.0374049508653477
"MRP9_HUMAN",-0.209855526185402
"MRP2_HUMAN",-0.095683080471651
"MRP3_HUMAN",-0.0687351235432362
"MRP4_HUMAN",-0.105493787356641
"MRP5_HUMAN",0.374089630573943
"MRP6_HUMAN",-0.285600910143548
"ABCC8_HUMAN",0.189580607230038
"ABCC9_HUMAN",0.0234689613405638
"ABCD1_HUMAN",0.251002410739506
"ABCD2_HUMAN",-0.107969420145836
"ABCD3_HUMAN",0.255998842917517
"ABCD4_HUMAN",-0.295646487434026
"ABCE1_HUMAN",-0.0353234445190732
"ABCF1_HUMAN",-0.0212929665049342
"ABCF2_HUMAN",0.0755474930585407
"ABCF3_HUMAN",-0.214816180609553
"ABCG1_HUMAN",0.26977598670604
"ABCG2_HUMAN",0.0423607798874679
"ABCG4_HUMAN",0.0805485642943604
"ABCG5_HUMAN",0.260849313491505
