"","Pearson_correlation"
"A1BG_HUMAN",-0.146698309613747
"A1CF_HUMAN",0.204199848498325
"A2MG_HUMAN",-0.579789401168859
"A2ML1_HUMAN",-0.41613736470983
"A3LT2_HUMAN",-0.351101218929872
"A4GAT_HUMAN",0.682161669902851
"A4GCT_HUMAN",-0.0190287645527058
"AAAS_HUMAN",-0.321717037638419
"AACS_HUMAN",-0.075763697010851
"AAAD_HUMAN",0.0511162230475565
"ADCL2_HUMAN",-0.306412158239956
"ADCL3_HUMAN",0.343232683902038
"ADCL4_HUMAN",0.125865205362137
"AADAT_HUMAN",-0.134978267967508
"AAGAB_HUMAN",-0.24214407757522
"AAK1_HUMAN",-0.17018153770397
"AAMDC_HUMAN",-0.223827443599456
"AAMP_HUMAN",0.319596192565548
"SNAT_HUMAN",0.0965606866611892
"AAR2_HUMAN",-0.02691737227845
"AARD_HUMAN",-0.148483100625504
"SYAC_HUMAN",0.101375405995525
"SYAM_HUMAN",0.421606863496697
"AASD1_HUMAN",0.111783765418187
"ACSF4_HUMAN",0.301015359890282
"ADPPT_HUMAN",0.0916168830548743
"AASS_HUMAN",-0.0995666485223691
"AATF_HUMAN",0.040946693295637
"LMTK1_HUMAN",-0.405104452497777
"GABT_HUMAN",0.268925911202042
"ABCA1_HUMAN",-0.420456019983795
"ABCAA_HUMAN",0.459530544593269
"ABCAC_HUMAN",-0.379494704758246
"ABCAD_HUMAN",0.177976669085752
"ABCA2_HUMAN",0.218383654700079
"ABCA3_HUMAN",-0.271036623955327
"ABCA4_HUMAN",0.143824408076133
"ABCA5_HUMAN",0.487549605388563
"ABCA6_HUMAN",0.0384608857521673
"ABCA7_HUMAN",-0.0114574903058552
"ABCA8_HUMAN",0.0735351085361951
"ABCA9_HUMAN",0.394303117414215
"MDR1_HUMAN",0.0999031301611953
"ABCBA_HUMAN",0.0334579486790202
"ABCBB_HUMAN",0.407336348346325
"MDR3_HUMAN",0.347175751041599
"ABCB5_HUMAN",-0.0742065980974709
"ABCB6_HUMAN",0.354396638966874
"ABCB7_HUMAN",-0.188054360147814
"MITOS_HUMAN",0.249540661451015
"ABCB9_HUMAN",-0.106929428410111
"MRP1_HUMAN",-0.101796505563826
"MRP7_HUMAN",0.126270297852124
"MRP8_HUMAN",0.448140552024235
"MRP9_HUMAN",-0.259187441782062
"MRP2_HUMAN",0.288442806570252
"MRP3_HUMAN",-0.0274650211198542
"MRP4_HUMAN",0.338872410889238
"MRP5_HUMAN",0.099507448734441
"MRP6_HUMAN",-0.122316095912222
"ABCC8_HUMAN",0.251718830337782
"ABCC9_HUMAN",0.204799530483901
"ABCD1_HUMAN",0.479884760709135
"ABCD2_HUMAN",-0.332680956922967
