"","Pearson_correlation"
"A1BG_HUMAN",0.00410299893070403
"A1CF_HUMAN",0.444917595876106
"A2MG_HUMAN",0.667620158726709
"A2ML1_HUMAN",-0.134743198573384
"A3LT2_HUMAN",-0.0482739217702933
"A4GAT_HUMAN",-0.23820601146508
"A4GCT_HUMAN",-0.417813622944084
"AAAS_HUMAN",0.383653424363032
"AACS_HUMAN",0.620769151739739
"AAAD_HUMAN",0.726412873563993
"ADCL2_HUMAN",-0.433079989462196
"ADCL3_HUMAN",-0.0564418568840758
"ADCL4_HUMAN",0.526039675812199
"AADAT_HUMAN",0.193553528124044
"AAGAB_HUMAN",0.0160915150779732
"AAK1_HUMAN",-0.316193467071021
"AAMDC_HUMAN",-0.0530948072092632
"AAMP_HUMAN",-0.0397488727709188
"SNAT_HUMAN",-0.55666745924106
"AAR2_HUMAN",-0.280676560711319
"AARD_HUMAN",-0.491142085510185
"SYAC_HUMAN",0.414489772846368
"SYAM_HUMAN",-0.18200335018065
"AASD1_HUMAN",-0.0823640774472434
"ACSF4_HUMAN",-0.0635313657448421
"ADPPT_HUMAN",0.612805492080409
"AASS_HUMAN",0.0419959315264208
"AATF_HUMAN",-0.0956328677315579
"LMTK1_HUMAN",0.291374867851667
"GABT_HUMAN",-0.0686950403580977
"ABCA1_HUMAN",-0.393737686552759
"ABCAA_HUMAN",-0.267609173211544
"ABCAC_HUMAN",0.292903168419092
"ABCAD_HUMAN",0.315394328244808
"ABCA2_HUMAN",0.268346990557477
"ABCA3_HUMAN",0.40358697966847
"ABCA4_HUMAN",-0.148396423161276
"ABCA5_HUMAN",0.0119806510965587
"ABCA6_HUMAN",-0.151350016063615
"ABCA7_HUMAN",0.270506288924722
"ABCA8_HUMAN",-0.61285966696946
"ABCA9_HUMAN",-0.1506219977681
"MDR1_HUMAN",-0.0876109351475544
"ABCBA_HUMAN",0.234017467788754
"ABCBB_HUMAN",0.607954569059142
"MDR3_HUMAN",0.036580411271687
"ABCB5_HUMAN",0.425525796954488
"ABCB6_HUMAN",-0.311955845788719
"ABCB7_HUMAN",0.762877810918921
"MITOS_HUMAN",-0.104139565034175
"ABCB9_HUMAN",-0.0241258708392544
"MRP1_HUMAN",-0.317342814626569
"MRP7_HUMAN",0.471044365693709
"MRP8_HUMAN",0.483900107343866
"MRP9_HUMAN",0.385797079881524
"MRP2_HUMAN",0.0692741480944859
"MRP3_HUMAN",0.419697050551006
"MRP4_HUMAN",-0.313128775407553
"MRP5_HUMAN",-0.178500384716644
"MRP6_HUMAN",-0.605073017134671
"ABCC8_HUMAN",-0.161170544208274
"ABCC9_HUMAN",0.735648386897302
"ABCD1_HUMAN",0.466553116498394
"ABCD2_HUMAN",0.427023187757281
"ABCD3_HUMAN",0.043919044593204
"ABCD4_HUMAN",-0.180034090774254
"ABCE1_HUMAN",0.446641127266401
"ABCF1_HUMAN",0.684347444466299
"ABCF2_HUMAN",0.529167405905844
"ABCF3_HUMAN",0.0543338797321922
"ABCG1_HUMAN",-0.28468502672469
"ABCG2_HUMAN",0.114152569659883
