"","Pearson_correlation"
"A1BG_HUMAN",-0.599057440919888
"A1CF_HUMAN",-0.164367208545675
"A2MG_HUMAN",0.586300026146232
"A2ML1_HUMAN",0.145079553681405
"A3LT2_HUMAN",-0.243317877297798
"A4GAT_HUMAN",-0.0547877931669826
"A4GCT_HUMAN",-0.107837987659936
"AAAS_HUMAN",0.232037613977477
"AACS_HUMAN",-0.180530100926101
"AAAD_HUMAN",-0.333904424519538
"ADCL2_HUMAN",0.0596022361590517
"ADCL3_HUMAN",0.489410851219402
"ADCL4_HUMAN",-0.484488243769696
"AADAT_HUMAN",-0.394320993710841
"AAGAB_HUMAN",0.359029312206624
"AAK1_HUMAN",-0.271992587293147
"AAMDC_HUMAN",0.0179941986934959
"AAMP_HUMAN",0.642991348149833
"SNAT_HUMAN",-0.243436447173091
"AAR2_HUMAN",0.339744190474384
"AARD_HUMAN",-0.219312579997618
"SYAC_HUMAN",0.391377831251315
"SYAM_HUMAN",-0.522711088260776
"AASD1_HUMAN",-0.0687831346181195
"ACSF4_HUMAN",-0.624113362821996
"ADPPT_HUMAN",0.0409637374836423
"AASS_HUMAN",0.106685876782672
"AATF_HUMAN",-0.122037881055003
"LMTK1_HUMAN",-0.338152596371758
"GABT_HUMAN",0.0575092211599894
"ABCA1_HUMAN",-0.494881462546458
"ABCAA_HUMAN",-0.190142105764433
"ABCAC_HUMAN",-0.276676329123984
"ABCAD_HUMAN",-0.116407976259304
"ABCA2_HUMAN",-0.17228098420918
"ABCA3_HUMAN",0.0866733762449787
"ABCA4_HUMAN",-0.128867689588569
"ABCA5_HUMAN",0.165205015101184
"ABCA6_HUMAN",-0.285492949085868
"ABCA7_HUMAN",-0.315459342814787
"ABCA8_HUMAN",-0.235685117145569
"ABCA9_HUMAN",-0.723096974517094
"MDR1_HUMAN",-0.351538240466018
"ABCBA_HUMAN",0.371440679995679
"ABCBB_HUMAN",-0.336820185914446
"MDR3_HUMAN",-0.0865360897853688
"ABCB5_HUMAN",-0.749114261637579
"ABCB6_HUMAN",-0.311418819779651
"ABCB7_HUMAN",-0.249333390340629
"MITOS_HUMAN",-0.263541334911005
"ABCB9_HUMAN",0.317657787566681
"MRP1_HUMAN",-0.496302246061109
"MRP7_HUMAN",-0.324291324760238
"MRP8_HUMAN",-0.0803756143216364
"MRP9_HUMAN",-0.495501503491302
"MRP2_HUMAN",-0.267743401435317
"MRP3_HUMAN",-0.528915937963426
"MRP4_HUMAN",-0.152010591365967
