"","Pearson_correlation"
"A1BG_HUMAN",0.0335110094741684
"A1CF_HUMAN",-0.0360490310700825
"A2MG_HUMAN",0.324468310488474
"A2ML1_HUMAN",-0.168868009672785
"A3LT2_HUMAN",0.172223018495303
"A4GAT_HUMAN",-0.308395479439975
"A4GCT_HUMAN",-0.425927696858041
"AAAS_HUMAN",0.128138181587335
"AACS_HUMAN",0.278436841644988
"AAAD_HUMAN",0.220280740661806
"ADCL2_HUMAN",-0.565118371861811
"ADCL3_HUMAN",-0.290027228344155
"ADCL4_HUMAN",-0.0874701384664767
"AADAT_HUMAN",-0.265959228152037
"AAGAB_HUMAN",-0.0849685578217468
"AAK1_HUMAN",-0.0570798645874716
"AAMDC_HUMAN",-0.179794734899164
"AAMP_HUMAN",-0.579758632965069
"SNAT_HUMAN",0.0392964626413844
"AAR2_HUMAN",0.00728514876495922
"AARD_HUMAN",-0.561756758074811
"SYAC_HUMAN",0.283335919249859
"SYAM_HUMAN",0.101603900527362
"AASD1_HUMAN",-0.028735233734158
"ACSF4_HUMAN",-0.112999464743913
"ADPPT_HUMAN",0.186272277939869
"AASS_HUMAN",-0.0285452057926855
"AATF_HUMAN",0.0337122810324197
"LMTK1_HUMAN",0.168384763795802
"GABT_HUMAN",-0.258236473594049
"ABCA1_HUMAN",-0.110413498003877
"ABCAA_HUMAN",-0.322202127668426
"ABCAC_HUMAN",-0.0529017647614489
"ABCAD_HUMAN",-0.124624438116308
"ABCA2_HUMAN",0.423134956382384
"ABCA3_HUMAN",0.0160044387439713
"ABCA4_HUMAN",-0.363811446093818
"ABCA5_HUMAN",-0.0855952492920233
"ABCA6_HUMAN",-0.51629715785696
"ABCA7_HUMAN",-0.02591804440839
"ABCA8_HUMAN",-0.0430023680482858
"ABCA9_HUMAN",-0.0817541955515177
"MDR1_HUMAN",0.439346512417099
"ABCBA_HUMAN",0.0545639696128969
"ABCBB_HUMAN",0.0536666598773395
"MDR3_HUMAN",0.0916726155210026
"ABCB5_HUMAN",0.0446725984772888
"ABCB6_HUMAN",-0.441823388301831
"ABCB7_HUMAN",0.533666857729207
"MITOS_HUMAN",0.0486249651807936
"ABCB9_HUMAN",-0.495708566906306
"MRP1_HUMAN",0.253370081656799
"MRP7_HUMAN",0.216585637760956
"MRP8_HUMAN",-0.288027566997545
"MRP9_HUMAN",-0.0609299499893644
