"","Pearson_correlation"
"A1BG_HUMAN",0.482384881812088
"A1CF_HUMAN",-0.18827873406364
"A2MG_HUMAN",0.149738785273821
"A2ML1_HUMAN",-0.0960912306109041
"A3LT2_HUMAN",-0.0258507816124955
"A4GAT_HUMAN",-0.082654298752368
"A4GCT_HUMAN",-0.383707193596896
"AAAS_HUMAN",-0.0494352377628387
"AACS_HUMAN",-0.00772360737251397
"AAAD_HUMAN",0.106253700305529
"ADCL2_HUMAN",-0.0763213588846663
"ADCL3_HUMAN",-0.0282426019637361
"ADCL4_HUMAN",-0.0591854418947167
"AADAT_HUMAN",-0.329464209118188
"AAGAB_HUMAN",-0.291570162764944
"AAK1_HUMAN",0.255448488974337
"AAMDC_HUMAN",-0.322694318624746
"AAMP_HUMAN",-0.2045679055375
"SNAT_HUMAN",-0.212226346451711
"AAR2_HUMAN",-0.0629988554114343
"AARD_HUMAN",0.207791130453372
"SYAC_HUMAN",0.11573129558455
"SYAM_HUMAN",-0.314853751795217
"AASD1_HUMAN",0.229073600381722
"ACSF4_HUMAN",0.151788216129333
"ADPPT_HUMAN",0.203346008595224
"AASS_HUMAN",-0.0185262146101899
"AATF_HUMAN",-0.0607813051883888
"LMTK1_HUMAN",0.354251014795709
"GABT_HUMAN",0.0308502986436744
"ABCA1_HUMAN",-0.0539270512172708
"ABCAA_HUMAN",-0.21925889405505
"ABCAC_HUMAN",0.0286500854730973
"ABCAD_HUMAN",-0.116786062009315
"ABCA2_HUMAN",-0.0178198996999517
"ABCA3_HUMAN",0.319641383209883
"ABCA4_HUMAN",0.259849708416426
"ABCA5_HUMAN",-0.0946597265429773
"ABCA6_HUMAN",0.144960775887092
"ABCA7_HUMAN",0.129986239918096
"ABCA8_HUMAN",0.198819996450074
"ABCA9_HUMAN",0.0983712465375755
"MDR1_HUMAN",0.255822590091452
"ABCBA_HUMAN",-0.153322483904493
"ABCBB_HUMAN",-0.0151876263332145
"MDR3_HUMAN",-0.0364630504080992
"ABCB5_HUMAN",-0.222506573837791
"ABCB6_HUMAN",-0.0751741684633216
"ABCB7_HUMAN",0.00879223118332717
"MITOS_HUMAN",-0.0829177530688608
"ABCB9_HUMAN",0.0101563140613195
"MRP1_HUMAN",-0.336201213183279
"MRP7_HUMAN",0.0209978504714072
"MRP8_HUMAN",0.028853964721584
"MRP9_HUMAN",-0.297450638319998
"MRP2_HUMAN",-0.053765748196808
"MRP3_HUMAN",-0.159222307318318
"MRP4_HUMAN",-0.0384563625397241
"MRP5_HUMAN",-0.00867743425574056
"MRP6_HUMAN",-0.0747399929804106
"ABCC8_HUMAN",-0.477935762245614
"ABCC9_HUMAN",0.029523179996957
"ABCD1_HUMAN",0.0247173717762829
"ABCD2_HUMAN",-0.00416611218617703
"ABCD3_HUMAN",0.034380149872633
"ABCD4_HUMAN",0.0938213773672833
"ABCE1_HUMAN",-0.0367426447343118
"ABCF1_HUMAN",0.167503349579247
"ABCF2_HUMAN",-0.0128875773717899
"ABCF3_HUMAN",-0.0993753480397418
"ABCG1_HUMAN",-0.0101294449792196
"ABCG2_HUMAN",-0.288561249705017
"ABCG4_HUMAN",0.125651047273623
"ABCG5_HUMAN",0.0839896956876371
"ABCG8_HUMAN",0.401334355263429
"ABHD1_HUMAN",0.180674136734898
"ABHDA_HUMAN",0.10351521209209
"ABHDB_HUMAN",-0.204430954086672
"ABD12_HUMAN",0.535750547541994
"AB12B_HUMAN",-0.275367461154999
"ABHDD_HUMAN",0.465706206641365
"ABHEA_HUMAN",-0.219689562994161
"ABHEB_HUMAN",0.361201351185579
"ABH15_HUMAN",-0.0286442579527818
"ABHGA_HUMAN",-0.283859493008306
"ABHGB_HUMAN",-0.0325097270570833
"AB17A_HUMAN",0.358700180284707
"AB17B_HUMAN",-0.251718367421612
"AB17C_HUMAN",-0.0275570682272632
"ABD18_HUMAN",0.0442362353366098
"ABHD2_HUMAN",-0.289723600269093
"ABHD3_HUMAN",-0.328020101055487
"ABHD4_HUMAN",0.0535551993596969
"ABHD5_HUMAN",0.134623793911159
"ABHD6_HUMAN",0.0590026974588493
"ABHD8_HUMAN",0.0335532808040556
"ABI1_HUMAN",-0.0300253900388975
"ABI2_HUMAN",0.121677692050553
"ABI3_HUMAN",0.159325738601738
"TARSH_HUMAN",-0.289711639311734
"ABITM_HUMAN",0.12119106092979
"ABL1_HUMAN",0.303985182556223
"ABL2_HUMAN",-0.0465812926524729
"ABLM2_HUMAN",0.0894553977949911
"ABLM3_HUMAN",-0.0795812385028755
"BGAT_HUMAN",-0.0959896822934558
"ABR_HUMAN",0.383341230414869
"ABRA_HUMAN",-0.107097602962719
"ABRAL_HUMAN",0.114579910852077
"ABRX1_HUMAN",0.0934844173487129
"ABRX2_HUMAN",0.25478305911323
"ABT1_HUMAN",-0.322753729067308
"ABTB1_HUMAN",0.137248367644191
"ABTB2_HUMAN",0.0454488288117327
"THIK_HUMAN",0.0251661763256452
"THIM_HUMAN",0.0692056149025581
"ACACA_HUMAN",0.321693111616357
"ACACB_HUMAN",0.180965076975063
"ACD10_HUMAN",0.285139785474986
"ACD11_HUMAN",0.09795509650586
"ACAD8_HUMAN",-0.171215676119297
"ACAD9_HUMAN",-0.454291613008267
"ACADL_HUMAN",-0.446044004384328
"ACADM_HUMAN",0.0398516666546975
"ACADS_HUMAN",0.0526537431578655
"ACDSB_HUMAN",0.00358683085949639
"ACADV_HUMAN",0.148676679249682
"PGCA_HUMAN",-0.0400874792653271
"ACAP2_HUMAN",0.208706676203055
"ACAP3_HUMAN",-0.0135337584210559
"THIL_HUMAN",-0.015538606258719
"THIC_HUMAN",0.128576693324143
"GCP60_HUMAN",0.0572409703081624
"ACBD4_HUMAN",-0.0323091508100607
"ACBD5_HUMAN",0.185281906241861
"ACBD6_HUMAN",0.176504278107393
"ACBD7_HUMAN",0.0421772370261803
"1A1L1_HUMAN",-0.268020639442907
"1A1L2_HUMAN",0.0171864684257012
"R4GNJ5_HUMAN",-0.191981999472681
"ACE_HUMAN",-0.179807585625268
"ACE2_HUMAN",-0.349683696344198
"ACER1_HUMAN",0.334293063427088
"ACER2_HUMAN",0.174742688081211
"ACER3_HUMAN",-0.17786480315066
"ACES_HUMAN",0.222543238757148
"ACINU_HUMAN",0.147078627871518
"ACKR1_HUMAN",-0.23384671890812
"V9GYB7_HUMAN",-0.0568540191208755
"ACKR3_HUMAN",0.436575750423586
"ACKR4_HUMAN",0.268507450241541
"ACLY_HUMAN",0.0130090838852894
"ACMSD_HUMAN",-0.104983746943581
"ACOC_HUMAN",0.395595984919952
"ACON_HUMAN",-0.00377460728004947
"IRG1_HUMAN",-0.0655428691622805
"ACOT1_HUMAN",0.331307007023632
"ACO11_HUMAN",-0.414775921226856
"ACO12_HUMAN",-0.0922091002873208
"ACO13_HUMAN",0.0541019171910986
"ACOT2_HUMAN",-0.121298280648146
"ACOT4_HUMAN",-0.0116643302908933
"ACOT6_HUMAN",0.081648679593571
"BACH_HUMAN",0.00724843029191748
"ACOT8_HUMAN",-0.360578463603181
"ACOT9_HUMAN",-0.172062161509855
"ACOX1_HUMAN",0.0604781768992164
"ACOX2_HUMAN",0.302843507197352
"ACOX3_HUMAN",0.0690119532749875
"ACOXL_HUMAN",-0.158570674993183
"PPAC_HUMAN",-0.055519954808836
"PPAL_HUMAN",0.0266344090216203
"PPAT_HUMAN",0.0367299699215964
"PPA5_HUMAN",0.102456601771036
"PPA6_HUMAN",-0.0548646408732758
"ACP7_HUMAN",0.0607263709043621
"ACRO_HUMAN",0.238820807732694
"ACRBP_HUMAN",-0.0125062137479498
"ASPX_HUMAN",-0.136989600653568
"ACBG2_HUMAN",0.329730728650691
"ACSF2_HUMAN",-0.0643794347035581
"ACSF3_HUMAN",0.337679342635104
"ACSL1_HUMAN",0.40769604685505
"ACSL3_HUMAN",0.00403087119067986
"ACSL4_HUMAN",0.540477356544236
"ACSL5_HUMAN",-0.0288970476030425
"ACSL6_HUMAN",-0.38431874674346
"ACSM1_HUMAN",-0.0597140561184048
"ACS2A_HUMAN",0.0630457359304555
"ACSM3_HUMAN",0.249512601875739
"ACSM4_HUMAN",-0.289943277291004
"ACSM5_HUMAN",-0.129567044617446
"ACSM6_HUMAN",-0.15502096212254
"ACS2L_HUMAN",-0.0247932027125751
"ACSA_HUMAN",-0.0557645208928708
"ACSS3_HUMAN",0.103454706782268
"ACTS_HUMAN",0.267561196557942
"ACTA_HUMAN",0.378441536272441
"ACTC_HUMAN",-0.236751471878813
"ACTH_HUMAN",0.044324958632294
"ACL10_HUMAN",0.142714931524094
"ACL6A_HUMAN",0.338307112000088
"ACL6B_HUMAN",-0.0736648015853839
"ACL7A_HUMAN",-0.304189075348905
"ACL7B_HUMAN",-0.336201213183279
"ACTL8_HUMAN",-0.0750763972577842
"ACTL9_HUMAN",-0.347725666207528
"ACTN1_HUMAN",0.317652926571479
"ACTN2_HUMAN",-0.122091257892721
"ACTN3_HUMAN",-0.302539723531679
"ACTN4_HUMAN",0.430211319941946
"ARP10_HUMAN",-0.0251847265145542
"ACTZ_HUMAN",0.166251712527645
"ACTY_HUMAN",0.127563175820583
"ARP2_HUMAN",0.392136577815571
"ARP3_HUMAN",0.262755914625083
"ARP3B_HUMAN",-0.220405830509129
"ARP5_HUMAN",-0.179294771442597
"ARP6_HUMAN",-0.0141071744886297
"ARP8_HUMAN",0.165315860482633
"ACTT1_HUMAN",-0.169420616282858
"ACTT2_HUMAN",-0.211317345355979
"ACTT3_HUMAN",-0.191385743764198
"ACVR1_HUMAN",0.123300872464499
"ACV1B_HUMAN",-0.260647157298021
"ACV1C_HUMAN",-0.0387680846039502
"AVR2A_HUMAN",0.223090800443345
"AVR2B_HUMAN",0.0807397827921456
"ACVL1_HUMAN",0.0352008956679883
"ACY1_HUMAN",-0.104381692878503
"ACY3_HUMAN",-0.0428110177369418
"ACYP1_HUMAN",0.150700979997552
"ACYP2_HUMAN",0.0750259893556559
"ADA_HUMAN",0.173861450688025
"ADA2_HUMAN",0.104913813027454
"ADAD1_HUMAN",-0.21797854247509
"ADAD2_HUMAN",-0.223252541365264
"ADAL_HUMAN",-0.0771190889017512
"ADA10_HUMAN",0.0264350116728218
"ADA11_HUMAN",-0.0490333047068221
"ADA12_HUMAN",-0.315241629614188
"ADA15_HUMAN",0.0323280497367115
"ADA17_HUMAN",0.116914564494201
"ADA18_HUMAN",0.0876540993060835
"ADA19_HUMAN",0.182619719244518
"ADAM2_HUMAN",-0.336201213183279
"ADA21_HUMAN",0.0402017516667346
"ADA22_HUMAN",-0.0290235832466777
"ADA23_HUMAN",-0.0247734722135495
"A0A384NKT9_HUMAN",-0.534720226508111
"ADA29_HUMAN",0.0579189276364749
"ADA30_HUMAN",-0.0472752416523883
"ADA32_HUMAN",0.174087990405493
"ADA33_HUMAN",-0.239110635605272
"ADAM7_HUMAN",0.105582362735374
"ADAM8_HUMAN",0.538442375429912
"ADAM9_HUMAN",0.0291373252056214
"ADEC1_HUMAN",-0.0588074624420212
"ATS1_HUMAN",0.470891058626116
"ATS10_HUMAN",-0.250670300286961
"ATS12_HUMAN",-0.138293353067217
"ATS13_HUMAN",-0.497733072264244
"ATS14_HUMAN",0.10522200581356
"ATS15_HUMAN",-0.336201213183279
"ATS16_HUMAN",0.112921065861847
"ATS18_HUMAN",0.0322445325969427
"ATS19_HUMAN",-0.216601274372888
"ATS2_HUMAN",0.0251833521204726
"ATS20_HUMAN",-0.0286595282804649
"ATS3_HUMAN",0.0121930689550328
"ATS4_HUMAN",0.1625048661602
"ATS5_HUMAN",0.387634153837501
"ATS6_HUMAN",-0.00306303242736073
"ATS7_HUMAN",-0.0256071791600894
"ATS8_HUMAN",-0.414863369002657
"ATS9_HUMAN",-0.320939909969591
"ATL1_HUMAN",0.109526575908086
"ATL2_HUMAN",0.0749571791555676
"ATL3_HUMAN",0.193944308395932
"ATL4_HUMAN",0.204566203476554
"ATL5_HUMAN",-0.165795708980496
"ADAP1_HUMAN",0.0490054849395064
"ADAP2_HUMAN",0.20395719881311
"DSRAD_HUMAN",-0.0288095353233527
"RED1_HUMAN",0.0467515661352665
"RED2_HUMAN",-0.00249438319569713
"ADAT1_HUMAN",-0.208490201515641
"ADAT2_HUMAN",0.102388645745512
"ADAT3_HUMAN",-0.154750332904971
"ADCK1_HUMAN",0.399897514118959
"ADCK2_HUMAN",-0.00373473714851884
"ADCK5_HUMAN",-0.0755109525996414
"ADCY1_HUMAN",-0.123207867851447
"ADCYA_HUMAN",-0.207144810072422
"ADCY2_HUMAN",0.107199459205867
"ADCY3_HUMAN",0.108310788223687
"ADCY4_HUMAN",-0.0343077228793438
"ADCY5_HUMAN",-0.156782189312676
"ADCY6_HUMAN",-0.00955609089130127
"ADCY7_HUMAN",0.331930140931542
"ADCY8_HUMAN",0.154536409517534
"ADCY9_HUMAN",0.229190814934034
"PACA_HUMAN",0.15323452504646
"PACR_HUMAN",0.0911537158944111
"ADDA_HUMAN",0.101598555952702
"ADDG_HUMAN",0.240265220524563
"ADGB_HUMAN",0.162150951777464
"AGRA1_HUMAN",-0.385149671369728
"AGRA2_HUMAN",0.360476905935242
"AGRA3_HUMAN",0.208362550234349
"AGRB1_HUMAN",-0.0795726244334171
"AGRB2_HUMAN",0.0537628934711335
"AGRB3_HUMAN",0.139138728121438
"AGRD1_HUMAN",0.3725966284848
"AGRD2_HUMAN",-0.110899651795135
"AGRE1_HUMAN",-0.156319020499066
"AGRE2_HUMAN",0.222576505155485
"AGRE5_HUMAN",0.345012084950521
"AGRF1_HUMAN",-0.0784104041048396
"AGRF2_HUMAN",-0.40413542391995
"AGRF3_HUMAN",-0.278628648726349
"AGRF4_HUMAN",-0.457982606564281
"AGRF5_HUMAN",0.0935116122225908
"AGRG1_HUMAN",0.264377123024167
"AGRG2_HUMAN",0.0797033089921426
"AGRG3_HUMAN",-0.336201213183279
"AGRG4_HUMAN",0.378166093519372
"AGRG5_HUMAN",0.331668257720643
"AGRG6_HUMAN",-0.24309022119384
"AGRG7_HUMAN",0.0246805332125183
"AGRL1_HUMAN",0.639678498729165
"AGRL2_HUMAN",0.349325870675047
"AGRL3_HUMAN",0.160225296313318
"AGRL4_HUMAN",0.398423482474889
"AGRV1_HUMAN",0.481520644026346
"ADH1A_HUMAN",-0.149154094795113
"ADH4_HUMAN",-0.050085364702129
"ADHX_HUMAN",0.401931812745678
"ADH6_HUMAN",-0.119469869577417
"ADH7_HUMAN",-0.0806492967469592
"HOT_HUMAN",-0.0581625944273979
"MTND_HUMAN",0.179372312051889
"ADIG_HUMAN",-0.443478205276683
"ADIPO_HUMAN",-0.274986597343334
"PAQR1_HUMAN",-0.0683417294269876
"PAQR2_HUMAN",-0.117959032508798
"ADIRF_HUMAN",-0.0159347446022938
"ADK_HUMAN",0.137154275730408
"ADML_HUMAN",0.188336628690279
"ADM2_HUMAN",-0.0747758969912337
"ADM5_HUMAN",-0.0117217107259209
"ADNP_HUMAN",-0.11639417322654
"ADNP2_HUMAN",-0.181357826773603
"AEDO_HUMAN",0.00678799749945628
"AA1R_HUMAN",0.384744158471491
"AA2AR_HUMAN",0.0694431094529891
"AA2BR_HUMAN",0.0343712445659522
"AA3R_HUMAN",-0.432024799979232
"ADPGK_HUMAN",0.00664647707150393
"ADPRH_HUMAN",0.0470450298012359
"ARHL1_HUMAN",-0.108815446107368
"ADPRS_HUMAN",-0.139254497499485
"ADPRM_HUMAN",0.0765362538098261
"ADA1A_HUMAN",-0.108283138666449
"ADA1B_HUMAN",0.265228821184865
"B0ZBE0_HUMAN",0.246648729907154
"ADA2A_HUMAN",-0.00282004068214301
"ADA2B_HUMAN",0.186388978856443
"ADA2C_HUMAN",0.123929889295406
"ADRB1_HUMAN",0.126857916953615
"ADRB2_HUMAN",-0.261244906547511
"ADRB3_HUMAN",0.181355430444574
"ADRM1_HUMAN",0.209123110531768
"PUR8_HUMAN",-0.0859256777231153
"PURA1_HUMAN",0.30556133928757
"PURA2_HUMAN",0.183103675705365
"ADTRP_HUMAN",-0.313833174709136
"AEBP1_HUMAN",0.454925006437914
"AEBP2_HUMAN",0.336176987554064
"AEN_HUMAN",-0.0876976522290458
"AFAP1_HUMAN",0.00592302529067339
"AF1L1_HUMAN",0.109629732586524
"AF1L2_HUMAN",0.0155154999571184
"AFAD_HUMAN",0.256916679746639
"AFF1_HUMAN",0.278358280854366
"AFF2_HUMAN",-0.128068674150277
"AFF3_HUMAN",0.0106369551777901
"AFF4_HUMAN",0.291103690198636
"AFG1L_HUMAN",-0.121087511118718
"AFG32_HUMAN",-0.248177427208004
"AFAM_HUMAN",0.149441947954661
"KFA_HUMAN",-0.0186223061073924
