"","Pearson_correlation"
"A1BG_HUMAN",0.0939611016355417
"A1CF_HUMAN",0.436607061035924
"A2MG_HUMAN",0.106278516298828
"A2ML1_HUMAN",-0.231175191529049
"A3LT2_HUMAN",0.347694639975645
"A4GAT_HUMAN",-0.244609594835596
"A4GCT_HUMAN",-0.274237177626185
"AAAS_HUMAN",0.168848015519294
"AACS_HUMAN",0.106515287721894
"AAAD_HUMAN",0.30915971383644
"ADCL2_HUMAN",-0.305154393321051
"ADCL3_HUMAN",0.445219510442761
"ADCL4_HUMAN",0.269636914875614
"AADAT_HUMAN",0.477499556548543
"AAGAB_HUMAN",0.483029499709572
"AAK1_HUMAN",0.383615535399873
"AAMDC_HUMAN",-0.00341004798451411
"AAMP_HUMAN",-0.594639318173123
"SNAT_HUMAN",-0.406528633438148
"AAR2_HUMAN",0.118101778502235
"AARD_HUMAN",-0.217203521358405
"SYAC_HUMAN",0.0121431342297752
"SYAM_HUMAN",0.575276147711128
"AASD1_HUMAN",-0.162642560014564
"ACSF4_HUMAN",0.294424021228394
"ADPPT_HUMAN",-0.176448524016023
"AASS_HUMAN",-0.213884031324673
"AATF_HUMAN",-0.0169286559099017
"LMTK1_HUMAN",0.532253468660814
"GABT_HUMAN",0.0276699415370682
"ABCA1_HUMAN",-0.44338067345715
"ABCAA_HUMAN",0.0216604592234931
"ABCAC_HUMAN",-0.619630995054265
"ABCAD_HUMAN",0.424192700760048
"ABCA2_HUMAN",0.464609848818195
"ABCA3_HUMAN",0.582280576991172
"ABCA4_HUMAN",-0.0490666911474016
"ABCA5_HUMAN",0.26753779727712
"ABCA6_HUMAN",0.304166872109267
"ABCA7_HUMAN",-0.296312990466776
"ABCA8_HUMAN",-0.233322307240891
"ABCA9_HUMAN",0.244970200677933
"MDR1_HUMAN",-0.0490339399348486
"ABCBA_HUMAN",-0.0940352318031456
"ABCBB_HUMAN",-0.147623274392951
"MDR3_HUMAN",0.180495675838289
"ABCB5_HUMAN",0.241802532512401
"ABCB6_HUMAN",-0.632495992553918
"ABCB7_HUMAN",0.604041249375317
"MITOS_HUMAN",0.220036857136695
"ABCB9_HUMAN",-0.646042538951021
"MRP1_HUMAN",-0.614376554853032
"MRP7_HUMAN",0.338329832456196
"MRP8_HUMAN",0.526273947660509
"MRP9_HUMAN",0.354867617385946
"MRP2_HUMAN",-0.40218405641754
"MRP3_HUMAN",0.057676323166512
"MRP4_HUMAN",-0.725303816520379
"MRP5_HUMAN",0.55515778265107
"MRP6_HUMAN",-0.308669664015501
"ABCC8_HUMAN",0.103447455759426
"ABCC9_HUMAN",0.290022408980534
"ABCD1_HUMAN",-0.0556935104148032
"ABCD2_HUMAN",0.216430994104496
"ABCD3_HUMAN",0.669080123663572
"ABCD4_HUMAN",-0.0952495385440165
"ABCE1_HUMAN",-0.414801869732659
"ABCF1_HUMAN",0.169806330606953
"ABCF2_HUMAN",0.370949805240253
"ABCF3_HUMAN",0.0275076195306086
"ABCG1_HUMAN",-0.0207772801485455
"ABCG2_HUMAN",-0.220203826689375
"ABCG4_HUMAN",0.35456921030273
"ABCG5_HUMAN",0.19503739103562
"ABCG8_HUMAN",0.362152179318288
"ABHD1_HUMAN",-0.443669714052196
"ABHDA_HUMAN",0.36241555867814
"ABHDB_HUMAN",0.338527062654048
"ABD12_HUMAN",0.163350767901408
"AB12B_HUMAN",0.341371930842951
"ABHDD_HUMAN",0.606376190121652
"ABHEA_HUMAN",0.501718454248138
"ABHEB_HUMAN",0.45935685422855
"ABH15_HUMAN",-0.211173238708408
"ABHGA_HUMAN",-0.164803597411057
"ABHGB_HUMAN",-0.121894582581665
"AB17A_HUMAN",-0.0403152739367515
"AB17B_HUMAN",-0.246799743394067
"AB17C_HUMAN",0.268324341195138
"ABD18_HUMAN",-0.112429129770054
"ABHD2_HUMAN",-0.0219119834476794
"ABHD3_HUMAN",0.324666032310976
"ABHD4_HUMAN",0.145483842626565
"ABHD5_HUMAN",0.213288327145527
"ABHD6_HUMAN",0.0386170257980909
"ABHD8_HUMAN",-0.100670030441178
"ABI1_HUMAN",-0.285358810882827
"ABI2_HUMAN",0.371283649904117
"ABI3_HUMAN",0.218660394662711
"TARSH_HUMAN",-0.291755066632668
"ABITM_HUMAN",0.346070891200052
"ABL1_HUMAN",-0.0673878117455448
"ABL2_HUMAN",0.0142834150461503
"ABLM2_HUMAN",-0.0392010635510135
"ABLM3_HUMAN",-0.653323497389602
"BGAT_HUMAN",0.298603132460479
"ABR_HUMAN",0.590772633395015
"ABRA_HUMAN",0.502576590731699
"ABRAL_HUMAN",-0.353479470472663
"ABRX1_HUMAN",0.162041887750345
"ABRX2_HUMAN",0.0185866980917583
"ABT1_HUMAN",-0.0296504708002712
"ABTB1_HUMAN",-0.33511235419087
"ABTB2_HUMAN",0.452501329872039
"THIK_HUMAN",0.570328798555824
"THIM_HUMAN",-0.58995912639926
"ACACA_HUMAN",-0.425528687047962
"ACACB_HUMAN",0.331668992312685
"ACD10_HUMAN",-0.527247436300374
"ACD11_HUMAN",0.237444611223551
"ACAD8_HUMAN",-0.161258944649087
"ACAD9_HUMAN",-0.614376554853032
"ACADL_HUMAN",-0.0758850860564485
"ACADM_HUMAN",-0.187359352639547
"ACADS_HUMAN",0.635385890422193
"ACDSB_HUMAN",0.0923380025915972
"ACADV_HUMAN",-0.586957393882952
"PGCA_HUMAN",0.786680485911564
"ACAP2_HUMAN",0.28043505196153
"ACAP3_HUMAN",0.207521025796759
"THIL_HUMAN",-0.00506851645068368
"THIC_HUMAN",0.0562717689880318
"GCP60_HUMAN",-0.474727627952355
"ACBD4_HUMAN",-0.488401517742623
"ACBD5_HUMAN",-0.349462981284829
"ACBD6_HUMAN",0.37461021145976
"ACBD7_HUMAN",0.330428694715444
"1A1L1_HUMAN",0.225314487499419
"1A1L2_HUMAN",-0.0518672153273804
"R4GNJ5_HUMAN",0.291534794997987
"ACE_HUMAN",-0.0522525233708606
"ACE2_HUMAN",-0.634234519710256
"ACER1_HUMAN",-0.363682926076582
"ACER2_HUMAN",0.110042734164181
"ACER3_HUMAN",-0.518421351167154
"ACES_HUMAN",-0.433032308395617
"ACINU_HUMAN",-0.374067502940902
"ACKR1_HUMAN",-0.29961978391807
"V9GYB7_HUMAN",0.441559737939067
"ACKR3_HUMAN",-0.173408076036368
"ACKR4_HUMAN",-0.255013053402193
"ACLY_HUMAN",-0.186258686267715
"ACMSD_HUMAN",-0.669957140867548
"ACOC_HUMAN",0.4640685632379
"ACON_HUMAN",0.149108952892208
"IRG1_HUMAN",0.591568034717976
"ACOT1_HUMAN",-0.32326111978579
"ACO11_HUMAN",0.555383693227022
"ACO12_HUMAN",0.741112177074899
"ACO13_HUMAN",-0.110068535737429
"ACOT2_HUMAN",0.621244123350881
"ACOT4_HUMAN",0.0110847583407668
"ACOT6_HUMAN",-0.461078518837719
"BACH_HUMAN",0.125503625624379
"ACOT8_HUMAN",0.189626958378945
"ACOT9_HUMAN",0.339229796794835
"ACOX1_HUMAN",0.170393954403859
"ACOX2_HUMAN",0.294697199521809
"ACOX3_HUMAN",0.238234746989371
"ACOXL_HUMAN",-0.0756313523547315
"PPAC_HUMAN",0.672832550588219
"PPAL_HUMAN",0.238633505056347
"PPAT_HUMAN",-0.430524536164628
"PPA5_HUMAN",-0.211483638624764
