"","Pearson_correlation"
"A1BG_HUMAN",-0.557637843207212
"A1CF_HUMAN",-0.268333830052924
"A2MG_HUMAN",0.414370981788052
"A2ML1_HUMAN",0.288990493928223
"A3LT2_HUMAN",-0.252831675023593
"A4GAT_HUMAN",0.0235856364917725
"A4GCT_HUMAN",-0.130220036304329
"AAAS_HUMAN",0.162451439739785
"AACS_HUMAN",-0.343294864082608
"AAAD_HUMAN",-0.133350604620136
"ADCL2_HUMAN",0.250754191480209
"ADCL3_HUMAN",0.426159705628828
"ADCL4_HUMAN",-0.568076872550303
"AADAT_HUMAN",-0.417001715797975
"AAGAB_HUMAN",-0.0170242505675512
"AAK1_HUMAN",0.0341215141445814
"AAMDC_HUMAN",0.176003261748961
"AAMP_HUMAN",0.366854931599405
"SNAT_HUMAN",-0.211926594443448
"AAR2_HUMAN",0.380591979212209
"AARD_HUMAN",-0.447053764633862
"SYAC_HUMAN",0.338580216990469
"SYAM_HUMAN",-0.371083800698138
"AASD1_HUMAN",0.138960884400563
"ACSF4_HUMAN",-0.5306526874881
"ADPPT_HUMAN",-0.0222927920687352
"AASS_HUMAN",0.104908344543937
"AATF_HUMAN",-0.123767571256161
"LMTK1_HUMAN",-0.380332663640434
"GABT_HUMAN",0.400032709435633
"ABCA1_HUMAN",-0.372289159672924
"ABCAA_HUMAN",-0.0640228207867336
"ABCAC_HUMAN",-0.425903223547023
"ABCAD_HUMAN",-0.38031188686022
"ABCA2_HUMAN",0.0709987500251235
"ABCA3_HUMAN",0.342495481386701
"ABCA4_HUMAN",-0.00654229979309781
"ABCA5_HUMAN",0.226290675878068
"ABCA6_HUMAN",-0.213487991958889
"ABCA7_HUMAN",-0.0964660861082582
"ABCA8_HUMAN",-0.422715274488597
"ABCA9_HUMAN",-0.662360089541847
"MDR1_HUMAN",-0.277832807202525
"ABCBA_HUMAN",0.257675345320043
"ABCBB_HUMAN",-0.385472556099194
"MDR3_HUMAN",-0.258690841830572
"ABCB5_HUMAN",-0.468720215706679
"ABCB6_HUMAN",-0.331950474169062
"ABCB7_HUMAN",-0.367978966311996
"MITOS_HUMAN",-0.307642656579633
"ABCB9_HUMAN",-0.0312914329212088
"MRP1_HUMAN",-0.262988835534426
