"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"A1BG_HUMAN",0.00647473747396106,0.00737513445618514,0.00396278313491042,0.00140565738037653,0.00848503272472677
"A1CF_HUMAN",0.0204843109289344,0.00037376898820151,0.000320160031338345,0.00160835219548724,0.00277820463425843
"A2MG_HUMAN",0.000896826259238498,0.00172962297812856,0.0028585885497843,0.00776068108791681,0.0178610633928341
"A2ML1_HUMAN",0.000198412122746364,0.00330417510237453,0.0171678798037104,0.00364231730799687,0.00253016920857582
"A3LT2_HUMAN",0.0154130022993193,0.00793999143624999,0.000103675066807297,0.00070121732913589,0.000978426270128989
"A4GAT_HUMAN",0.00530354136576731,0.00925981096903871,0.0103485694883537,0.000438097771424932,0.000150432002378425
"A4GCT_HUMAN",0.0075865628935871,0.000968915297185082,0.00872742589892279,0.00023484184308148,0.0108108538183503
"AAAS_HUMAN",0.0178746247245859,0.00190585854729468,6.54630203868144e-06,0.00225056317780727,0.00401439226426642
"AACS_HUMAN",0.00416343529769056,0.000456189086481889,0.0126864232577342,0.00524620172048449,0.00483743513078486
"AAAD_HUMAN",0.00397441104759722,9.20202613481643e-06,0.0208254208425126,0.000651641034430143,0.000489495638077484
"ADCL2_HUMAN",0.0140274758946812,1.92488685395783e-05,0.00465492090809875,3.85906066017075e-07,0.00868227923247189
"ADCL3_HUMAN",0.00179901880812502,4.20753828523229e-05,0.000841799570347818,0.0196182996253555,0.00683386941935925
"ADCL4_HUMAN",0.00747537389517655,0.00881072324898804,0.000862227008481237,0.0088017072388988,1.42576921533709e-05
"AADAT_HUMAN",0.00364899280328858,0.00545147371779722,0.016184261482792,0.000184180836113968,0.000250615449047737
"AAGAB_HUMAN",0.00928666968820136,0.00279200215986676,1.00103389341686e-07,0.0113066518839475,0.00379942249191059
"AAK1_HUMAN",0.00632097058895491,0.00150799504681883,2.81300975529441e-05,0.0176958081146687,0.00181931664702454
"AAMDC_HUMAN",0.00986799054413652,0.0079503949547289,0.00397990664916938,0.00324453631298378,0.000509839573599519
"AAMP_HUMAN",0.000965321502057956,0.00559074158136767,0.010786276281458,0.00125106132038323,0.00984649016778973
"SNAT_HUMAN",0.000994935442766657,0.0237646579211783,0.000478235706900116,5.17874473960129e-05,2.29935735928911e-06
"AAR2_HUMAN",0.0100274873530434,9.27272565285108e-05,0.0132564428386318,0.000317964971074204,0.00232077152472158
"AARD_HUMAN",7.77235700638989e-06,0.00718398317853007,0.00409191976693145,0.00896362506850568,0.00841121228523167
"SYAC_HUMAN",0.00627816783339498,3.50866966582638e-07,0.0123786538603211,0.00452502072839234,0.00375446908473883
"SYAM_HUMAN",0.00398373948872628,8.12823880093804e-05,0.000997574948438921,0.00858830951902355,0.0171998099230752
"AASD1_HUMAN",0.00217077087273943,0.00137672022496448,0.00795667988527089,0.010737505248502,0.00594043498217393
"ACSF4_HUMAN",4.42495433771082e-05,0.00125778485846685,0.00523606500033458,0.00109720636459085,0.024844574674394
"ADPPT_HUMAN",0.0107148345390108,1.09797444673672e-06,0.0019663462348035,0.00855264405699397,0.00640759029253751
"AASS_HUMAN",0.0148135345391312,0.00412361695795412,0.000347551389415615,0.00117425140425721,0.00620830929065765
"AATF_HUMAN",0.000473399460105221,0.00494927663639756,0.00207315403052812,0.0119561924333576,0.00982954335911191
"LMTK1_HUMAN",0.00168220437933139,0.010130300691786,0.00427845533655149,0.00993179598748174,0.000469468122023805
"GABT_HUMAN",0.00158067146730837,0.000278794513285645,5.24556291181099e-06,0.0183625106442876,0.00951263827804965
"ABCA1_HUMAN",0.000120590367197783,8.02525636334013e-05,0.00206630866861072,0.0227931160865967,0.00357427928811851
"ABCAA_HUMAN",0.00368986563234595,0.00228113855860314,0.0162684523519445,0.000968117793765195,0.00349511634988918
"ABCAC_HUMAN",0.00523433731623533,0.00161638617741961,0.00759917604334299,0.012079867261416,2.70178587916973e-05
"ABCAD_HUMAN",0.0104841882371294,0.01290513224437,0.00137188076023725,7.44593716316534e-05,0.000229077032582993
"ABCA2_HUMAN",0.000320621506281409,0.0114602813411921,0.00025240890897043,0.0119140105255385,0.00353000327570535
"ABCA3_HUMAN",0.0152828072061181,0.00324866931674892,0.00154796742224163,0.0051456407806346,0.000176653292531194
"ABCA4_HUMAN",0.00514281366743412,0.0016799151349701,0.00401038428861459,0.0139202987031854,0.00261121439167894
"ABCA5_HUMAN",0.0122254693236723,0.00475025697736901,0.00126958644616489,0.00589980278820069,0.00190922450310358
"ABCA6_HUMAN",0.00578727839513199,0.00963641505645299,0.0073031386170713,0.00042307575838921,0.00305892432782287
"ABCA7_HUMAN",0.00834967242077079,0.000537382632633945,0.010261984088143,2.97864892225304e-05,0.0085033625625283
"ABCA8_HUMAN",0.0114121299985397,0.00836337307003334,0.000289522722795708,0.000867813140092975,0.00566439695675536
"ABCA9_HUMAN",3.16459425356849e-05,0.001048357837014,0.017203880730041,0.00751488092843632,0.00101639348251269
"MDR1_HUMAN",0.00410699112024908,0.00394608159102282,0.0118946959564768,5.36851663732597e-05,0.00762558864307443
"ABCBA_HUMAN",0.0195077901682125,0.00196948455514157,5.67841412881938e-05,0.00337065542304737,0.000121715328334899
"ABCBB_HUMAN",0.00407923993034173,0.000814603451622823,0.000330169426991455,0.0176852493438359,0.00559774061397377
"MDR3_HUMAN",0.00137431675146949,0.000834916949501774,0.0170076749369866,0.0007035952622122,0.00815036883390595
"ABCB5_HUMAN",0.00240190311053461,8.19111003535003e-06,0.00279047593211362,0.0189610613561227,0.00421064065866579
