"","Dim.1","Dim.2"
"A1BG_HUMAN",0.00850436982172959,0.000867107863399825
"A1CF_HUMAN",0.000727320170723213,0.0126575762719912
"A2MG_HUMAN",0.00822900185210968,0.0012845820331991
"A2ML1_HUMAN",0.00374509934249526,0.00808244410934111
"A3LT2_HUMAN",0.00123197886146381,0.0118924837732607
"A4GAT_HUMAN",0.00583333436349479,0.00491655599627766
"A4GCT_HUMAN",0.00178290749808454,0.0110572432930062
"AAAS_HUMAN",0.00550203481816186,0.0054188257513029
"AACS_HUMAN",0.00646423978113258,0.00396006597380363
"AAAD_HUMAN",0.00186178146702917,0.0109376656792795
"ADCL2_HUMAN",0.00883478264387202,0.000366182433309
"ADCL3_HUMAN",0.00279286847394908,0.00952608256828236
"ADCL4_HUMAN",0.00756914902477488,0.00228495804520133
"AADAT_HUMAN",0.00905780146835623,2.80726715609541e-05
"AAGAB_HUMAN",0.000641489768662747,0.0127877002508093
"AAK1_HUMAN",0.0050976053340321,0.00603196482976082
"AAMDC_HUMAN",0.00842342976143849,0.000989817794115976
"AAMP_HUMAN",0.00774661619433038,0.00201590729329608
"SNAT_HUMAN",0.00664462491178119,0.00368659141986165
"AAR2_HUMAN",0.00894334414306839,0.000201596763407837
"AARD_HUMAN",0.0055652492389443,0.00532298894111801
"SYAC_HUMAN",0.00587895642942297,0.00484739023918457
"SYAM_HUMAN",0.00747070201963757,0.00243420954237321
"AASD1_HUMAN",0.00328109764320924,0.00878589819829138
"ACSF4_HUMAN",0.00871180133573785,0.00055262938857771
"ADPPT_HUMAN",8.95565727251908e-05,0.0136244637025531
"AASS_HUMAN",0.00547764551236459,0.00545580138504784
"AATF_HUMAN",0.0063353713730851,0.00415543812161451
"LMTK1_HUMAN",0.00797113934721197,0.00167551688049897
"GABT_HUMAN",0.00778338839965073,0.00196015844963414
"ABCA1_HUMAN",0.00665318906545739,0.00367360765507963
"ABCAA_HUMAN",0.00680550976329901,0.00344268044534463
"ABCAC_HUMAN",0.00886030538432339,0.000327488445421926
"ABCAD_HUMAN",0.00454507841782132,0.00686962839664332
"ABCA2_HUMAN",0.00708383947473163,0.00302071609934146
"ABCA3_HUMAN",0.00177797383894767,0.0110647230127976
"ABCA4_HUMAN",0.00887000083392638,0.00031278956893527
"ABCA5_HUMAN",0.000219844189027964,0.0134269399508755
"ABCA6_HUMAN",0.00457285926719461,0.00682751098173664
"ABCA7_HUMAN",1.29910137530995e-05,0.0137405416298851
"ABCA8_HUMAN",0.00802898883764359,0.00158781362283758
"ABCA9_HUMAN",0.00901749253655609,8.9183402275232e-05
"MDR1_HUMAN",0.000227998434386662,0.0134145776314083
"ABCBA_HUMAN",0.00812706419601001,0.00143912556420705
"ABCBB_HUMAN",0.00397208241086227,0.00773832431880822
"MDR3_HUMAN",0.00256278110567774,0.00987490866153854
"ABCB5_HUMAN",0.00840984801723535,0.00101040852365302
"ABCB6_HUMAN",0.00624250926789295,0.00429622257931484
"ABCB7_HUMAN",0.00288012845342783,0.00939379126533982
"MITOS_HUMAN",0.007078800753222,0.00302835509991945
"ABCB9_HUMAN",3.47236980221546e-05,0.0137075935919007
"MRP1_HUMAN",0.00512811659846804,0.00598570794372009
"MRP7_HUMAN",0.00671537304425102,0.00357933305604949
"MRP8_HUMAN",0.000142360212548604,0.0135444102536059
"MRP9_HUMAN",0.00758283843076347,0.00226420409401356
"MRP2_HUMAN",5.26170962961409e-05,0.013680466139134
"MRP3_HUMAN",0.00840363556218815,0.00101982697387011
"MRP4_HUMAN",0.00400847588377805,0.00768314965592854
"MRP5_HUMAN",0.00720225906973481,0.0028411849716646
"MRP6_HUMAN",1.14279303789251e-05,0.0137429113569629
"ABCC8_HUMAN",0.00702294492126508,0.00311303585311999
"ABCC9_HUMAN",0.00871622339288794,0.000545925287733701
